"filmnormex D-CUM 054 Schwefelgelb","filmnormex-d-cum-054-schwefelgelb","#faf061"
"filmnormex D-CUM 04 Gelb","filmnormex-d-cum-04-gelb","#ffc82a"
"filmnormex D-CUM 044 Dunkelgelb","filmnormex-d-cum-044-dunkelgelb","#ffc13b"
"filmnormex D-CUM 024 Goldgelb","filmnormex-d-cum-024-goldgelb","#f19c31"
"filmnormex D-CUM 038 Orangebraun","filmnormex-d-cum-038-orangebraun","#e29956"
"filmnormex D-CUM 028 Hellorange","filmnormex-d-cum-028-hellorange","#ff813d"
"filmnormex D-CUM 08 Orange","filmnormex-d-cum-08-orange","#ec6e46"
"filmnormex D-CUM 041 Zinnoberrot","filmnormex-d-cum-041-zinnoberrot","#db543e"
"filmnormex D-CUM 01 Rot","filmnormex-d-cum-01-rot","#c34543"
"filmnormex D-CUM 051 Glutrot","filmnormex-d-cum-051-glutrot","#b34246"
"filmnormex D-CUM 010 Dunkelrot","filmnormex-d-cum-010-dunkelrot","#a04342"
"filmnormex D-CUM 020 Bordeaux","filmnormex-d-cum-020-bordeaux","#754452"
"filmnormex D-CUM 048 Hellrosa","filmnormex-d-cum-048-hellrosa","#fdc1d2"
"filmnormex D-CUM 055 Erikarot","filmnormex-d-cum-055-erikarot","#d57da2"
"filmnormex D-CUM 018 Flieder","filmnormex-d-cum-018-flieder","#b74d7d"
"filmnormex D-CUM 058 Blaulila","filmnormex-d-cum-058-blaulila","#9b91bb"
"filmnormex D-CUM 059 Violett","filmnormex-d-cum-059-violett","#835080"
"filmnormex D-CUM 026 Gelbgruen","filmnormex-d-cum-026-gelbgruen","#d0e35a"
"filmnormex D-CUM 06 Hellgruen","filmnormex-d-cum-06-hellgruen","#76bb3d"
"filmnormex D-CUM 042 Brillantgruen","filmnormex-d-cum-042-brillantgruen","#00b25b"
"filmnormex D-CUM 02 Gruen","filmnormex-d-cum-02-gruen","#00996c"
"filmnormex D-CUM 046 Tuerkisgruen","filmnormex-d-cum-046-tuerkisgruen","#0f7f63"
"filmnormex D-CUM 022 Grasgruen","filmnormex-d-cum-022-grasgruen","#618452"
"filmnormex D-CUM 052 Tuerkisgruen","filmnormex-d-cum-052-tuerkisgruen","#448871"
"filmnormex D-CUM 036 Laubgruen","filmnormex-d-cum-036-laubgruen","#286f4c"
"filmnormex D-CUM 011 Dunkelgruen","filmnormex-d-cum-011-dunkelgruen","#3d5c4e"
"filmnormex D-CUM 07 Hellblau","filmnormex-d-cum-07-hellblau","#4bb1d3"
"filmnormex D-CUM 050 Prozessblau","filmnormex-d-cum-050-prozessblau","#1fade1"
"filmnormex D-CUM 056 Tuerkisblau","filmnormex-d-cum-056-tuerkisblau","#009fa8"
"filmnormex D-CUM 027 Himmelblau","filmnormex-d-cum-027-himmelblau","#408aba"
"filmnormex D-CUM 03 Blau","filmnormex-d-cum-03-blau","#0976b7"
"filmnormex D-CUM 053 Enzianblau","filmnormex-d-cum-053-enzianblau","#3a648a"
"filmnormex D-CUM 057 Nachtblau","filmnormex-d-cum-057-nachtblau","#575674"
"filmnormex D-CUM 012 Dunkelblau","filmnormex-d-cum-012-dunkelblau","#394d6f"
"filmnormex D-CUM 032 Elfenbein","filmnormex-d-cum-032-elfenbein","#f3e2c3"
