"D-CL 1214","d-cl-1214","#dab300"
"D-CL 1254","d-cl-1254","#efca2e"
"D-CL 1204","d-cl-1204","#e9b400"
"D-CL 1244","d-cl-1244","#e49f00"
"D-CL 1218","d-cl-1218","#db7222"
"D-CL 1208","d-cl-1208","#d25921"
"D-CL 1261","d-cl-1261","#c4412f"
"D-CL 1251","d-cl-1251","#ba3125"
"D-CL 1210","d-cl-1210","#951821"
"D-CL 1271","d-cl-1271","#6b212b"
"D-CL 1275","d-cl-1275","#a3226c"
"D-CL 1246","d-cl-1246","#5aa800"
"D-CL 1226","d-cl-1226","#579a39"
"D-CL 1222","d-cl-1222","#008d53"
"D-CL 1236","d-cl-1236","#006f39"
"D-CL 1276","d-cl-1276","#234a38"
"D-CL 1277","d-cl-1277","#009394"
"D-CL 1268","d-cl-1268","#007879"
"D-CL 1227","d-cl-1227","#75b7bd"
"D-CL 1278","d-cl-1278","#0096cb"
"D-CL 1217","d-cl-1217","#0070ad"
"D-CL 1207","d-cl-1207","#358cba"
"D-CL 1247","d-cl-1247","#0064a0"
"D-CL 1233","d-cl-1233","#36267d"
"D-CL 1267","d-cl-1267","#382762"
"D-CL 1212","d-cl-1212","#273a7f"
"D-CL 1257","d-cl-1257","#333463"
"D-CL 1221","d-cl-1221","#601e67"
"D-CL 1237","d-cl-1237","#451e5e"
"D-CL 1230","d-cl-1230","#4f332a"
"D-CL 1219","d-cl-1219","#9da3a7"
"D-CL 1209","d-cl-1209","#8f9292"
"D-CL 1266","d-cl-1266","#e7eae7"
"D-CL 1216","d-cl-1216","#f3f7f4"
"D-CL 1215","d-cl-1215","#303132"
"D-CL 1299","d-cl-1299","#c0aa72"
