"D-CU 1115","d-cu-1115","#0c0d10"
"D-CU 1116","d-cu-1116","#f0f4f2"
"D-CU 1160","d-cu-1160","#e5d500"
"D-CU 1154","d-cu-1154","#e7e144"
"D-CU-1104","d-cu-1104","#f2bc00"
"D-CU 1144","d-cu-1144","#f0ac00"
"D-CU 1124","d-cu-1124","#dc8e00"
"D-CU 1138","d-cu-1138","#d68831"
"D-CU 1128","d-cu-1128","#ee6b00"
"D-CU 1108","d-cu-1108","#d35407"
"D-CU 1141","d-cu-1141","#d0400b"
"D-CU 1161","d-cu-1161","#be280a"
"D-CU 1101","d-cu-1101","#b82215"
"D-CU 1162","d-cu-1162","#a01a1f"
"D-CU 1151","d-cu-1151","#a4191c"
"D-CU 1110","d-cu-1110","#9e1d18"
"D-CU 1120","d-cu-1120","#5e1934"
"D-CU 1163","d-cu-1163","#5e1723"
"D-CU 1118","d-cu-1118","#a92866"
"D-CU 1158","d-cu-1158","#8b7cac"
"D-CU 1159","d-cu-1159","#6e2d6e"
"D-CU 1126","d-cu-1126","#c8d520"
"D-CU 1106","d-cu-1106","#68b21b"
"D-CU 1165","d-cu-1165","#399904"
"D-CU 1142","d-cu-1142","#00a439"
"D-CU 1122","d-cu-1122","#446e31"
"D-CU 1152","d-cu-1152","#20765a"
"D-CU 1102","d-cu-1102","#00844e"
"D-CU 1146","d-cu-1146","#007146"
"D-CU 1167","d-cu-1167","#006e3a"
"D-CU 1136","d-cu-1136","#005c2e"
"D-CU 1111","d-cu-1111","#003e2a"
"D-CU 1169","d-cu-1169","#009790"
"D-CU 1170","d-cu-1170","#005f6a"
"D-CU 1156","d-cu-1156","#00919f"
"D-CU 1107","d-cu-1107","#209fca"
"D-CU 1150","d-cu-1150","#009ed3"
"D-CU 1127","d-cu-1127","#0076ae"
"D-CU 1103","d-cu-1103","#0063ac"
"D-CU 1153","d-cu-1153","#00517c"
"D-CU 1171","d-cu-1171","#005291"
"D-CU 1172","d-cu-1172","#003e85"
"D-CU 1173","d-cu-1173","#163374"
"D-CU 1157","d-cu-1157","#39395e"
"D-CU 1112","d-cu-1112","#002b5b"
"D-CU 1174","d-cu-1174","#112136"
"D-CU 1132","d-cu-1132","#ded4b5"
"D-CU 1125","d-cu-1125","#debd9a"
"D-CU 1131","d-cu-1131","#85532a"
"D-CU 1130","d-cu-1130","#4f2d1f"
"D-CU 1149","d-cu-1149","#b9bdb8"
"D-CU 1109","d-cu-1109","#90948f"
"D-CU 1119","d-cu-1119","#585d5e"
"D-CU 1304","d-cu-1304","#a28e58"
"D-CU 1301","d-cu-1301","#999c9d"
"M 1181","m-1181","#2f3031"
"M 1180","m-1180","#f5f9f8"
