"filmstarex D-CU 154 Schwefelgelb","filmstarex-d-cu-154-schwefelgelb","#f5ea45"
"filmstarex D-CU 104 Gelb","filmstarex-d-cu-104-gelb","#fbc100"
"filmstarex D-CU 144 Dunkelgelb","filmstarex-d-cu-144-dunkelgelb","#feb500"
"filmstarex D-CU 124 Goldgelb","filmstarex-d-cu-124-goldgelb","#ea9200"
"filmstarex D-CU 138 Orangebraun","filmstarex-d-cu-138-orangebraun","#e08d35"
"filmstarex D-CU 128 Hellorange","filmstarex-d-cu-128-hellorange","#fd7200"
"filmstarex D-CU 108 Orange","filmstarex-d-cu-108-orange","#e35501"
"filmstarex D-CU 141 Zinnoberrot","filmstarex-d-cu-141-zinnoberrot","#d94004"
"filmstarex D-CU 101 Rot","filmstarex-d-cu-101-rot","#c22218"
"filmstarex D-CU 151 Glutrot","filmstarex-d-cu-151-glutrot","#ae1c1f"
"filmstarex D-CU 110 Dunkelrot","filmstarex-d-cu-110-dunkelrot","#a2211c"
"filmstarex D-CU 120 Bordeaux","filmstarex-d-cu-120-bordeaux","#641836"
"filmstarex D-CU 148 Hellrosa","filmstarex-d-cu-148-hellrosa","#f8b6c9"
"filmstarex D-CU 155 Erikarot","filmstarex-d-cu-155-erikarot","#d76d96"
"filmstarex D-CU 118 Flieder","filmstarex-d-cu-118-flieder","#b42e6e"
"filmstarex D-CU 158 Blaulila","filmstarex-d-cu-158-blaulila","#9181b2"
"filmstarex D-CU 159 Violett","filmstarex-d-cu-159-violett","#753077"
"filmstarex D-CU 126 Gelbgruen","filmstarex-d-cu-126-gelbgruen","#d2df2d"
"filmstarex D-CU 106 Hellgruen","filmstarex-d-cu-106-hellgruen","#6bb722"
"filmstarex D-CU 142 Brillantgruen","filmstarex-d-cu-142-brillantgruen","#00ac3d"
"filmstarex D-CU 102 Gruen","filmstarex-d-cu-102-gruen","#008b52"
"filmstarex D-CU 146 Tuerkisgruen","filmstarex-d-cu-146-tuerkisgruen","#007349"
"filmstarex D-CU 122 Grasgruen","filmstarex-d-cu-122-grasgruen","#487433"
"filmstarex D-CU 152 Tuerkisgruen","filmstarex-d-cu-152-tuerkisgruen","#20785c"
"filmstarex D-CU 136 Laubgruen","filmstarex-d-cu-136-laubgruen","#00602f"
"filmstarex D-CU 111 Dunkelgruen","filmstarex-d-cu-111-dunkelgruen","#04432f"
"filmstarex D-CU 107 Hellblau","filmstarex-d-cu-107-hellblau","#23a4d0"
"filmstarex D-CU 150 Prozessblau","filmstarex-d-cu-150-prozessblau","#00a4d8"
"filmstarex D-CU 156 Tuerkisblau","filmstarex-d-cu-156-tuerkisblau","#0095a1"
"filmstarex D-CU 127 Himmelblau","filmstarex-d-cu-127-himmelblau","#007bb3"
"filmstarex D-CU 103 Blau","filmstarex-d-cu-103-blau","#006ab7"
"filmstarex D-CU 153 Enzianblau","filmstarex-d-cu-153-enzianblau","#005480"
"filmstarex D-CU 157 Nachtblau","filmstarex-d-cu-157-nachtblau","#3c3b60"
"filmstarex D-CU 112 Dunkelblau","filmstarex-d-cu-112-dunkelblau","#002c5d"
"filmstarex D-CU 132 Elfenbein","filmstarex-d-cu-132-elfenbein","#f0e1be"
"filmstarex D-CU 145 Dunkelbeige","filmstarex-d-cu-145-dunkelbeige","#cfb99d"
"filmstarex D-CU 125 Beige","filmstarex-d-cu-125-beige","#e6c39f"
"filmstarex D-CU 131 Hellbraun","filmstarex-d-cu-131-hellbraun","#915a2d"
"filmstarex D-CU 114 Braun","filmstarex-d-cu-114-braun","#613e2b"
"filmstarex D-CU 143 Nussbraun","filmstarex-d-cu-143-nussbraun","#53382b"
"filmstarex D-CU 130 Mahagoni","filmstarex-d-cu-130-mahagoni","#543121"
"filmstarex D-CU 140 Schokobraun","filmstarex-d-cu-140-schokobraun","#312321"
"filmstarex D-CU 116 Weiss","filmstarex-d-cu-116-weiss","#f9fbf9"
"filmstarex D-CU 149 Hellgrau","filmstarex-d-cu-149-hellgrau","#c0c3bd"
"filmstarex D-CU 109 Grau","filmstarex-d-cu-109-grau","#949791"
"filmstarex D-CU 119 Dunkelgrau","filmstarex-d-cu-119-dunkelgrau","#5b6162"
"filmstarex D-CU 115 Schwarz","filmstarex-d-cu-115-schwarz","#0d0f11"
"filmstarex M 1180","filmstarex-m-1180","#f9faf8"
"filmstarex M 1181","filmstarex-m-1181","#2a2b2c"
"filmstarex D-CL 1254","filmstarex-d-cl-1254","#f1cf38"
"filmstarex D-CL 1204","filmstarex-d-cl-1204","#ecb600"
"filmstarex D-CL 1244","filmstarex-d-cl-1244","#e19f01"
"filmstarex D-CL 1208","filmstarex-d-cl-1208","#d05b20"
"filmstarex D-CL 1251","filmstarex-d-cl-1251","#ba3128"
"filmstarex D-CL 1210","filmstarex-d-cl-1210","#8d342d"
"filmstarex D-CL 1220","filmstarex-d-cl-1220","#6b2840"
"filmstarex D-CL 1255","filmstarex-d-cl-1255","#b46792"
"filmstarex D-CL 1226","filmstarex-d-cl-1226","#5d9f3e"
"filmstarex D-CL 1222","filmstarex-d-cl-1222","#008b57"
"filmstarex D-CL 1236","filmstarex-d-cl-1236","#00713b"
"filmstarex D-CL 1211","filmstarex-d-cl-1211","#1a4645"
"filmstarex D-CL 1268","filmstarex-d-cl-1268","#007b7c"
"filmstarex D-CL 1227","filmstarex-d-cl-1227","#86c7ce"
"filmstarex D-CL 1207","filmstarex-d-cl-1207","#368db8"
"filmstarex D-CL 1253","filmstarex-d-cl-1253","#045b86"
"filmstarex D-CL 1212","filmstarex-d-cl-1212","#2a3c7b"
"filmstarex D-CL 1233","filmstarex-d-cl-1233","#382b8a"
"filmstarex D-CL 1257","filmstarex-d-cl-1257","#2f3262"
"filmstarex D-CL 1237","filmstarex-d-cl-1237","#491f5d"
"filmstarex D-CL 1230","filmstarex-d-cl-1230","#4f2f25"
"filmstarex D-CL 1209","filmstarex-d-cl-1209","#969899"
"filmstarex D-CL 1216","filmstarex-d-cl-1216","#fafcf9"
"filmstarex D-CL 1215","filmstarex-d-cl-1215","#28292a"
