"122 Tennis white","122-tennis-white","#f5f7f0"
"131 Cotton grey","131-cotton-grey","#ebedeb"
"121 Grey pepper","121-grey-pepper","#e8e6dd"
"105 Castle white","105-castle-white","#ece9e0"
"106 Old church white","106-old-church-white","#e8e0d2"
"120 Voile","120-voile","#f2f2e9"
"124 Melting snow","124-melting-snow","#e2dfce"
"123 Most white","123-most-white","#eff0ec"
"119 Cool ashes","119-cool-ashes","#e4e4de"
"132 Chalk grey","132-chalk-grey","#d9d7cb"
"SE 315 Perle","se-315-perle","#cfcfc5"
"P02 Craie","p02-craie","#d8d0bf"
"P04 Wall white","p04-wall-white","#c9bfa8"
"P03 Vanille","p03-vanille","#e8e2cb"
"SE 316 Amande","se-316-amande","#e1d3b9"
"P05 Blanc des dunes","p05-blanc-des-dunes","#ddd7c4"
"SE 313 Ficelle","se-313-ficelle","#d0c3a9"
"P08 Pierre de France","p08-pierre-de-france","#cfbb97"
"P09 Biscuit","p09-biscuit","#c3b08e"
"P06 Old white","p06-old-white","#c7c0ac"
"P13 Dauphine","p13-dauphine","#917e68"
"P11 Bord de Seine","p11-bord-de-seine","#b4a38d"
"P12 Cappuccino","p12-cappuccino","#beb197"
"SE 317 Artichaut","se-317-artichaut","#998a71"
"P14 Taupe","p14-taupe","#8e8074"
"P15 Gris souris","p15-gris-souris","#958673"
"P16 Fin de siecle","p16-fin-de-siecle","#7d7465"
"153 Potatoes","153-potatoes","#7c7164"
"SE 322 Smoke","se-322-smoke","#b1b0a9"
"P17 Blanc de Bierges","p17-blanc-de-bierges","#c9c3b0"
"P25 Mistral","p25-mistral","#bfb5a4"
"P27 Poussiere","p27-poussiere","#aba38d"
"P21 Cathedrale","p21-cathedrale","#b2ad9e"
"P23 City","p23-city","#bab8a7"
"SE 311 Mineral","se-311-mineral","#8c8c89"
"P26 Gris nuages","p26-gris-nuages","#ada898"
"P20 Passe-partout","p20-passe-partout","#aeb0a3"
"P19 After rain","p19-after-rain","#b2b4ae"
"P28 Zinc","p28-zinc","#918e81"
"P29 Paves du nord","p29-paves-du-nord","#777b7c"
"P30 Bleu gris","p30-bleu-gris","#778186"
"P32 Canon de fusil","p32-canon-de-fusil","#666a6a"
"P31 Grey flanel","p31-grey-flanel","#626a6c"
"P81 Aqua","p81-aqua","#b9beb5"
"P84 Medicis blue","p84-medicis-blue","#a1b5b0"
"P87 Belle- Ile en mer","p87-belle-ile-en-mer","#b4c3c8"
"P86 Bleu Cap Ferrat","p86-bleu-cap-ferrat","#a0b8c5"
"P89 Ciel dOstende","p89-ciel-dostende","#899d9d"
"P90 Chinese blue","p90-chinese-blue","#6c8d9e"
"150 Les flots bleus","150-les-flots-bleus","#657581"
"P92 Bleu Deauville","p92-bleu-deauville","#667f86"
"SE 312 Abysse","se-312-abysse","#545a68"
"151 Copenhagen blue","151-copenhagen-blue","#8899b4"
"SE 308 Myrtille","se-308-myrtille","#6c7c97"
"P96 Black tie","p96-black-tie","#454749"
"P94 blue jeans","p94-blue-jeans","#4a5964"
"152 Bleu de toi","152-bleu-de-toi","#414550"
"P65 Menthe","p65-menthe","#c4bca1"
"P67 Beauvais green","p67-beauvais-green","#b1ac90"
"SE 309 Pastis","se-309-pastis","#b3b597"
"P73 Campagne","p73-campagne","#a59e7f"
"P71 Tilleul","p71-tilleul","#8e9e85"
"P22 Pigeon","p22-pigeon","#a1a697"
"P69 Lake green","p69-lake-green","#989a82"
"P75 Olive","p75-olive","#8e8d71"
"P76 Kaki","p76-kaki","#75715a"
"P77 Vert verger","p77-vert-verger","#76846a"
"P78 Vert de gris","p78-vert-de-gris","#878d7f"
"159 Iode","159-iode","#bbcac4"
"P24 Castle grey","p24-castle-grey","#8a938a"
"SE 323 Vert anglais","se-323-vert-anglais","#52685a"
"P79 Polo green","p79-polo-green","#424e47"
"164 Chou blanc","164-chou-blanc","#e6e1ca"
"P07 Cream","p07-cream","#e0cfaa"
"P56 Panama","p56-panama","#d6b37b"
"P55 Houblon","p55-houblon","#dab67e"
"P58 Gres de Flandre","p58-gres-de-flandre","#ccb281"
"P59 Sahara","p59-sahara","#ceaf78"
"P36 Savane","p36-savane","#c3986c"
"P62 Indian Summer","p62-indian-summer","#bf916a"
"P34 Dalle industrielle","p34-dalle-industrielle","#d2af8c"
"P33 Terre de Picardie","p33-terre-de-picardie","#c19e80"
"P38 Sienna","p38-sienna","#b87e6e"
