"9016 Wei SG-HG","9016-wei-sg-hg","#f9f8ef"
"9001 Cremewei SG","9001-cremewei-sg","#f2e9d6"
"8017 Schokoladenbraun SG","8017-schokoladenbraun-sg","#443331"
"3000 Feuerrot SG","3000-feuerrot-sg","#a33331"
"8003 Lehmbraun SG","8003-lehmbraun-sg","#7e502f"
"7001 Silbergrau SG","7001-silbergrau-sg","#8f999d"
"9005 Tiefschwarz SG-HG","9005-tiefschwarz-sg-hg","#1e2021"
"5010 Enzianblau SG","5010-enzianblau-sg","#004c7d"
"1023 Verkehrsgelb SG","1023-verkehrsgelb-sg","#f7c000"
"1015 Hellelfenbein SG","1015-hellelfenbein-sg","#e9d9bb"
"6005 Moosgruen SG","6005-moosgruen-sg","#174335"
"7035 Lichtgrau SG","7035-lichtgrau-sg","#d0d0cc"
