"Gelb 2C 01-100","gelb-2c-01-100","#ffce00"
"Gelb 2C 01-55","gelb-2c-01-55","#fcda57"
"Gelb 2C 01-30","gelb-2c-01-30","#f9e6b1"
"Orange 2C 09-100","orange-2c-09-100","#fc6500"
"Orange 2C 09-55","orange-2c-09-55","#fea282"
"Orange 2C 09-30","orange-2c-09-30","#fbcdc2"
"Rot- gelblich 3C 02-100","rot-gelblich-3c-02-100","#e0343c"
"Rot- gelblich 3C 02-55","rot-gelblich-3c-02-55","#ec98a3"
"Rot- gelblich 3C 02-30","rot-gelblich-3c-02-30","#f2c9d0"
"Rot- mittel 3C 03-100","rot-mittel-3c-03-100","#c60061"
"Rot- mittel 3C 03-55","rot-mittel-3c-03-55","#d87da7"
"Rot- mittel 3C 03-30","rot-mittel-3c-03-30","#e8bed4"
"Rot- blaeulich 3C 04-100","rot-blaeulich-3c-04-100","#d30091"
"Rot- blaeulich 3C 04-55","rot-blaeulich-3c-04-55","#e485bf"
"Rot- mittel 3C 03-30","rot-mittel-3c-03-30","#eec3df"
"Violett 7C 05-100","violett-7c-05-100","#a52ab0"
"Violett 7C 06-55","violett-7c-06-55","#cc8bd3"
"Violett 7C 07-30","violett-7c-07-30","#e4c0e7"
"Blau- roetlich 4C 06-100","blau-roetlich-4c-06-100","#1754ca"
"Blau- roetlich 4C 06-55","blau-roetlich-4c-06-55","#86a0e0"
"Blau- roetlich 4C 06-30","blau-roetlich-4c-06-30","#c2ceed"
"Blau- mittel 4C 07-100","blau-mittel-4c-07-100","#0094cd"
"Blau- mittel 4C 07-55","blau-mittel-4c-07-55","#5abbdf"
"Blau- mittel 4C 07-30","blau-mittel-4c-07-30","#b5daed"
"Gruen 5C 08-100","gruen-5c-08-100","#00b883"
"Gruen 5C 08-55","gruen-5c-08-55","#6bd5b8"
"Gruen 5C 08-30","gruen-5c-08-30","#bae5d8"
"Chamois 2C 61-9901-K-100","chamois-2c-61-9901-k-100","#f7d66d"
"Chamois 2C 61-9901-K-55","chamois-2c-61-9901-k-55","#f6e1a1"
"Chamois 2C 61-9901-K-30","chamois-2c-61-9901-k-30","#f5ebd1"
"Chamois 2C 23-8801-K-100","chamois-2c-23-8801-k-100","#f9d42b"
"Chamois 2C 23-8801-K-55","chamois-2c-23-8801-k-55","#f7e077"
"Chamois 2C 23-8801-K-30","chamois-2c-23-8801-k-30","#f6eabd"
"Gelb 2C 62-9902-K-100","gelb-2c-62-9902-k-100","#f6d300"
"Gelb 2C 62-9902-K-55","gelb-2c-62-9902-k-55","#f6de69"
"Gelb 2C 62-9902-K-30","gelb-2c-62-9902-k-30","#f6e9ba"
"Gelb 2C 12-8802-K-100","gelb-2c-12-8802-k-100","#ffcf00"
"Gelb 2C 12-8802-K-55","gelb-2c-12-8802-k-55","#fcdd73"
"Gelb 2C 12-8802-K-30","gelb-2c-12-8802-k-30","#f8e8bb"
"Gelb 2C 63-9903-K-100","gelb-2c-63-9903-k-100","#ffd000"
"Gelb 2C 63-9903-K-55","gelb-2c-63-9903-k-55","#fddc54"
"Gelb 2C 63-9903-K-30","gelb-2c-63-9903-k-30","#f9e8b1"
"Gelb 2C 13-8803-K-100","gelb-2c-13-8803-k-100","#ffc600"
"Gelb 2C 13-8803-K-55","gelb-2c-13-8803-k-55","#fbd872"
"Gelb 2C 13-8803-K-30","gelb-2c-13-8803-k-30","#f8e6bb"
"Gelb 2C 14-8804-K-100","gelb-2c-14-8804-k-100","#febf00"
"Gelb 2C 14-8804-K-55","gelb-2c-14-8804-k-55","#fad57c"
"Gelb 2C 14-8804-K-30","gelb-2c-14-8804-k-30","#f8e6bf"
"Gelb 2C 64-9904-K-100","gelb-2c-64-9904-k-100","#feb800"
"Gelb 2C 64-9904-K-55","gelb-2c-64-9904-k-55","#fbd58b"
"Gelb 2C 64-9904-K-30","gelb-2c-64-9904-k-30","#f8e6c8"
"Gelb 2C 15-8805-K-100","gelb-2c-15-8805-k-100","#ffb300"
"Gelb 2C 15-8805-K-55","gelb-2c-15-8805-k-55","#fbd286"
"Gelb 2C 15-8805-K-30","gelb-2c-15-8805-k-30","#f8e4c3"
"Gelb 2C 65-9905-K-100","gelb-2c-65-9905-k-100","#ffb500"
"Gelb 2C 65-9905-K-55","gelb-2c-65-9905-k-55","#fed289"
"Gelb 2C 65-9905-K-30","gelb-2c-65-9905-k-30","#f9e4c6"
"Gelb 2C 16-8806-K-100","gelb-2c-16-8806-k-100","#fcb000"
"Gelb 2C 16-8806-K-55","gelb-2c-16-8806-k-55","#fad08a"
"Gelb 2C 16-8806-K-30","gelb-2c-16-8806-k-30","#f8e2c4"
"Orange 2C 17-8807-K -100","orange-2c-17-8807-k-100","#fa9600"
"Orange 2C 17-8807-K -55","orange-2c-17-8807-k-55","#f9c186"
"Orange 2C 17-8807-K -30","orange-2c-17-8807-k-30","#f8dcc3"
"Orange 2C 66-9906-K-100","orange-2c-66-9906-k-100","#ff8b00"
"Orange 2C 66-9906-K-55","orange-2c-66-9906-k-55","#ffbb8c"
"Orange 2C 66-9906-K-30","orange-2c-66-9906-k-30","#fcdac8"
"Orange 2C 18-8808-K-100","orange-2c-18-8808-k-100","#f68600"
"Orange 2C 18-8808-K-55","orange-2c-18-8808-k-55","#f7ba88"
"Orange 2C 18-8808-K-30","orange-2c-18-8808-k-30","#f7d9c5"
"Orange 2C 19-8809-K-100","orange-2c-19-8809-k-100","#f57a00"
"Orange 2C 19-8809-K-55","orange-2c-19-8809-k-55","#f7b58a"
"Orange 2C 19-8809-K-30","orange-2c-19-8809-k-30","#f7d7c5"
"Orange 2C 67-9907-K-100","orange-2c-67-9907-k-100","#ff6b00"
"Orange 2C 67-9907-K-55","orange-2c-67-9907-k-55","#ffa787"
"Orange 2C 67-9907-K-30","orange-2c-67-9907-k-30","#fccfc4"
"Orange 2C 20-8810-K-100","orange-2c-20-8810-k-100","#f16b0e"
"Orange 2C 20-8810-K-55","orange-2c-20-8810-k-55","#f4a782"
"Orange 2C 20-8810-K-30","orange-2c-20-8810-k-30","#f6d0c1"
"Orange 2C 21-8811-K-100","orange-2c-21-8811-k-100","#f1680c"
"Orange 2C 21-8811-K-55","orange-2c-21-8811-k-55","#f5ae93"
"Orange 2C 21-8811-K-30","orange-2c-21-8811-k-30","#f6d5c9"
"Orange 2C 68-9908-K-100","orange-2c-68-9908-k-100","#f65e12"
"Orange 2C 68-9908-K-55","orange-2c-68-9908-k-55","#f9a795"
"Orange 2C 68-9908-K-30","orange-2c-68-9908-k-30","#f8d1cb"
"Orange 2C 22-8812-K-100","orange-2c-22-8812-k-100","#ee5f1f"
"Orange 2C 22-8812-K-55","orange-2c-22-8812-k-55","#f4a995"
"Orange 2C 22-8812-K-30","orange-2c-22-8812-k-30","#f5d2ca"
"Rot 3C 10-8813-K-100","rot-3c-10-8813-k-100","#ed5a2a"
