"Grundf Gelb 2 C 01","grundf-gelb-2-c-01","#ffcd00"
"Grundf Orange 2 C 09","grundf-orange-2-c-09","#fb7232"
"Grundf Rot- gelblich 3 C 02","grundf-rot-gelblich-3-c-02","#d9474a"
"Grundf Rot- mittel 3 C 03","grundf-rot-mittel-3-c-03","#c33f65"
"Grundf Rot- blaeulich 3 C 04","grundf-rot-blaeulich-3-c-04","#c83a7e"
"Grundf Violett 7 C 05","grundf-violett-7-c-05","#a04ca1"
"Grundf Blau- roetlich 4 C 06","grundf-blau-roetlich-4-c-06","#465faf"
"Grundf Blau- mittel 4 C 07","grundf-blau-mittel-4-c-07","#0094c7"
"Grundf Gruen 5 C 08","grundf-gruen-5-c-08","#00b78b"
"Chamois 2 C 81-9901-N","chamois-2-c-81-9901-n","#fece60"
"Chamois 2 C 43-8801-N","chamois-2-c-43-8801-n","#fdd74b"
"Gelb 2 C 82-9902-N","gelb-2-c-82-9902-n","#f7d615"
"Gelb 2 C 32-8802-N","gelb-2-c-32-8802-n","#ffd000"
"Gelb 2 C 83-9903-N","gelb-2-c-83-9903-n","#ffd100"
"Gelb 2 C 33-8803-N","gelb-2-c-33-8803-n","#ffc800"
"Gelb 2 C 34-8804-N","gelb-2-c-34-8804-n","#ffc519"
"Gelb 2 C 84-9904-N","gelb-2-c-84-9904-n","#ffc20d"
"Gelb 2 C 35-8805-N","gelb-2-c-35-8805-n","#ffba16"
"Gelb 2 C 85-9905-N","gelb-2-c-85-9905-n","#ffb41b"
"Gelb 2 C 36-8806-N","gelb-2-c-36-8806-n","#feb20e"
"Orange 2 C 37-8807-N","orange-2-c-37-8807-n","#fc9e2d"
"Orange 2 C 86-9906-N","orange-2-c-86-9906-n","#ff9923"
"Orange 2 C 38-8808-N","orange-2-c-38-8808-n","#fa8c26"
"Orange 2 C 39-8809-N","orange-2-c-39-8809-n","#f8872f"
"Orange 2 C 87-9907-N","orange-2-c-87-9907-n","#ff8134"
"Orange 2 C 40-8810-N","orange-2-c-40-8810-n","#f37737"
"Orange 2 C 41-8811-N","orange-2-c-41-8811-n","#f17438"
"Orange 2 C 88-9908-N","orange-2-c-88-9908-n","#f46a3b"
"Orange 2 C 42-8812-N","orange-2-c-42-8812-n","#ee6b38"
"Rot 3 C 30-8813-N","rot-3-c-30-8813-n","#eb6a40"
"Rot 3 C 81-9910-N","rot-3-c-81-9910-n","#ef6441"
"Rot 3 C 41-8814-N","rot-3-c-41-8814-n","#ea6145"
"Rot 3 C 32-8815-N","rot-3-c-32-8815-n","#e65745"
"Rot 3 C 82-9912-N","rot-3-c-82-9912-n","#e65c45"
"Rot 3 C 34-8816-N","rot-3-c-34-8816-n","#e25148"
"Rot 3 C 83-9914-N","rot-3-c-83-9914-n","#da524e"
"Rot 3 C 84-9913-N","rot-3-c-84-9913-n","#dc484c"
"Rot 3 C 85-9922-N","rot-3-c-85-9922-n","#e14f4d"
"Rot 3 C 80-8817-N","rot-3-c-80-8817-n","#dc4745"
"Rot 3 C 36-8818-N","rot-3-c-36-8818-n","#dc4a4d"
"Rot 3 C 37-8819-N","rot-3-c-37-8819-n","#d6464d"
"Rot 3 C 86-9923-N","rot-3-c-86-9923-n","#d04653"
"Rot 3 C 87-9915-N","rot-3-c-87-9915-n","#c6404d"
"Rot 3 C 88-9916-N","rot-3-c-88-9916-n","#a2494b"
"Rot 3 C 51-8820-N","rot-3-c-51-8820-n","#8c484f"
"Rot 3 C 89-9917-N","rot-3-c-89-9917-n","#9d4a57"
"Rot 3 C 90-9918-N","rot-3-c-90-9918-n","#894751"
"Rot 3 C 91-9924-N","rot-3-c-91-9924-n","#cd4866"
"Rot 3 C 92-9928-N","rot-3-c-92-9928-n","#ac4562"
"Rot 3 C 93-9925-N","rot-3-c-93-9925-n","#c44068"
"Rot 3 C 94-9932-N","rot-3-c-94-9932-n","#c43f78"
"Rot 3 C 95-9926-N","rot-3-c-95-9926-n","#c14076"
"Rot 3 C 96-9931-N","rot-3-c-96-9931-n","#be4686"
"Rot 3 C 97-9927-N","rot-3-c-97-9927-n","#c83b7f"
"Violett 7 C 81-9929-N","violett-7-c-81-9929-n","#9e458a"
"Violett 7 C 82-9933-N","violett-7-c-82-9933-n","#a34fa6"
"Violett 7 C 83-9934-N","violett-7-c-83-9934-n","#724a8b"
"Violett 7 C 84-9936-N","violett-7-c-84-9936-n","#654e8d"
"Violett 7 C 85-9937-N","violett-7-c-85-9937-n","#644a88"
"Blau 4 C 81-9935-N","blau-4-c-81-9935-n","#54558e"
"Blau 4 C 33-8821-N","blau-4-c-33-8821-n","#425172"
"Blau 4 C 82-9938-N","blau-4-c-82-9938-n","#445363"
"Blau 4 C 83-9941-N","blau-4-c-83-9941-n","#465873"
"Blau 4 C 35-8822-N","blau-4-c-35-8822-n","#405685"
"Blau 4 C 36-8823-N","blau-4-c-36-8823-n","#4556a5"
"Blau 4 C 84-9945-N","blau-4-c-84-9945-n","#4d638b"
"Blau 4 C 37-8824-N","blau-4-c-37-8824-n","#3b5992"
"Blau 4 C 38-8825-N","blau-4-c-38-8825-n","#3462a6"
"Blau 4 C 85-9942-N","blau-4-c-85-9942-n","#365d90"
"Blau 4 C 86-9943-N","blau-4-c-86-9943-n","#3471a9"
"Blau 4 C 41-8826-N","blau-4-c-41-8826-n","#266eab"
"Blau 4 C 87-9939-N","blau-4-c-87-9939-n","#2f7aae"
"Blau 4 C 42-8827-N","blau-4-c-42-8827-n","#0077ad"
"Blau 4 C 44-8828-N","blau-4-c-44-8828-n","#0078b2"
"Blau 4 C 43-8829-N","blau-4-c-43-8829-n","#0088bc"
"Blau 4 C 88-9944-N","blau-4-c-88-9944-n","#0080b2"
"Blau 4 C 45-8830-N","blau-4-c-45-8830-n","#1e88ac"
"Blau 4 C 89-9940-N","blau-4-c-89-9940-n","#278fac"
"Blau 4 C 90-9946-N","blau-4-c-90-9946-n","#2a88a8"
"Blau 4 C 91-9949-N","blau-4-c-91-9949-n","#008caa"
"Blau 4 C 92-9947-N","blau-4-c-92-9947-n","#008cbf"
"Blau 4 C 93-9948-N","blau-4-c-93-9948-n","#008ba7"
"Blau 4 C 94-9950-N","blau-4-c-94-9950-n","#39b8d3"
"Blau 4 C 95-9951-N","blau-4-c-95-9951-n","#00999c"
"Gruen 5 C 81-9959-N","gruen-5-c-81-9959-n","#009189"
"Gruen 5 C 82-9956-N","gruen-5-c-82-9956-n","#286f61"
"Gruen 5 C 83-9952-N","gruen-5-c-83-9952-n","#008e7f"
"Gruen 5 C 30-8831-N","gruen-5-c-30-8831-n","#00a289"
"Gruen 5 C 84-9953-N","gruen-5-c-84-9953-n","#00ab87"
"Gruen 5 C 31-8832-N","gruen-5-c-31-8832-n","#009e77"
"Gruen 5 C 34-8833-N","gruen-5-c-34-8833-n","#008e5f"
"Gruen 5 C 85-9954-N","gruen-5-c-85-9954-n","#009168"
"Gruen 5 C 86-9955-N","gruen-5-c-86-9955-n","#208567"
"Gruen 5 C 38-8834-N","gruen-5-c-38-8834-n","#51644c"
"Gruen 5 C 39-8835-N","gruen-5-c-39-8835-n","#536f4a"
"Gruen 5 C 87-9958-N","gruen-5-c-87-9958-n","#577454"
"Gruen 5 C 88-9961-N","gruen-5-c-88-9961-n","#546e52"
"Gruen 5 C 40-8836-N","gruen-5-c-40-8836-n","#668446"
"Gruen 5 C 89-9963-N","gruen-5-c-89-9963-n","#6a874e"
"Gruen 5 C 90-9957-N","gruen-5-c-90-9957-n","#288a59"
"Gruen 5 C 41-8837-N","gruen-5-c-41-8837-n","#288553"
"Gruen 5 C 42-8838-N","gruen-5-c-42-8838-n","#18a15d"
"Gruen 5 C 43-8839-N","gruen-5-c-43-8839-n","#4b9a48"
"Gruen 5 C 91-9964-N","gruen-5-c-91-9964-n","#4c9a4d"
"Gruen 5 C 44-8840-N","gruen-5-c-44-8840-n","#5aad41"
"Gruen 5 C 92-9965-N","gruen-5-c-92-9965-n","#58ad40"
"Gruen 5 C 45-8841-N","gruen-5-c-45-8841-n","#5bab40"
"Gruen 5 C 93-9960-N","gruen-5-c-93-9960-n","#65a04d"
"Gruen 5 C 46-8842-N","gruen-5-c-46-8842-n","#7cb93a"
"Gruen 5 C 94-9966-N","gruen-5-c-94-9966-n","#85be39"
"Gruen 5 C 47-8843-N","gruen-5-c-47-8843-n","#8fbe2f"
"Gruen 5 C 95-9967-N","gruen-5-c-95-9967-n","#8cbe33"
"Gruen 5 C 96-9962-N","gruen-5-c-96-9962-n","#7a7b4a"
"Braun 6 C 81-9975-N","braun-6-c-81-9975-n","#8f7b4a"
"Gruen 5 C 97-9968-N","gruen-5-c-97-9968-n","#ccb235"
"Gruen 5 C 98-9969-N","gruen-5-c-98-9969-n","#d1bd29"
"Braun 6 C 36-8844-N","braun-6-c-36-8844-n","#dea738"
"Braun 6 C 82-9971-N","braun-6-c-82-9971-n","#df9e44"
"Braun 6 C 83-9972-N","braun-6-c-83-9972-n","#d48f3a"
"Braun 6 C 84-9973-N","braun-6-c-84-9973-n","#ae8042"
"Braun 6 C 85-9974-N","braun-6-c-85-9974-n","#957045"
"Braun 6 C 86-9976-N","braun-6-c-86-9976-n","#6e5b49"
"Braun 6 C 32-8845-N","braun-6-c-32-8845-n","#946644"
"Braun 6 C 33-8846-N","braun-6-c-33-8846-n","#945e43"
"Braun 6 C 87-9977-N","braun-6-c-87-9977-n","#70594b"
"Braun 6 C 34-8847-N","braun-6-c-34-8847-n","#c5703f"
"Braun 6 C 88-9981-N","braun-6-c-88-9981-n","#b96745"
"Braun 6 C 89-9982-N","braun-6-c-89-9982-n","#a45d46"
"Braun 6 C 90-9978-N","braun-6-c-90-9978-n","#8e604c"
"Braun 6 C 40-8848-N","braun-6-c-40-8848-n","#875344"
"Braun 6 C 91-9983-N","braun-6-c-91-9983-n","#8b584c"
"Braun 6 C 41-8849-N","braun-6-c-41-8849-n","#82554e"
"Braun 6 C 92-9984-N","braun-6-c-92-9984-n","#77524a"
"Braun 6 C 42-8850-N","braun-6-c-42-8850-n","#6c4f44"
"Braun 6 C 43-8851-N","braun-6-c-43-8851-n","#645244"
"Braun 6 C 44-8852-N","braun-6-c-44-8852-n","#5d4d45"
"Braunschwarz 6 C 45-8853-N","braunschwarz-6-c-45-8853-n","#514b4a"
"Braunschwarz 6 C 54-8854-N","braunschwarz-6-c-54-8854-n","#4d5364"
"Grau 1 C 81-9991-N","grau-1-c-81-9991-n","#8e968f"
"Grau 1 C 82-9992-N","grau-1-c-82-9992-n","#636767"
"Grau 1 C 83-9993-N","grau-1-c-83-9993-n","#545c63"
"Grau 1 C 84-9995-N","grau-1-c-84-9995-n","#8a8a7f"
"Grau 1 C 85-9996-N","grau-1-c-85-9996-n","#787a73"
"Grau 1 C 86-9997-N","grau-1-c-86-9997-n","#515350"
"Grau 1 C 33-8855-N","grau-1-c-33-8855-n","#6a6f6b"
"Grau 1 C 34-8856-N","grau-1-c-34-8856-n","#8e8b7d"
"Grau 1 C 35-8857-N","grau-1-c-35-8857-n","#b1a993"
"Grau 1 C 36-8858-N","grau-1-c-36-8858-n","#aaa691"
"Grau 1 C 37-8859-N","grau-1-c-37-8859-n","#afb1a4"
"Chamois 2 C 73-8860-N","chamois-2-c-73-8860-n","#fcdb8e"
