"PB1","pb1","#1e2338"
"PB2","pb2","#19264c"
"PB3","pb3","#192b4a"
"PB4","pb4","#043466"
"PB11","pb11","#005e93"
"PB5","pb5","#006792"
"PB6","pb6","#0086b4"
"PB7","pb7","#4084aa"
"PB8","pb8","#2f6078"
"PB9","pb9","#53bacf"
"PB10","pb10","#83c6ce"
"B06","b06","#cbeae2"
"B07","b07","#bbdbcf"
"B08","b08","#a4d8cd"
"B09","b09","#2fa2a2"
"B10","b10","#008ea2"
"B11","b11","#267586"
"B12","b12","#166171"
"B13","b13","#284753"
"B14","b14","#006d6a"
"B15","b15","#008378"
"BG4","bg4","#00947b"
"BG3","bg3","#4bb296"
"BG2","bg2","#94b7a3"
"BG5","bg5","#9ecbb8"
"G07","g07","#cedac7"
"G08","g08","#acccac"
"G01","g01","#a7d1a5"
"G09","g09","#567f59"
"G02","g02","#007939"
"G03","g03","#006738"
"G04","g04","#1d462c"
"G05","g05","#103828"
"G06","g06","#222f26"
"GY5","gy5","#474430"
"GY4","gy4","#424325"
"GY6","gy6","#484d31"
"GY2","gy2","#757e5f"
"GY7","gy7","#80bb73"
"GY1","gy1","#b2cd95"
"GY8","gy8","#c3d8a8"
"Y11","y11","#f5e6cb"
"Y02","y02","#eedeb0"
"Y12","y12","#f3dbb2"
"Y03","y03","#f4dcae"
"Y04","y04","#f5d693"
"Y05","y05","#efc800"
"Y06","y06","#f3c600"
"Y07","y07","#fead00"
"Y08","y08","#f49c00"
"Y09","y09","#bd7d21"
"Y10","y10","#594b2a"
"YR6","yr6","#a15e1c"
"YR1","yr1","#79482c"
"YR7","yr7","#623e26"
"YR2","yr2","#523d2e"
"YR5","yr5","#492924"
"YR3","yr3","#352221"
"YR4","yr4","#dc570d"
"R05","r05","#d2431c"
"R02","r02","#b62218"
"R03","r03","#b70b1c"
"R04","r04","#801720"
"R01","r01","#6d281d"
"RP3","rp3","#a13460"
"RP4","rp4","#bf6992"
"RP1","rp1","#f3bfca"
"RP2","rp2","#facfd3"
"P01","p01","#deced3"
"P02","p02","#a19ec2"
"B01","b01","#50575b"
"B02","b02","#6b7273"
"B03","b03","#898e8d"
"B04","b04","#969c96"
"B05","b05","#aeb5b1"
"G10","g10","#a7ada7"
"GY9","gy9","#d1d0c0"
"BG1","bg1","#919990"
"GY10","gy10","#73766d"
"GY3","gy3","#7a7a68"
"Y01","y01","#9d8c71"
"Y13","y13","#a4a491"
"GY11","gy11","#aaae97"
