"Herbol A1","herbol-a1","#009d72"
"Herbol A2","herbol-a2","#44bf94"
"Herbol A3","herbol-a3","#5fc69e"
"Herbol A4","herbol-a4","#86ceac"
"Herbol A5","herbol-a5","#a0d6bc"
"Herbol A6","herbol-a6","#b7d7c8"
"Herbol A7","herbol-a7","#cae5d1"
"Herbol A8","herbol-a8","#ddeae0"
"Herbol A9","herbol-a9","#e4e9e0"
"Herbol B1","herbol-b1","#009783"
"Herbol B2","herbol-b2","#30a895"
"Herbol B3","herbol-b3","#65c1ae"
"Herbol B4","herbol-b4","#81d0bf"
"Herbol B5","herbol-b5","#a0d7c9"
"Herbol B6","herbol-b6","#afd8cd"
"Herbol B7","herbol-b7","#b7e0d0"
"Herbol B8","herbol-b8","#d6e7df"
"Herbol B9","herbol-b9","#dee9e2"
"Herbol C1","herbol-c1","#009c95"
"Herbol C2","herbol-c2","#36aaa3"
"Herbol C3","herbol-c3","#45bbaf"
"Herbol C4","herbol-c4","#7ac8c2"
"Herbol C5","herbol-c5","#99d2cd"
"Herbol C6","herbol-c6","#afd4d0"
"Herbol C7","herbol-c7","#c4e8df"
"Herbol C8","herbol-c8","#daebe4"
"Herbol C9","herbol-c9","#dce9e4"
"Herbol Color A","herbol-color-a","#007d58"
"Herbol Color B","herbol-color-b","#00806f"
"Herbol Color C","herbol-color-c","#00827c"
"Herbol Color D","herbol-color-d","#007f85"
"Herbol Color E","herbol-color-e","#007c91"
"Herbol Color F","herbol-color-f","#2c6999"
"Herbol Color G","herbol-color-g","#5760a3"
"Herbol Color H","herbol-color-h","#7c5b8d"
"Herbol Color I","herbol-color-i","#8d4561"
"Herbol Color J","herbol-color-j","#963949"
"Herbol Color K","herbol-color-k","#933b38"
"Herbol Color L","herbol-color-l","#9b4830"
"Herbol Color M","herbol-color-m","#d27341"
"Herbol Color N","herbol-color-n","#ed9026"
"Herbol Color O","herbol-color-o","#eeb03f"
"Herbol Color P","herbol-color-p","#ddbe29"
"Herbol Color Q","herbol-color-q","#c0b830"
"Herbol Color R","herbol-color-r","#8e942f"
"Herbol Color S","herbol-color-s","#6a973a"
"Herbol Color T","herbol-color-t","#248f4b"
"Herbol D1","herbol-d1","#00a0a4"
"Herbol D2","herbol-d2","#3bacad"
"Herbol D3","herbol-d3","#59b7bc"
"Herbol D4","herbol-d4","#7ac7c8"
"Herbol D5","herbol-d5","#91cbcd"
"Herbol D6","herbol-d6","#add3d3"
"Herbol D7","herbol-d7","#bde1e0"
"Herbol D8","herbol-d8","#d3e7e6"
"Herbol D9","herbol-d9","#dbe8e3"
"Herbol E1","herbol-e1","#0595ae"
"Herbol E2","herbol-e2","#2ea6ba"
"Herbol E3","herbol-e3","#47afc3"
"Herbol E4","herbol-e4","#7bc6d3"
"Herbol E5","herbol-e5","#96cdd7"
"Herbol E6","herbol-e6","#b8d8de"
"Herbol E7","herbol-e7","#c1e2e5"
"Herbol E8","herbol-e8","#d8e8e7"
"Herbol E9","herbol-e9","#e1ece9"
"Herbol F1","herbol-f1","#3181bb"
"Herbol F2","herbol-f2","#428ec2"
"Herbol F3","herbol-f3","#6ca7d5"
"Herbol F4","herbol-f4","#83b2da"
"Herbol F5","herbol-f5","#a2c2d8"
"Herbol F6","herbol-f6","#bad2e2"
"Herbol F7","herbol-f7","#c8dee5"
"Herbol F8","herbol-f8","#d7e5e6"
"Herbol F9","herbol-f9","#dce6e4"
"Herbol G1","herbol-g1","#6972b6"
"Herbol G2","herbol-g2","#7b8ec8"
"Herbol G3","herbol-g3","#8d9dd4"
"Herbol G4","herbol-g4","#9fafd9"
"Herbol G5","herbol-g5","#b4bfde"
"Herbol G6","herbol-g6","#c5cde1"
"Herbol G7","herbol-g7","#cfd7e3"
"Herbol G8","herbol-g8","#d7dee4"
"Herbol G9","herbol-g9","#e4e8e9"
"Herbol Grey B","herbol-grey-b","#9da0a2"
"Herbol Grey B1","herbol-grey-b1","#b3b7b9"
"Herbol Grey B2","herbol-grey-b2","#ced2ce"
"Herbol Grey B3","herbol-grey-b3","#d8dbd7"
"Herbol Grey B4","herbol-grey-b4","#e3e6e4"
"Herbol Grey G","herbol-grey-g","#a0a39f"
"Herbol Grey G1","herbol-grey-g1","#b5b9b4"
"Herbol Grey G2","herbol-grey-g2","#d1d2c9"
"Herbol Grey G3","herbol-grey-g3","#d8dad4"
"Herbol Grey G4","herbol-grey-g4","#e8ece3"
"Herbol Grey R","herbol-grey-r","#a09c99"
"Herbol Grey R1","herbol-grey-r1","#b9b4b2"
"Herbol Grey R2","herbol-grey-r2","#d1cdc9"
"Herbol Grey R3","herbol-grey-r3","#ded7d0"
"Herbol Grey R4","herbol-grey-r4","#eae5de"
"Herbol Grey Y","herbol-grey-y","#a5a49f"
"Herbol Grey Y1","herbol-grey-y1","#bcb9b3"
"Herbol Grey Y2","herbol-grey-y2","#d2d0cb"
"Herbol Grey Y3","herbol-grey-y3","#ded9cb"
"Herbol Grey Y4","herbol-grey-y4","#e8e6db"
"Herbol H1","herbol-h1","#8b5c8e"
"Herbol H2","herbol-h2","#a57ca5"
"Herbol H3","herbol-h3","#a98db7"
"Herbol H4","herbol-h4","#bda8c9"
"Herbol H5","herbol-h5","#c8b5d3"
"Herbol H6","herbol-h6","#d1c3d6"
"Herbol H7","herbol-h7","#dcd0de"
"Herbol H8","herbol-h8","#e3dfe1"
"Herbol H9","herbol-h9","#ebe7e4"
"Herbol I1","herbol-i1","#ae567a"
"Herbol I2","herbol-i2","#bf7496"
"Herbol I3","herbol-i3","#c18aa5"
"Herbol I4","herbol-i4","#d99ab2"
"Herbol I5","herbol-i5","#d8aec0"
"Herbol I6","herbol-i6","#e0c1cd"
"Herbol I7","herbol-i7","#eacfd4"
"Herbol I8","herbol-i8","#ebdcdc"
"Herbol I9","herbol-i9","#ede6e3"
"Herbol J1","herbol-j1","#bb586c"
"Herbol J2","herbol-j2","#dc7481"
"Herbol J3","herbol-j3","#e58597"
"Herbol J4","herbol-j4","#e398a0"
"Herbol J5","herbol-j5","#e7b1b3"
"Herbol J6","herbol-j6","#e4c1c2"
"Herbol J7","herbol-j7","#eeccce"
"Herbol J8","herbol-j8","#f8eae2"
"Herbol J9","herbol-j9","#f1e7e0"
"Herbol K1","herbol-k1","#ae4441"
"Herbol K2","herbol-k2","#d65c52"
"Herbol K3","herbol-k3","#e0807b"
"Herbol K4","herbol-k4","#e1968d"
"Herbol K5","herbol-k5","#e6aaa5"
"Herbol K6","herbol-k6","#ebc3b9"
"Herbol K7","herbol-k7","#f3cdc5"
"Herbol K8","herbol-k8","#f2ded6"
"Herbol K9","herbol-k9","#efe4dd"
"Herbol L1","herbol-l1","#bc5a3d"
"Herbol L2","herbol-l2","#e06648"
"Herbol L3","herbol-l3","#e78668"
"Herbol L4","herbol-l4","#f0a185"
"Herbol L5","herbol-l5","#eeb09b"
"Herbol L6","herbol-l6","#ebc4b3"
"Herbol L7","herbol-l7","#f6cab6"
"Herbol L8","herbol-l8","#f5dece"
"Herbol L9","herbol-l9","#f0dfd3"
"Herbol M1","herbol-m1","#e9823c"
"Herbol M2","herbol-m2","#f48b4c"
"Herbol M3","herbol-m3","#ef9762"
"Herbol M4","herbol-m4","#f2ac81"
"Herbol M5","herbol-m5","#f2bb99"
