"GN-02-80 graphitgrau 8","gn-02-80-graphitgrau-8","#dad8d0"
"HN-02-70 graphitgrau 6","hn-02-70-graphitgrau-6","#c2c1bb"
"GN-02-58 graphitgrau 4","gn-02-58-graphitgrau-4","#9f9f9b"
"HN-02-40 graphitgrau 2","hn-02-40-graphitgrau-2","#6e6f6c"
"GN-02-83 graphitgrau 9","gn-02-83-graphitgrau-9","#e7e3da"
"HN-01-76 graphitgrau 7","hn-01-76-graphitgrau-7","#d1cfc9"
"HN-01-64 graphitgrau 5","hn-01-64-graphitgrau-5","#b0b1ad"
"HN-02-47 graphitgrau 3","hn-02-47-graphitgrau-3","#868683"
"DN-02-82","dn-02-82","#e6dbd5"
"D6-05-75","d6-05-75","#dacbc1"
"C0-10-60","c0-10-60","#c2a09a"
"C0-05-45","c0-05-45","#8a7c79"
"CN-01-90","cn-01-90","#f9efe3"
"D6-04-78","d6-04-78","#e2d4cc"
"C4-05-65","c4-05-65","#c2adaa"
"C0-15-55","c0-15-55","#bd8b87"
"C3-12-72 weinrot 7","c3-12-72-weinrot-7","#e5b6ad"
"C2-19-60 weinrot 5","c2-19-60-weinrot-5","#cd9086"
"C3-27-44 weinrot 3","c3-27-44-weinrot-3","#ac6a5f"
"C6-37-31 weinrot 0","c6-37-31-weinrot-0","#8a4a3f"
"C5-08-80 weinrot 9","c5-08-80-weinrot-9","#f1d3c8"
"C3-15-66 weinrot 6","c3-15-66-weinrot-6","#dca69c"
"C2-22-52 weinrot 4","c2-22-52-weinrot-4","#c08076"
"C3-30-38 weinrot 2","c3-30-38-weinrot-2","#9b5c51"
"C8-10-80","c8-10-80","#fed3c6"
"C4-20-70","c4-20-70","#edab9b"
"C4-20-60","c4-20-60","#cc9285"
"C4-40-40","c4-40-40","#b05d4e"
"C8-07-82","c8-07-82","#f7dacf"
"C8-15-75","c8-15-75","#f4c0ad"
"C8-20-60","c8-20-60","#d89986"
"C4-30-50","c4-30-50","#c3796b"
"C8-04-83","c8-04-83","#f2dfd8"
"C8-05-75","c8-05-75","#dbc7bf"
"C8-20-50","c8-20-50","#ac8171"
"C8-20-40","c8-20-40","#976d5d"
"D2-03-86","d2-03-86","#f9e5d8"
"C8-03-78","c8-03-78","#dfd2cd"
"C0-10-50","c0-10-50","#a18a81"
"C8-25-45","c8-25-45","#ac7462"
"D4-10-80 herbstrot 8","d4-10-80-herbstrot-8","#f4d4c4"
"D1-16-72 herbstrot 6","d1-16-72-herbstrot-6","#e7b6a2"
"D0-22-60 herbstrot 4","d0-22-60-herbstrot-4","#cd917a"
"C8-32-44 herbstrot 2","c8-32-44-herbstrot-2","#ad6b56"
"D7-08-84 herbstrot 9","d7-08-84-herbstrot-9","#f7decf"
"D2-13-76 herbstrot 7","d2-13-76-herbstrot-7","#eec7b5"
"C9-20-66 herbstrot 5","c9-20-66-herbstrot-5","#dda690"
"C9-28-51 herbstrot 3","c9-28-51-herbstrot-3","#bc7a64"
"D6-07-82","d6-07-82","#f3d7c8"
"D2-10-70","d2-10-70","#ddbaa9"
"C8-10-60","c8-10-60","#bfa196"
"C8-10-50","c8-10-50","#a18980"
"E0-03-88","e0-03-88","#f8ecdd"
"D6-07-77","d6-07-77","#e4cbbd"
"C8-05-65","c8-05-65","#bfada7"
"C8-15-55","c8-15-55","#b79184"
"D2-05-77 nussbraun 8","d2-05-77-nussbraun-8","#ddcdc3"
"D2-08-65 nussbraun 6","d2-08-65-nussbraun-6","#c2aca2"
"D1-11-51 nussbraun 4","d1-11-51-nussbraun-4","#a2877e"
"D0-14-34 nussbraun 2","d0-14-34-nussbraun-2","#7a6056"
"D8-04-81 nussbraun 9","d8-04-81-nussbraun-9","#e7dad0"
"D3-06-72 nussbraun 7","d3-06-72-nussbraun-7","#d1beb5"
"D0-09-59 nussbraun 5","d0-09-59-nussbraun-5","#b59b91"
"C9-12-41 nussbraun 3","c9-12-41-nussbraun-3","#8a7067"
"E4-03-80","e4-03-80","#e1d9d0"
"D6-10-70","d6-10-70","#d3b5a4"
"D6-10-60","d6-10-60","#b99f8f"
"D2-10-50","d2-10-50","#9d857c"
"EN-02-85","en-02-85","#eee7de"
"E0-05-75","e0-05-75","#d5c6ba"
"D6-15-65","d6-15-65","#d1ac97"
"D2-15-55","d2-15-55","#b59081"
"E4-14-81 pfirsichrot 7","e4-14-81-pfirsichrot-7","#f7d6ba"
"E0-21-73 pfirsichrot 5","e0-21-73-pfirsichrot-5","#ecbc96"
"D8-30-60 pfirsichrot 3","d8-30-60-pfirsichrot-3","#d2946b"
"D7-36-50 pfirsichrot 1","d7-36-50-pfirsichrot-1","#bb7a54"
"E7-11-85 pfirsichrot 8","e7-11-85-pfirsichrot-8","#fae1ca"
"E2-17-77 pfirsichrot 6","e2-17-77-pfirsichrot-6","#f1caaa"
"E0-24-68 pfirsichrot 4","e0-24-68-pfirsichrot-4","#dcaa84"
"D8-34-54 pfirsichrot 2","d8-34-54-pfirsichrot-2","#c3855e"
"E6-08-81 torfbraun 8","e6-08-81-torfbraun-8","#efdcca"
"E4-12-72 torfbraun 6","e4-12-72-torfbraun-6","#dac0a8"
"E1-17-60 torfbraun 4","e1-17-60-torfbraun-4","#c09e83"
"E0-23-44 torfbraun 2","e0-23-44-torfbraun-2","#98745a"
"E9-06-84 torfbraun 9","e9-06-84-torfbraun-9","#f2e4d3"
"E4-10-77 torfbraun 7","e4-10-77-torfbraun-7","#e3ceba"
"E3-15-66 torfbraun 5","e3-15-66-torfbraun-5","#cdb096"
"E0-21-51 torfbraun 3","e0-21-51-torfbraun-3","#ac856a"
"E7-10-85 zimtbraun 8","e7-10-85-zimtbraun-8","#f8e3cc"
"E6-16-78 zimtbraun 6","e6-16-78-zimtbraun-6","#edcdad"
"E3-24-67 zimtbraun 4","e3-24-67-zimtbraun-4","#d9ad89"
"E0-32-51 zimtbraun 2","e0-32-51-zimtbraun-2","#b5825b"
"E9-07-86 zimtbraun 9","e9-07-86-zimtbraun-9","#f7e8d7"
"E6-11-81 zimtbraun 7","e6-11-81-zimtbraun-7","#f1d7bd"
"E4-19-73 zimtbraun 5","e4-19-73-zimtbraun-5","#e2bd9b"
"E2-28-59 zimtbraun 3","e2-28-59-zimtbraun-3","#c7956d"
"E4-07-82","e4-07-82","#f0dcca"
"E4-10-70","e4-10-70","#d3c0ac"
"E0-10-60","e0-10-60","#b6a091"
"D6-10-50","d6-10-50","#9d8a7e"
"E4-05-85","e4-05-85","#f3e2d3"
"E4-07-77","e4-07-77","#e1cebe"
"E4-05-65","e4-05-65","#beb1a6"
"E0-15-55","e0-15-55","#b39580"
"E8-10-80","e8-10-80","#e8d7c1"
"E8-10-70","e8-10-70","#d5bfa9"
"E4-10-60","e4-10-60","#b2a08f"
"E4-10-50","e4-10-50","#988574"
"F2-05-85","f2-05-85","#f1e5d3"
"E8-10-75","e8-10-75","#e0ccb3"
"E4-15-65","e4-15-65","#cbac8f"
"E4-15-55","e4-15-55","#b09880"
"F2-09-84 lehmbraun 8","f2-09-84-lehmbraun-8","#f0e1cb"
"F1-14-78 lehmbraun 6","f1-14-78-lehmbraun-6","#e4ceb1"
"E8-21-66 lehmbraun 4","e8-21-66-lehmbraun-4","#c9ab87"
"E5-25-49 lehmbraun 2","e5-25-49-lehmbraun-2","#a1805d"
"F2-06-86 lehmbraun 9","f2-06-86-lehmbraun-9","#f4e9d7"
"F1-11-81 lehmbraun 7","f1-11-81-lehmbraun-7","#e9d7bc"
"E9-17-73 lehmbraun 5","e9-17-73-lehmbraun-5","#d5bc9d"
"E7-25-58 lehmbraun 3","e7-25-58-lehmbraun-3","#b89875"
