"DN-02-89 rotgrau C","dn-02-89-rotgrau-c","#fcf4ef"
"CN-02-67 rotgrau B","cn-02-67-rotgrau-b","#c0b7b4"
"CN-02-27 rotgrau A","cn-02-27-rotgrau-a","#544f4d"
"C0-03-85 magnolia C","c0-03-85-magnolia-c","#fdece8"
"B4-05-69 magnolia B","b4-05-69-magnolia-b","#d2bab9"
"B1-05-35 magnolia A","b1-05-35-magnolia-a","#6b5c5c"
"C7-04-83 tuna C","c7-04-83-tuna-c","#f8e6e0"
"C7-05-65 tuna B","c7-05-65-tuna-b","#c1afa9"
"C8-10-28 tuna A","c8-10-28-tuna-a","#624e48"
"C9-06-82 ton C","c9-06-82-ton-c","#fcded3"
"C8-10-70 ton B","c8-10-70-ton-b","#dfbaae"
"C8-28-19 ton A","c8-28-19-ton-a","#61362f"
"C7-10-80 cayenne C","c7-10-80-cayenne-c","#ffd6c9"
"C4-30-49 cayenne B","c4-30-49-cayenne-b","#c77463"
"C3-41-22 cayenne A","c3-41-22-cayenne-a","#732e26"
"C1-07-81 rose C","c1-07-81-rose-c","#fedbd4"
"C0-28-58 rose B","c0-28-58-rose-b","#e6867b"
"C0-47-21 rose A","c0-47-21-rose-a","#6f2423"
"B8-04-84 brombeer C","b8-04-84-brombeer-c","#fce5e1"
"B3-25-60 brombeer B","b3-25-60-brombeer-b","#ec8c90"
"B3-31-15 brombeer A","b3-31-15-brombeer-a","#542328"
"B3-14-73 himbeer C","b3-14-73-himbeer-c","#fbbcba"
"B2-38-50 himbeer B","b2-38-50-himbeer-b","#e05c6c"
"B0-39-30 himbeer A","b0-39-30-himbeer-a","#973044"
"C2-11-77 rubin C","c2-11-77-rubin-c","#ffd2c9"
"C0-53-38 rubin B","c0-53-38-rubin-b","#c1363b"
"C1-44-19 rubin A","c1-44-19-rubin-a","#6d2a27"
"C8-19-74 ziegel C","c8-19-74-ziegel-c","#ffbba4"
"C3-48-48 ziegel B","c3-48-48-ziegel-b","#dc5a4c"
