"DN-01-87 rotgrau 5","dn-01-87-rotgrau-5","#faf3ee"
"CN-02-77 rotgrau 4","cn-02-77-rotgrau-4","#e1d6d3"
"CN-02-67 rotgrau 3","cn-02-67-rotgrau-3","#c4bab7"
"CN-02-57 rotgrau 2","cn-02-57-rotgrau-2","#a7a19f"
"CN-02-47 rotgrau 1","cn-02-47-rotgrau-1","#8f8786"
"CO-03-85 magnolia 5","co-03-85-magnolia-5","#feede9"
"B1-05-75 magnolia 4","b1-05-75-magnolia-4","#e5cfcf"
"B1-05-66 magnolia 3","b1-05-66-magnolia-3","#ccb3b4"
"B2-05-56 magnolia 2","b2-05-56-magnolia-2","#ac9a9a"
"B3-05-40 magnolia 1","b3-05-40-magnolia-1","#837574"
"C5-03-77 tuna 5 ","c5-03-77-tuna-5","#e1d5d1"
"C8-05-75 tuna 4 ","c8-05-75-tuna-4","#e4cfc7"
"C8-10-60 tuna 3 ","c8-10-60-tuna-3","#c1a399"
"C7-09-50 tuna 2 ","c7-09-50-tuna-2","#a28b84"
"C6-10-40 tuna 1 ","c6-10-40-tuna-1","#89746d"
"C9-06-82 ton 5 ","c9-06-82-ton-5","#fcded4"
"C8-15-74 ton 4 ","c8-15-74-ton-4","#f6c3b0"
"C7-15-65 ton 3 ","c7-15-65-ton-3","#dbac9d"
"C8-14-56 ton 2  ","c8-14-56-ton-2","#bb9588"
"C8-21-40 ton 1 ","c8-21-40-ton-1","#976b5e"
"C7-10-80 cayenne 5","c7-10-80-cayenne-5","#ffd8cc"
"C4-19-68 cayenne 4","c4-19-68-cayenne-4","#f4ae9f"
"C4-19-59 cayenne 3","c4-19-59-cayenne-3","#d4978a"
"C3-19-50 cayenne 2","c3-19-50-cayenne-2","#b68178"
"C4-31-38 cayenne 1","c4-31-38-cayenne-1","#a26256"
"C0-08-80 rose 5 ","c0-08-80-rose-5","#fed6ce"
"C0-14-74 rose 4 ","c0-14-74-rose-4","#fec1ba"
"B9-24-65 rose 3 ","b9-24-65-rose-3","#f39d95"
"B9-25-54 rose 2 ","b9-25-54-rose-2","#ce857e"
"C0-32-40 rose 1 ","c0-32-40-rose-1","#ab605a"
"B7-07-82 brombeer 5","b7-07-82-brombeer-5","#ffe3de"
"B2-19-69 brombeer 4","b2-19-69-brombeer-4","#faabac"
"B2-31-51 brombeer 3","b2-31-51-brombeer-3","#d8747e"
"B1-29-39 brombeer 2","b1-29-39-brombeer-2","#ac5c64"
"B0-29-30 brombeer 1","b0-29-30-brombeer-1","#8d4f52"
"B5-10-78 himbeer 5","b5-10-78-himbeer-5","#ffd6d3"
"B3-19-67 himbeer 4","b3-19-67-himbeer-4","#fbadaf"
"B2-38-50 himbeer 3","b2-38-50-himbeer-3","#e26674"
"B5-49-39 himbeer 2","b5-49-39-himbeer-2","#c54b55"
"B4-51-32 himbeer 1","b4-51-32-himbeer-1","#ae3c4c"
"C3-20-73 rubin 5","c3-20-73-rubin-5","#ffbaaa"
"B8-31-60 rubin 4","b8-31-60-rubin-4","#f48b86"
