"Herbol Basaltblau","herbol-basaltblau","#445868"
"Herbol Basaltblau St1","herbol-basaltblau-st1","#4d6372"
"Herbol Basaltblau St2","herbol-basaltblau-st2","#536b7a"
"Herbol Basaltblau St3","herbol-basaltblau-st3","#647c8e"
"Herbol Basaltblau St4","herbol-basaltblau-st4","#7c95a8"
"Herbol Basaltblau St5","herbol-basaltblau-st5","#8da5b5"
"Herbol Basaltblau St6","herbol-basaltblau-st6","#a3b9c8"
"Herbol Basaltblau St7","herbol-basaltblau-st7","#b7c7d0"
"Herbol Basaltblau St8","herbol-basaltblau-st8","#c9d7dc"
"Herbol Basaltblau St9","herbol-basaltblau-st9","#d3dcdc"
"Herbol Birkengruen","herbol-birkengruen","#9f8f48"
"Herbol Birkengruen St1","herbol-birkengruen-st1","#af9e59"
"Herbol Birkengruen St2","herbol-birkengruen-st2","#b6a45d"
"Herbol Birkengruen St3","herbol-birkengruen-st3","#c6b370"
"Herbol Birkengruen St4","herbol-birkengruen-st4","#d3c286"
"Herbol Birkengruen St5","herbol-birkengruen-st5","#e0d09b"
"Herbol Birkengruen St6","herbol-birkengruen-st6","#e5d8ac"
"Herbol Birkengruen St7","herbol-birkengruen-st7","#efe2bc"
"Herbol Birkengruen St8","herbol-birkengruen-st8","#f3ebd0"
"Herbol Birkengruen St9","herbol-birkengruen-st9","#f3edd9"
"Herbol Blaugrau","herbol-blaugrau","#54585b"
"Herbol Blaugrau St1","herbol-blaugrau-st1","#5e6365"
"Herbol Blaugrau St2","herbol-blaugrau-st2","#676c6f"
"Herbol Blaugrau St3","herbol-blaugrau-st3","#777e81"
"Herbol Blaugrau St4","herbol-blaugrau-st4","#8c9396"
"Herbol Blaugrau St5","herbol-blaugrau-st5","#9ba1a2"
"Herbol Blaugrau St6","herbol-blaugrau-st6","#aeb2b3"
"Herbol Blaugrau St7","herbol-blaugrau-st7","#bec1bf"
"Herbol Blaugrau St8","herbol-blaugrau-st8","#cacdcb"
"Herbol Blaugrau St9","herbol-blaugrau-st9","#dbddda"
"Herbol Currygelb","herbol-currygelb","#b9843e"
"Herbol Currygelb St1","herbol-currygelb-st1","#c79249"
"Herbol Currygelb St2","herbol-currygelb-st2","#d29c51"
