"HX20108B","hx20108b","#f3db00"
"HX20109B","hx20109b","#f9c200"
"HX20165B","hx20165b","#e55900"
"HX20795B","hx20795b","#c7270c"
"HX20485B","hx20485b","#b92319"
"HX20186B","hx20186b","#a70f19"
"HX20200B","hx20200b","#9c000c"
"HX20220B","hx20220b","#b82c62"
"HX20299B","hx20299b","#0095c4"
"HX20293B","hx20293b","#0061a1"
"HX20300B","hx20300b","#00518e"
"HX20280B","hx20280b","#1b3579"
"HX20281B","hx20281b","#19275d"
"HX20375B","hx20375b","#78c126"
"HX20369B","hx20369b","#3ca401"
"HX20348B","hx20348b","#00723b"
"HX20336B","hx20336b","#00502f"
"HX20BTXB","hx20btxb","#e2d4bb"
"HX20468B","hx20468b","#dfcdac"
"HX20476B","hx20476b","#402616"
"HX20002B","hx20002b","#f3f4f8"
"HX20428B","hx20428b","#c9cac8"
"HX20445B","hx20445b","#5d6262"
"HX20446B","hx20446b","#3f4344"
"HX20889B","hx20889b","#121313"
"HX20890B","hx20890b","#101011"
"HX20BLPB","hx20blpb","#ecedea"
"HX20990B","hx20990b","#b2b4b4"
"HX20948B","hx20948b","#908d85"
"HX20433B","hx20433b","#444340"
"HX20NEPB","hx20nepb","#222222"
"HX20871B","hx20871b","#a3905c"
"HX20877B","hx20877b","#a1a4a5"
