"E-3115B","e-3115b","#e9c700"
"E-3109B","e-3109b","#f6bb00"
"E-3123B","e-3123b","#eca400"
"E-3151B","e-3151b","#e2640f"
"E-3179B","e-3179b","#d03b1b"
"E-3485B","e-3485b","#c22b16"
"E-3186B","e-3186b","#a9101e"
"E-3505B","e-3505b","#601c29"
"E-3220B","e-3220b","#b62a64"
"E-3527B","e-3527b","#5a3a89"
"E-3281B","e-3281b","#22365e"
"E-3280B","e-3280b","#193777"
"E-3ELEB","e-3eleb","#2e44aa"
"E-3286B","e-3286b","#18529d"
"E-3294B","e-3294b","#004d86"
"E-3293B","e-3293b","#004f8d"
"E-3300B","e-3300b","#006dac"
"E-3PROB","e-3prob","#0080b2"
"E-3298B","e-3298b","#0092c1"
"E-3297B","e-3297b","#63b8d8"
"E-3320B","e-3320b","#009392"
"E-3376B","e-3376b","#77ae00"
"E-3360B","e-3360b","#53a537"
"E-3362B","e-3362b","#198b31"
"E-3340B","e-3340b","#007b48"
"E-3348B","e-3348b","#00713c"
"E-3349B","e-3349b","#005f25"
"E-3336B","e-3336b","#004d2a"
"E-3357B","e-3357b","#063f24"
"E-3155B","e-3155b","#f1db9b"
"E-3461B","e-3461b","#e1c495"
"E-3476B","e-3476b","#4d3326"
"E-3889B","e-3889b","#0f1013"
"E-3444B","e-3444b","#6c6f6a"
"E-3430B","e-3430b","#908f8d"
"E-3877B","e-3877b","#979899"
"E-3871B","e-3871b","#9f8648"
"E-3899B","e-3899b","#e0dfe2"
"E-3829B","e-3829b","#edeef1"
"E-3115M","e-3115m","#ecca21"
"E-3109M","e-3109m","#f9c023"
"E-3123M","e-3123m","#eba700"
"E-3151M","e-3151m","#e06a2e"
"E-3179M","e-3179m","#d54b32"
"E-3485M","e-3485m","#c2392d"
"E-3186M","e-3186m","#b33a3e"
"E-3505M","e-3505m","#6d343d"
"E-3220M","e-3220m","#b8436f"
"E-3527M","e-3527m","#5e418b"
"E-3281M","e-3281m","#334062"
"E-3280M","e-3280m","#2b3f78"
"E-3ELEM","e-3elem","#384baa"
"E-3286M","e-3286m","#1f569e"
"E-3294M","e-3294m","#00558b"
"E-3293M","e-3293m","#0d5a92"
"E-3300M","e-3300m","#0070ac"
"E-3PROM","e-3prom","#0088b7"
"E-3298M","e-3298m","#0096c3"
"E-3297M","e-3297m","#6dbddc"
"E-3320M","e-3320m","#009797"
"E-3376M","e-3376m","#7bb118"
"E-3360M","e-3360m","#5aa745"
"E-3362M","e-3362m","#2d903f"
"E-3340M","e-3340m","#008257"
"E-3348M","e-3348m","#007542"
"E-3349M","e-3349m","#00662e"
"E-3336M","e-3336m","#005235"
"E-3357M","e-3357m","#284e3c"
"E-3461M","e-3461m","#e1c597"
"E-3476M","e-3476m","#523c31"
"E-3889M","e-3889m","#3b3b3c"
"E-3444M","e-3444m","#6c706c"
"E-3430M","e-3430m","#929290"
"E-3829M","e-3829m","#eaedf0"
