"MG-2116","mg-2116","#fab500"
"MG-2123","mg-2123","#e5a300"
"MG-2165","mg-2165","#ea6700"
"MG-2RED","mg-2red","#be2515"
"MG-2186","mg-2186","#a91621"
"MG-2201","mg-2201","#8b2326"
"MG-2220","mg-2220","#b43268"
"MG-2280","mg-2280","#00336e"
"MG-2RFX","mg-2rfx","#3047a4"
"MG-2293","mg-2293","#00599b"
"MG-2299","mg-2299","#0094ca"
"MG-2320","mg-2320","#00908c"
"MG-2340","mg-2340","#00763f"
"MG-2357","mg-2357","#083f27"
"MG-2368","mg-2368","#409e04"
"MG-2431","mg-2431","#575c5c"
"MG-2461","mg-2461","#e3c594"
"MG-2476","mg-2476","#51301f"
"MG-2505","mg-2505","#58151c"
"MG-2829","mg-2829","#ebedee"
"MG-2889","mg-2889","#111316"
"MG-2899","mg-2899","#deddde"
"MM-2116","mm-2116","#ecb31c"
"MM-2123","mm-2123","#f3b020"
"MM-2165","mm-2165","#e97134"
"MM-2RED","mm-2red","#c7413a"
"MM-2186","mm-2186","#b23a3d"
"MM-2201","mm-2201","#953b3d"
"MM-2280","mm-2280","#354f87"
"MM-2RFX","mm-2rfx","#4354a7"
"MM-2293","mm-2293","#1467a3"
"MM-2299","mm-2299","#0098cc"
"MM-2340","mm-2340","#007852"
"MM-2357","mm-2357","#3f584a"
"MM-2431","mm-2431","#636667"
"MM-2829","mm-2829","#ecedee"
"MM-2889","mm-2889","#333335"
"MM-2899","mm-2899","#dededf"
