"S-5100B","s-5100b","#eee673"
"S-5108B","s-5108b","#e6d800"
"S-5109B","s-5109b","#f3c200"
"S-5123B","s-5123b","#f7b100"
"S-5136B","s-5136b","#f5a700"
"S-5137B","s-5137b","#f19300"
"S-5165B","s-5165b","#dd5d01"
"S-5OVIF","s-5ovif","#ee5614"
"S-5WRED","s-5wred","#d23e10"
"S-5179B","s-5179b","#ca3919"
"S-5795B","s-5795b","#c8280b"
"S-5485B","s-5485b","#b92216"
"S-5186B","s-5186b","#a61118"
"S-5193B","s-5193b","#961723"
"S-5200B","s-5200b","#96010e"
"S-5201B","s-5201b","#7b1a20"
"S-5505B","s-5505b","#601725"
"S-5214B","s-5214b","#bf3979"
"S-5220B","s-5220b","#b62a63"
"S-5169B","s-5169b","#f7b7a8"
"S-5698B","s-5698b","#ebcebe"
"S-5251B","s-5251b","#d09ed2"
"S-5480B","s-5480b","#894687"
"S-5623B","s-5623b","#563267"
"S-5655B","s-5655b","#7a66a7"
"S-5527B","s-5527b","#5b3a8c"
"S-5532B","s-5532b","#121f32"
"S-5295B","s-5295b","#0b2d55"
"S-5281B","s-5281b","#1d285f"
"S-5280B","s-5280b","#163476"
"S-5NORB","s-5norb","#271e7f"
"S-5ELEB","s-5eleb","#2d42a9"
"S-5RFXB","s-5rfxb","#0f4088"
"S-5294B","s-5294b","#00457d"
"S-5534B","s-5534b","#384a70"
"S-5300B","s-5300b","#005290"
"S-5293B","s-5293b","#0061a6"
"S-5005B","s-5005b","#0085ba"
"S-5299B","s-5299b","#0096cf"
"S-5278B","s-5278b","#7196bc"
"S-5297B","s-5297b","#56add6"
"S-5298B","s-5298b","#7fc9e1"
"S-5351B","s-5351b","#a8dcb6"
"S-5332B","s-5332b","#66d1b7"
"S-5268B","s-5268b","#00ae87"
"S-5320B","s-5320b","#009493"
"S-5323B","s-5323b","#004e4e"
"S-5336B","s-5336b","#004e2c"
"S-5498B","s-5498b","#40471b"
"S-5364B","s-5364b","#235320"
"S-5348B","s-5348b","#007237"
"S-5340B","s-5340b","#008e55"
"S-5354B","s-5354b","#00992d"
"S-5369B","s-5369b","#3d9b01"
"S-5360B","s-5360b","#45b134"
"S-5375B","s-5375b","#7bc52c"
"S-5392B","s-5392b","#8b8605"
"S-5245B","s-5245b","#bf9017"
"S-5167B","s-5167b","#b6520d"
"S-5635B","s-5635b","#86542a"
"S-5405B","s-5405b","#67481d"
"S-5476B","s-5476b","#412818"
"S-5607B","s-5607b","#eae5b4"
"S-5155B","s-5155b","#f2dd9d"
"S-5461B","s-5461b","#e1c394"
"S-5468B","s-5468b","#e2cfac"
"S-5506B","s-5506b","#edd7b8"
"S-5685B","s-5685b","#e9dac2"
"S-5GPEB","s-5gpeb","#d8d5c9"
"S-5517B","s-5517b","#d5d7c8"
"S-5434B","s-5434b","#ded4d0"
"S-5001B","s-5001b","#e9ebf0"
"S-5001M","s-5001m","#edeef3"
"S-5428B","s-5428b","#c4c5c6"
"S-5431B","s-5431b","#908f8c"
"S-5443B","s-5443b","#8e928c"
"S-5430B","s-5430b","#7b8486"
"S-5445B","s-5445b","#5e6363"
"S-5446B","s-5446b","#444848"
"S-5433B","s-5433b","#434342"
"S-5889B","s-5889b","#0d0f11"
"S-5889M","s-5889m","#353537"
"S-5871B","s-5871b","#a58c50"
"S-5877B","s-5877b","#9d9fa0"
"S-5899B","s-5899b","#e1e0e2"
"S-5899M","s-5899m","#e2e1e1"
