"HKS 01 E","01-e","#ffec81"
"HKS 02 E","02-e","#ffea00"
"HKS 03 E","03-e","#ffed00"
"HKS 04 E","04-e","#ffe000"
"HKS 05 E","05-e","#ffd400"
"HKS 06 E","06-e","#fcba00"
"HKS 07 E","07-e","#f69e14"
"HKS 08 E","08-e","#f4941a"
"HKS 10 E","10-e","#ee7535"
"HKS 11 E","11-e","#f8bba5"
"HKS 12 E","12-e","#ed6a35"
"HKS 13 E","13-e","#e73c3e"
"HKS 14 E","14-e","#e84944"
"HKS 15 E","15-e","#e41843"
"HKS 16 E","16-e","#d5203c"
"HKS 17 E","17-e","#d51d4d"
"HKS 18 E","18-e","#be254e"
"HKS 21 E","21-e","#f29db1"
"HKS 22 E","22-e","#ea554c"
"HKS 23 E","23-e","#e52e41"
"HKS 24 E","24-e","#e7386f"
"HKS 25 E","25-e","#e4016e"
"HKS 26 E","26-e","#dc007d"
"HKS 27 E","27-e","#d8007d"
"HKS 28 E","28-e","#ce1866"
"HKS 29 E","29-e","#b03b89"
"HKS 31 E","31-e","#cc2883"
"HKS 32 E","32-e","#dc3589"
"HKS 33 E","33-e","#a73b8a"
"HKS 34 E","34-e","#8b5096"
"HKS 35 E","35-e","#5d569b"
"HKS 36 E","36-e","#6a4f96"
"HKS 37 E","37-e","#6b4890"
"HKS 38 E","38-e","#315f83"
"HKS 39 E","39-e","#008bca"
"HKS 40 E","40-e","#009ac9"
"HKS 41 E","41-e","#16598b"
"HKS 42 E","42-e","#0069b0"
"HKS 43 E","43-e","#0074ba"
"HKS 44 E","44-e","#008ccf"
"HKS 45 E","45-e","#0063aa"
"HKS 46 E","46-e","#0097c7"
"HKS 47 E","47-e","#00a0e1"
"HKS 48 E","48-e","#009fce"
"HKS 49 E","49-e","#009ac6"
"HKS 50 E","50-e","#82d1e9"
"HKS 51 E","51-e","#00a1b3"
"HKS 52 E","52-e","#009f99"
"HKS 53 E","53-e","#34b7a8"
"HKS 54 E","54-e","#00a577"
"HKS 55 E","55-e","#009876"
"HKS 56 E","56-e","#00867d"
"HKS 57 E","57-e","#00a46e"
"HKS 58 E","58-e","#008344"
"HKS 59 E","59-e","#009b99"
"HKS 60 E","60-e","#66b231"
"HKS 61 E","61-e","#008147"
"HKS 62 E","62-e","#b1ad56"
"HKS 63 E","63-e","#8cb326"
"HKS 64 E","64-e","#76b845"
"HKS 65 E","65-e","#87bd43"
"HKS 66 E","66-e","#a5c631"
"HKS 67 E","67-e","#b2cb2d"
"HKS 68 E","68-e","#f6dc00"
"HKS 69 E","69-e","#fae700"
"HKS 71 E","71-e","#fec64a"
"HKS 72 E","72-e","#fcba00"
"HKS 73 E","73-e","#e7a50c"
"HKS 74 E","74-e","#ca9217"
"HKS 75 E","75-e","#bf9f1f"
"HKS 76 E","76-e","#9f6823"
"HKS 77 E","77-e","#9c5639"
"HKS 78 E","78-e","#c56727"
"HKS 81 E","81-e","#f07f21"
"HKS 82 E","82-e","#dd6728"
"HKS 83 E","83-e","#c45e28"
"HKS 84 E","84-e","#a94628"
"HKS 88 E","88-e","#2d2c2b"
"HKS 89 E","89-e","#cfbfa1"
"HKS 90 E","90-e","#5d534f"
"HKS 91 E","91-e","#c0c8bc"
"HKS 92 E","92-e","#9ba39a"
"HKS 93 E","93-e","#75817d"
"HKS 95 E","95-e","#b6b8ac"
"HKS 96 E","96-e","#a8a899"
"HKS 97 E","97-e","#686e5f"
