"HKS 1 E","1-e","#fad666"
"HKS 2 E","2-e","#eed82e"
"HKS 3 E","3-e","#f9d922"
"HKS 4 E","4-e","#ffc527"
"HKS 5 E","5-e","#ffc037"
"HKS 6 E","6-e","#ffa43c"
"HKS 7 E","7-e","#ff813c"
"HKS 207 E","207-e","#ff893e"
"HKS 8 E","8-e","#ff7441"
"HKS 10 E","10-e","#fd6b44"
"HKS 11 E","11-e","#ff9c7e"
"HKS 12 E","12-e","#ef5e49"
"HKS 13 E","13-e","#f55a4f"
"HKS 14 E","14-e","#e55149"
"HKS 15 E","15-e","#e3495a"
"HKS 16 E","16-e","#bc5959"
"HKS 17 E","17-e","#c45163"
"HKS 18 E","18-e","#a64c5b"
"HKS 21 E","21-e","#fd8999"
"HKS 22 E","22-e","#f65b4f"
"HKS 23 E","23-e","#e64e5b"
"HKS 24 E","24-e","#dd4e6e"
"HKS 25 E","25-e","#d5487a"
"HKS 26 E","26-e","#d24a85"
"HKS 27 E","27-e","#dd3f8e"
"HKS 28 E","28-e","#c44b68"
"HKS 29 E","29-e","#b03f9a"
"HKS 31 E","31-e","#cf448e"
"HKS 32 E","32-e","#db3f81"
"HKS 33 E","33-e","#ad41a8"
"HKS 34 E","34-e","#844aa3"
"HKS 35 E","35-e","#5a5199"
"HKS 36 E","36-e","#7753a9"
"HKS 37 E","37-e","#6d508f"
"HKS 38 E","38-e","#545f77"
"HKS 39 E","39-e","#247ecb"
"HKS 40 E","40-e","#008eb5"
"HKS 41 E","41-e","#4c5d79"
"HKS 42 E","42-e","#4a6aad"
"HKS 43 E","43-e","#435fbc"
"HKS 243 E","243-e","#286bbb"
"HKS 44 E","44-e","#157abc"
"HKS 45 E","45-e","#5861a2"
"HKS 46 E","46-e","#208cb6"
"HKS 47 E","47-e","#008fcd"
"HKS 48 E","48-e","#0093bc"
"HKS 49 E","49-e","#0094c5"
"HKS 50 E","50-e","#03b4d6"
"HKS 51 E","51-e","#009ca8"
"HKS 52 E","52-e","#00988d"
"HKS 53 E","53-e","#00b59d"
"HKS 54 E","54-e","#009c75"
"HKS 55 E","55-e","#00927a"
"HKS 56 E","56-e","#388375"
"HKS 57 E","57-e","#279e6c"
"HKS 58 E","58-e","#5b8463"
"HKS 59 E","59-e","#00969c"
"HKS 60 E","60-e","#57a854"
"HKS 61 E","61-e","#5c7a5c"
"HKS 62 E","62-e","#878751"
"HKS 63 E","63-e","#6a925c"
"HKS 64 E","64-e","#44ac57"
"HKS 65 E","65-e","#56b650"
"HKS 66 E","66-e","#83c748"
"HKS 67 E","67-e","#86c747"
"HKS 68 E","68-e","#d3bb3e"
"HKS 69 E","69-e","#dbd240"
"HKS 71 E","71-e","#dda14f"
"HKS 72 E","72-e","#db974a"
"HKS 73 E","73-e","#c08e55"
"HKS 74 E","74-e","#9f774a"
"HKS 75 E","75-e","#947c4b"
"HKS 76 E","76-e","#7c6654"
"HKS 77 E","77-e","#886a5a"
"HKS 78 E","78-e","#996552"
"HKS 81 E","81-e","#d57248"
"HKS 82 E","82-e","#b9694c"
"HKS 83 E","83-e","#9f6358"
"HKS 84 E","84-e","#835c55"
"HKS 88 E","88-e","#544e4b"
"HKS 89 E","89-e","#b1a695"
"HKS 90 E","90-e","#635a52"
"HKS 91 E","91-e","#9da6a2"
"HKS 92 E","92-e","#757776"
"HKS 93 E","93-e","#575c62"
"HKS 95 E","95-e","#98978e"
"HKS 96 E","96-e","#807d77"
"HKS 97 E","97-e","#535451"
