"HKS 01 K","01-k","#ffe380"
"HKS 02 K","02-k","#fee800"
"HKS 03 K","03-k","#ffed00"
"HKS 04 K","04-k","#ffcc00"
"HKS 05 K","05-k","#fcba00"
"HKS 06 K","06-k","#f69e14"
"HKS 07 K","07-k","#f07f21"
"HKS 08 K","08-k","#ee7523"
"HKS 10 K","10-k","#e84829"
"HKS 11 K","11-k","#f5a58b"
"HKS 12 K","12-k","#e63c29"
"HKS 13 K","13-k","#e41c2e"
"HKS 14 K","14-k","#e31c2a"
"HKS 15 K","15-k","#dd1d3b"
"HKS 16 K","16-k","#b62936"
"HKS 17 K","17-k","#b62845"
"HKS 18 K","18-k","#8b333f"
"HKS 21 K","21-k","#f1929e"
"HKS 22 K","22-k","#e73c38"
"HKS 23 K","23-k","#e41843"
"HKS 24 K","24-k","#d51b55"
"HKS 25 K","25-k","#e4056a"
"HKS 26 K","26-k","#c6196f"
"HKS 27 K","27-k","#dc007d"
"HKS 28 K","28-k","#c61f5f"
"HKS 29 K","29-k","#9d257f"
"HKS 31 K","31-k","#c6127e"
"HKS 32 K","32-k","#d4037d"
"HKS 33 K","33-k","#942880"
"HKS 34 K","34-k","#6d3182"
"HKS 35 K","35-k","#3e418d"
"HKS 36 K","36-k","#57418c"
"HKS 37 K","37-k","#5a3483"
"HKS 38 K","38-k","#023d5d"
"HKS 39 K","39-k","#0073b6"
"HKS 40 K","40-k","#0083b4"
"HKS 41 K","41-k","#0b3d64"
"HKS 42 K","42-k","#104692"
"HKS 43 K","43-k","#0057a0"
"HKS 44 K","44-k","#006fb5"
"HKS 45 K","45-k","#4c5ca1"
"HKS 46 K","46-k","#008abe"
"HKS 47 K","47-k","#00a0e1"
"HKS 48 K","48-k","#009fd1"
"HKS 49 K","49-k","#008ec3"
"HKS 50 K","50-k","#00bce3"
"HKS 51 K","51-k","#009ca1"
"HKS 52 K","52-k","#009988"
"HKS 53 K","53-k","#00ab81"
"HKS 54 K","54-k","#008c59"
"HKS 55 K","55-k","#00795a"
"HKS 56 K","56-k","#006f53"
"HKS 57 K","57-k","#008148"
"HKS 58 K","58-k","#4a7a52"
"HKS 59 K","59-k","#00867d"
"HKS 60 K","60-k","#1ea039"
"HKS 61 K","61-k","#2c5228"
"HKS 62 K","62-k","#818045"
"HKS 63 K","63-k","#568539"
"HKS 64 K","64-k","#169937"
"HKS 65 K","65-k","#66b231"
"HKS 66 K","66-k","#77b72e"
"HKS 67 K","67-k","#88bc2a"
"HKS 68 K","68-k","#e5c200"
"HKS 69 K","69-k","#ebe000"
"HKS 71 K","71-k","#e7a318"
"HKS 72 K","72-k","#e28722"
"HKS 73 K","73-k","#bd7d1e"
"HKS 74 K","74-k","#976122"
"HKS 75 K","75-k","#90753b"
"HKS 76 K","76-k","#5c3c27"
"HKS 77 K","77-k","#704539"
"HKS 78 K","78-k","#943a31"
"HKS 81 K","81-k","#da532a"
"HKS 82 K","82-k","#b33f28"
"HKS 83 K","83-k","#8e4539"
"HKS 84 K","84-k","#793a34"
"HKS 88 K","88-k","#2d2c2b"
"HKS 89 K","89-k","#bcb195"
"HKS 90 K","90-k","#463d37"
"HKS 91 K","91-k","#a5ada3"
"HKS 92 K","92-k","#757c7c"
"HKS 93 K","93-k","#4c5757"
"HKS 95 K","95-k","#949380"
"HKS 96 K","96-k","#89857a"
"HKS 97 K","97-k","#3f433a"
