"HKS 1 K","1-k","#f8d66a"
"HKS 2 K","2-k","#f2d400"
"HKS 3 K","3-k","#feda00"
"HKS 4 K","4-k","#ffc100"
"HKS 5 K","5-k","#ffb600"
"HKS 6 K","6-k","#ff8c00"
"HKS 7 K","7-k","#ff6b00"
"HKS 8 K","8-k","#ff5d02"
"HKS 10 K","10-k","#f94711"
"HKS 11 K","11-k","#ff916e"
"HKS 12 K","12-k","#ed3422"
"HKS 13 K","13-k","#ef181e"
"HKS 14 K","14-k","#df252b"
"HKS 15 K","15-k","#c90230"
"HKS 16 K","16-k","#a02031"
"HKS 17 K","17-k","#9f1438"
"HKS 18 K","18-k","#701a32"
"HKS 21 K","21-k","#fd778f"
"HKS 22 K","22-k","#f43133"
"HKS 23 K","23-k","#e1023b"
"HKS 24 K","24-k","#c2154c"
"HKS 25 K","25-k","#cf004f"
"HKS 26 K","26-k","#b90065"
"HKS 27 K","27-k","#d9007f"
"HKS 28 K","28-k","#b1004f"
"HKS 29 K","29-k","#8f1980"
"HKS 31 K","31-k","#c00079"
"HKS 32 K","32-k","#c0005f"
"HKS 33 K","33-k","#a400a5"
"HKS 34 K","34-k","#6b278c"
"HKS 35 K","35-k","#443188"
"HKS 36 K","36-k","#58278c"
"HKS 37 K","37-k","#4f2778"
"HKS 38 K","38-k","#122e45"
"HKS 39 K","39-k","#0059bc"
"HKS 40 K","40-k","#0081b1"
"HKS 41 K","41-k","#1a3553"
"HKS 42 K","42-k","#00379a"
"HKS 43 K","43-k","#0033bb"
"HKS 44 K","44-k","#0055aa"
"HKS 45 K","45-k","#454c99"
"HKS 46 K","46-k","#0077a9"
"HKS 47 K","47-k","#0081ce"
"HKS 48 K","48-k","#0086be"
"HKS 49 K","49-k","#0073b1"
"HKS 50 K","50-k","#00b2dc"
"HKS 51 K","51-k","#00929d"
"HKS 52 K","52-k","#008578"
"HKS 53 K","53-k","#00b28f"
"HKS 54 K","54-k","#00834d"
"HKS 55 K","55-k","#007151"
"HKS 56 K","56-k","#005a4c"
"HKS 57 K","57-k","#007a3b"
"HKS 58 K","58-k","#295b34"
"HKS 59 K","59-k","#007577"
"HKS 60 K","60-k","#008600"
"HKS 61 K","61-k","#254d2a"
"HKS 62 K","62-k","#5a5b1d"
"HKS 63 K","63-k","#356b22"
"HKS 64 K","64-k","#009020"
"HKS 65 K","65-k","#00a500"
"HKS 66 K","66-k","#68b500"
"HKS 67 K","67-k","#5cbd00"
"HKS 68 K","68-k","#d4b700"
"HKS 69 K","69-k","#d6cb00"
"HKS 71 K","71-k","#dd9728"
"HKS 72 K","72-k","#d48105"
"HKS 73 K","73-k","#b0762f"
"HKS 74 K","74-k","#8b5f2a"
"HKS 75 K","75-k","#765e28"
"HKS 76 K","76-k","#533d2c"
"HKS 77 K","77-k","#5b3928"
"HKS 78 K","78-k","#743928"
"HKS 81 K","81-k","#c25526"
"HKS 82 K","82-k","#9e3d21"
"HKS 83 K","83-k","#78382f"
"HKS 84 K","84-k","#63322e"
"HKS 88 K","88-k","#221f1d"
"HKS 89 K","89-k","#a79b89"
"HKS 90 K","90-k","#3a2f2f"
"HKS 91 K","91-k","#99a19b"
"HKS 92 K","92-k","#696e6e"
"HKS 93 K","93-k","#495057"
"HKS 95 K","95-k","#929188"
"HKS 96 K","96-k","#76766f"
"HKS 97 K","97-k","#343831"
"HKS 98 K","98-k","#856945"
"HKS 99 K","99-k","#989898"
