"HKS 01 N","01-n","#ffec81"
"HKS 02 N","02-n","#ffeb00"
"HKS 03 N","03-n","#ffed00"
"HKS 04 N","04-n","#ffdc00"
"HKS 05 N","05-n","#ffd400"
"HKS 06 N","06-n","#fcba00"
"HKS 07 N","07-n","#f69e14"
"HKS 08 N","08-n","#f4941a"
"HKS 10 N","10-n","#ed6a35"
"HKS 11 N","11-n","#f9c4a8"
"HKS 12 N","12-n","#f08256"
"HKS 13 N","13-n","#e73c3e"
"HKS 14 N","14-n","#eb614e"
"HKS 15 N","15-n","#e1494a"
"HKS 16 N","16-n","#d5203c"
"HKS 17 N","17-n","#d51d4d"
"HKS 18 N","18-n","#af294e"
"HKS 21 N","21-n","#ef86a3"
"HKS 22 N","22-n","#e41a3b"
"HKS 23 N","23-n","#e41843"
"HKS 24 N","24-n","#e40866"
"HKS 25 N","25-n","#e4056a"
"HKS 26 N","26-n","#dc007d"
"HKS 27 N","27-n","#df007d"
"HKS 28 N","28-n","#d50d72"
"HKS 29 N","29-n","#ae1f7f"
"HKS 31 N","31-n","#d62583"
"HKS 32 N","32-n","#dc007d"
"HKS 33 N","33-n","#a6227f"
"HKS 34 N","34-n","#813f8b"
"HKS 35 N","35-n","#534e96"
"HKS 36 N","36-n","#805096"
"HKS 37 N","37-n","#6c408b"
"HKS 38 N","38-n","#005c83"
"HKS 39 N","39-n","#007abf"
"HKS 40 N","40-n","#00acdd"
"HKS 41 N","41-n","#195380"
"HKS 42 N","42-n","#006db1"
"HKS 43 N","43-n","#006fb5"
"HKS 44 N","44-n","#0084c8"
"HKS 45 N","45-n","#2859a0"
"HKS 46 N","46-n","#0096cc"
"HKS 47 N","47-n","#009ede"
"HKS 48 N","48-n","#00a0d9"
"HKS 49 N","49-n","#00a0d5"
"HKS 50 N","50-n","#83d0e1"
"HKS 51 N","51-n","#009db1"
"HKS 52 N","52-n","#009b99"
"HKS 53 N","53-n","#00ad9c"
"HKS 54 N","54-n","#00a577"
"HKS 55 N","55-n","#009876"
"HKS 56 N","56-n","#008576"
"HKS 57 N","57-n","#00a96e"
"HKS 58 N","58-n","#008d4c"
"HKS 59 N","59-n","#009ca1"
"HKS 60 N","60-n","#76b845"
"HKS 61 N","61-n","#5a8c3b"
"HKS 62 N","62-n","#b1ad56"
"HKS 63 N","63-n","#7db040"
"HKS 64 N","64-n","#62b55b"
"HKS 65 N","65-n","#a2c963"
"HKS 66 N","66-n","#b2cb3c"
"HKS 67 N","67-n","#b2ca19"
"HKS 68 N","68-n","#ded100"
"HKS 69 N","69-n","#f4e400"
"HKS 71 N","71-n","#fec300"
"HKS 72 N","72-n","#f8b800"
"HKS 73 N","73-n","#d59e1f"
"HKS 74 N","74-n","#cb9814"
"HKS 75 N","75-n","#b48f42"
"HKS 76 N","76-n","#8f6b39"
"HKS 77 N","77-n","#97622d"
"HKS 78 N","78-n","#bb703d"
"HKS 81 N","81-n","#f28a1d"
"HKS 82 N","82-n","#e57123"
"HKS 83 N","83-n","#b75730"
"HKS 84 N","84-n","#a55133"
"HKS 88 N","88-n","#2d2c2b"
"HKS 89 N","89-n","#c6bc9d"
"HKS 90 N","90-n","#524946"
"HKS 91 N","91-n","#afbcb3"
"HKS 92 N","92-n","#929a96"
"HKS 93 N","93-n","#627b7f"
"HKS 95 N","95-n","#b3b19f"
"HKS 96 N","96-n","#a5a99b"
"HKS 97 N","97-n","#353833"
