"HKS 1 N","1-n","#ffdc68"
"HKS 2 N","2-n","#f9dc13"
"HKS 3 N","3-n","#ffd800"
"HKS 4 N","4-n","#ffc900"
"HKS 5 N","5-n","#ffbc06"
"HKS 6 N","6-n","#ff9e1c"
"HKS 7 N","7-n","#ff7d21"
"HKS 8 N","8-n","#ff6b2b"
"HKS 10 N","10-n","#f6502f"
"HKS 11 N","11-n","#ff9879"
"HKS 12 N","12-n","#ec4e3b"
"HKS 13 N","13-n","#ed3a40"
"HKS 14 N","14-n","#e13f41"
"HKS 15 N","15-n","#d53049"
"HKS 16 N","16-n","#ad3a45"
"HKS 17 N","17-n","#a93b50"
"HKS 18 N","18-n","#954152"
"HKS 21 N","21-n","#f77486"
"HKS 22 N","22-n","#ec4446"
"HKS 23 N","23-n","#d82740"
"HKS 24 N","24-n","#d83866"
"HKS 25 N","25-n","#cf2d5b"
"HKS 26 N","26-n","#bf2f6c"
"HKS 27 N","27-n","#d42975"
"HKS 28 N","28-n","#b33859"
"HKS 29 N","29-n","#a42b93"
"HKS 31 N","31-n","#c2387c"
"HKS 32 N","32-n","#c83375"
"HKS 33 N","33-n","#a13397"
"HKS 34 N","34-n","#774291"
"HKS 35 N","35-n","#524993"
"HKS 36 N","36-n","#6a468d"
"HKS 37 N","37-n","#644385"
"HKS 38 N","38-n","#41546a"
"HKS 39 N","39-n","#0f69b5"
"HKS 40 N","40-n","#0080ae"
"HKS 41 N","41-n","#364e6d"
"HKS 42 N","42-n","#2655ac"
"HKS 43 N","43-n","#0d59ab"
"HKS 44 N","44-n","#006ab3"
"HKS 45 N","45-n","#475696"
"HKS 46 N","46-n","#0084b2"
"HKS 47 N","47-n","#007cbf"
"HKS 48 N","48-n","#0081b1"
"HKS 49 N","49-n","#007dac"
"HKS 50 N","50-n","#00b4d6"
"HKS 51 N","51-n","#00909b"
"HKS 52 N","52-n","#008c7f"
"HKS 53 N","53-n","#00a686"
"HKS 54 N","54-n","#009368"
"HKS 55 N","55-n","#007b63"
"HKS 56 N","56-n","#156459"
"HKS 57 N","57-n","#008554"
"HKS 58 N","58-n","#47704f"
"HKS 59 N","59-n","#008089"
"HKS 60 N","60-n","#4a993f"
"HKS 61 N","61-n","#446344"
"HKS 62 N","62-n","#787940"
"HKS 63 N","63-n","#5c8649"
"HKS 64 N","64-n","#28a144"
"HKS 65 N","65-n","#50b543"
"HKS 66 N","66-n","#7dbb2a"
"HKS 67 N","67-n","#86c12e"
"HKS 68 N","68-n","#d4ba28"
"HKS 69 N","69-n","#d6ca18"
"HKS 71 N","71-n","#e29e3e"
"HKS 72 N","72-n","#dc9035"
"HKS 73 N","73-n","#b57e40"
"HKS 74 N","74-n","#997042"
"HKS 75 N","75-n","#8d7545"
"HKS 76 N","76-n","#645243"
"HKS 77 N","77-n","#725547"
"HKS 78 N","78-n","#8c5745"
"HKS 81 N","81-n","#cd6740"
"HKS 82 N","82-n","#b65b42"
"HKS 83 N","83-n","#8b4d45"
"HKS 84 N","84-n","#7a4f4a"
"HKS 88 N","88-n","#43403e"
"HKS 89 N","89-n","#a59984"
"HKS 90 N","90-n","#544946"
"HKS 91 N","91-n","#9aa29c"
"HKS 92 N","92-n","#6a7070"
"HKS 93 N","93-n","#535a5f"
"HKS 95 N","95-n","#8f9085"
"HKS 96 N","96-n","#8a8780"
"HKS 97 N","97-n","#414440"
