"HKS 01 Z","01-z","#ffea66"
"HKS 02 Z","02-z","#ffea00"
"HKS 03 Z","03-z","#ffed00"
"HKS 04 Z","04-z","#ffd400"
"HKS 05 Z","05-z","#ffcc00"
"HKS 06 Z","06-z","#fcba00"
"HKS 07 Z","07-z","#f69e14"
"HKS 08 Z","08-z","#f28a1d"
"HKS 10 Z","10-z","#ee7523"
"HKS 11 Z","11-z","#f5a58b"
"HKS 12 Z","12-z","#eb6035"
"HKS 13 Z","13-z","#e63c29"
"HKS 14 Z","14-z","#e8482e"
"HKS 15 Z","15-z","#e52e46"
"HKS 16 Z","16-z","#d5203c"
"HKS 17 Z","17-z","#d4155f"
"HKS 18 Z","18-z","#be2452"
"HKS 21 Z","21-z","#f192a4"
"HKS 22 Z","22-z","#e73c3e"
"HKS 23 Z","23-z","#e52d4a"
"HKS 24 Z","24-z","#e4056a"
"HKS 25 Z","25-z","#e4016e"
"HKS 26 Z","26-z","#dc0079"
"HKS 27 Z","27-z","#dc007d"
"HKS 28 Z","28-z","#d62877"
"HKS 29 Z","29-z","#af2f84"
"HKS 31 Z","31-z","#cf2783"
"HKS 32 Z","32-z","#d4037d"
"HKS 33 Z","33-z","#b72d84"
"HKS 34 Z","34-z","#942880"
"HKS 35 Z","35-z","#2b4792"
"HKS 36 Z","36-z","#6d3987"
"HKS 37 Z","37-z","#6d3182"
"HKS 38 Z","38-z","#004977"
"HKS 39 Z","39-z","#007fc4"
"HKS 40 Z","40-z","#0097d2"
"HKS 41 Z","41-z","#005688"
"HKS 42 Z","42-z","#005da5"
"HKS 43 Z","43-z","#0063aa"
"HKS 44 Z","44-z","#0084c8"
"HKS 45 Z","45-z","#1b418d"
"HKS 46 Z","46-z","#008cc4"
"HKS 47 Z","47-z","#0097d9"
"HKS 48 Z","48-z","#00a0d9"
"HKS 49 Z","49-z","#0093ce"
"HKS 50 Z","50-z","#00bce3"
"HKS 51 Z","51-z","#009eba"
"HKS 52 Z","52-z","#009b99"
"HKS 53 Z","53-z","#00b3a7"
"HKS 54 Z","54-z","#00a46e"
"HKS 55 Z","55-z","#009876"
"HKS 56 Z","56-z","#007e73"
"HKS 57 Z","57-z","#009556"
"HKS 58 Z","58-z","#007936"
"HKS 59 Z","59-z","#008d99"
"HKS 60 Z","60-z","#66b231"
"HKS 61 Z","61-z","#3d7f35"
"HKS 62 Z","62-z","#b2a83f"
"HKS 63 Z","63-z","#6dac4c"
"HKS 64 Z","64-z","#39aa41"
"HKS 65 Z","65-z","#84c064"
"HKS 66 Z","66-z","#b0cd56"
"HKS 67 Z","67-z","#b1cc49"
"HKS 68 Z","68-z","#f4e625"
"HKS 69 Z","69-z","#fee800"
"HKS 71 Z","71-z","#fec417"
"HKS 72 Z","72-z","#fab201"
"HKS 73 Z","73-z","#dd9e11"
"HKS 74 Z","74-z","#b57e1d"
"HKS 75 Z","75-z","#a89320"
"HKS 76 Z","76-z","#704d23"
"HKS 77 Z","77-z","#8c5224"
"HKS 78 Z","78-z","#af5c2b"
"HKS 81 Z","81-z","#da6325"
"HKS 82 Z","82-z","#d35c36"
"HKS 83 Z","83-z","#aa332d"
"HKS 84 Z","84-z","#913933"
"HKS 88 Z","88-z","#222a2c"
"HKS 89 Z","89-z","#c4b7a8"
"HKS 90 Z","90-z","#3c332f"
"HKS 91 Z","91-z","#bfcfd2"
"HKS 92 Z","92-z","#84919b"
"HKS 93 Z","93-z","#53626d"
"HKS 95 Z","95-z","#b6b9b6"
"HKS 96 Z","96-z","#989d9c"
"HKS 97 Z","97-z","#353834"
