"HKS 2 Z","2-z","#e4cd2b"
"HKS 3 Z","3-z","#e6c930"
"HKS 4 Z","4-z","#ecba38"
"HKS 5 Z","5-z","#edb43e"
"HKS 6 Z","6-z","#f2a142"
"HKS 7 Z","7-z","#f4873d"
"HKS 8 Z","8-z","#f17842"
"HKS 10 Z","10-z","#eb6141"
"HKS 12 Z","12-z","#e35340"
"HKS 13 Z","13-z","#e45447"
"HKS 14 Z","14-z","#e65d56"
"HKS 15 Z","15-z","#dc4f57"
"HKS 16 Z","16-z","#ca555a"
"HKS 18 Z","18-z","#994e5a"
"HKS 22 Z","22-z","#dd4f49"
"HKS 23 Z","23-z","#d74e54"
"HKS 25 Z","25-z","#cb496b"
"HKS 27 Z","27-z","#d34887"
"HKS 33 Z","33-z","#a4469c"
"HKS 34 Z","34-z","#805296"
"HKS 37 Z","37-z","#6d4f99"
"HKS 38 Z","38-z","#4c566c"
"HKS 39 Z","39-z","#2170b3"
"HKS 41 Z","41-z","#506077"
"HKS 42 Z","42-z","#4364a6"
"HKS 43 Z","43-z","#4465ab"
"HKS 44 Z","44-z","#1c73ae"
"HKS 46 Z","46-z","#367f9f"
"HKS 47 Z","47-z","#008bba"
"HKS 48 Z","48-z","#0094b3"
"HKS 50 Z","50-z","#33a4ba"
"HKS 51 Z","51-z","#0098a5"
"HKS 53 Z","53-z","#00aa90"
"HKS 54 Z","54-z","#009b6f"
"HKS 55 Z","55-z","#0e9173"
"HKS 57 Z","57-z","#238e5b"
"HKS 60 Z","60-z","#5da04b"
"HKS 61 Z","61-z","#547353"
"HKS 62 Z","62-z","#858549"
"HKS 63 Z","63-z","#688c4c"
"HKS 64 Z","64-z","#419d53"
"HKS 65 Z","65-z","#4db051"
"HKS 66 Z","66-z","#80bd47"
"HKS 67 Z","67-z","#76b83d"
"HKS 71 Z","71-z","#e19d3b"
"HKS 72 Z","72-z","#dc933e"
"HKS 76 Z","76-z","#715b47"
"HKS 77 Z","77-z","#785847"
"HKS 78 Z","78-z","#92604c"
"HKS 82 Z","82-z","#b9674d"
