"HKS 1 E","1-E","#fad666"
"HKS 2 E","2-E","#eed82e"
"HKS 3 E","3-E","#f9d922"
"HKS 4 E","4-E","#ffc527"
"HKS 5 E","5-E","#ffc037"
"HKS 6 E","6-E","#ffa43c"
"HKS 7 E","7-E","#ff813c"
"HKS 207 E","207-E","#ff893e"
"HKS 8 E","8-E","#ff7441"
"HKS 10 E","10-E","#fd6b44"
"HKS 11 E","11-E","#ff9c7e"
"HKS 12 E","12-E","#ef5e49"
"HKS 13 E","13-E","#f55a4f"
"HKS 14 E","14-E","#e55149"
"HKS 15 E","15-E","#e3495a"
"HKS 16 E","16-E","#bc5959"
"HKS 17 E","17-E","#c45163"
"HKS 18 E","18-E","#a64c5b"
"HKS 21 E","21-E","#fd8999"
"HKS 22 E","22-E","#f65b4f"
"HKS 23 E","23-E","#e64e5b"
"HKS 24 E","24-E","#dd4e6e"
"HKS 25 E","25-E","#d5487a"
"HKS 26 E","26-E","#d24a85"
"HKS 27 E","27-E","#dd3f8e"
"HKS 28 E","28-E","#c44b68"
"HKS 29 E","29-E","#b03f9a"
"HKS 31 E","31-E","#cf448e"
"HKS 32 E","32-E","#db3f81"
"HKS 33 E","33-E","#ad41a8"
"HKS 34 E","34-E","#844aa3"
"HKS 35 E","35-E","#5a5199"
"HKS 36 E","36-E","#7753a9"
"HKS 37 E","37-E","#6d508f"
"HKS 38 E","38-E","#545f77"
"HKS 39 E","39-E","#247ecb"
"HKS 40 E","40-E","#008eb5"
"HKS 41 E","41-E","#4c5d79"
"HKS 42 E","42-E","#4a6aad"
"HKS 43 E","43-E","#435fbc"
"HKS 243 E","243-E","#286bbb"
"HKS 44 E","44-E","#157abc"
"HKS 45 E","45-E","#5861a2"
"HKS 46 E","46-E","#208cb6"
"HKS 47 E","47-E","#008fcd"
"HKS 48 E","48-E","#0093bc"
"HKS 49 E","49-E","#0094c5"
"HKS 50 E","50-E","#03b4d6"
"HKS 51 E","51-E","#009ca8"
"HKS 52 E","52-E","#00988d"
"HKS 53 E","53-E","#00b59d"
"HKS 54 E","54-E","#009c75"
"HKS 55 E","55-E","#00927a"
"HKS 56 E","56-E","#388375"
"HKS 57 E","57-E","#279e6c"
"HKS 58 E","58-E","#5b8463"
"HKS 59 E","59-E","#00969c"
"HKS 60 E","60-E","#57a854"
"HKS 61 E","61-E","#5c7a5c"
"HKS 62 E","62-E","#878751"
"HKS 63 E","63-E","#6a925c"
"HKS 64 E","64-E","#44ac57"
"HKS 65 E","65-E","#56b650"
"HKS 66 E","66-E","#83c748"
"HKS 67 E","67-E","#86c747"
"HKS 68 E","68-E","#d3bb3e"
"HKS 69 E","69-E","#dbd240"
"HKS 71 E","71-E","#dda14f"
"HKS 72 E","72-E","#db974a"
"HKS 73 E","73-E","#c08e55"
"HKS 74 E","74-E","#9f774a"
"HKS 75 E","75-E","#947c4b"
"HKS 76 E","76-E","#7c6654"
"HKS 77 E","77-E","#886a5a"
