"Hint Of Vanilla","1","#eee8dc"
"Elusive White","2","#e8e3d6"
"Nilla Vanilla","3","#f1ebe0"
"Child Of Heaven","4","#f1ebe0"
"Kiara","5","#f5ecdc"
"Little Dove","6","#ebe0ce"
"Cotton Ball","7","#f5efde"
"Casa Blanca","8","#f4ecd8"
"Chapel Wall","9","#f3ead7"
"Petticoat","10","#efe5ce"
"Sugar Dust","11","#f8f6ed"
"Bunny Cake","12","#f5efe2"
"Sphere","13","#f2e8cc"
"Twill","14","#f0e8d3"
"White Glove","15","#f9f4e3"
"Pumice Stone","16","#f7f1df"
"Luna Moon","17","#eceae1"
"Dove White","18","#e6e2d8"
"Mystic Fog","19","#eae9e1"
"Bonaire","20","#e6e2d7"
"Barely White","21","#e1e3dd"
"White Kitten","22","#dfdfdb"
"Shell Tint","23","#ecf0e9"
"Just About White","24","#e8e8e0"
"Prismatic Pearl","25","#eae8dd"
"Moon Drop","26","#ddd5c9"
"White Fence","27","#e8e4d9"
"Bannister White","28","#e1e0d6"
"Cherish Is The Word","29","#e6e4da"
"Lady Nicole","30","#d6d6cd"
"Italian Ice","31","#e2e0d3"
"Ice Dream","32","#eaebe1"
"Chafed Wheat","33","#f6e0cf"
"Here Comes The Sun","34","#f1d0be"
"Weekend Retreat","35","#e9c2ad"
"Fortune's Prize","36","#daa994"
"Money Tree","37","#c9937a"
"Autumn's Hill","38","#ba7a61"
"Mandalay Road","39","#a05f45"
"Antique Candle Light","40","#f4e1d6"
"Chinese Cherry","41","#f1d7cb"
"Antoinette Pink","42","#e7c2b4"
"Angel Breath","43","#dcaf9f"
"Calliope","44","#c89a8d"
"Sizzling Hot","45","#a36956"
"Valentino","46","#7f4738"
"Sand Island","47","#f4d1c2"
"Embrace","48","#e8b8a7"
"Auburn Wave","49","#d8a394"
"Simmering Ridge","50","#cb9281"
"Caramel Candy","51","#b3715d"
"Spiced Carrot","52","#a4624c"
"Remaining Embers","53","#8a4c38"
"Wink Pink","54","#f8e8df"
"Strawberry Whip","55","#f9d7cd"
"Dainty Debutante","56","#f4bdb3"
"Marble Pink","57","#d28279"
"Angelic Choir","58","#b8665c"
"Quintessential","59","#8c4f46"
"Parlor Rose","60","#893e39"
"Pinkathon","61","#f1bdba"
"Blooming Perfect","62","#d89696"
"Impatient Heart","63","#c47d7c"
"Lord Baltimore","64","#b76764"
"Poppy Prose","65","#ae605b"
"Wild Rose","66","#90343a"
"Lover's Kiss","67","#8f3b3d"
"Summer Blush","68","#f7dfd7"
"Empire Rose","69","#e7c5c1"
"O Fortuna","70","#e1b8b5"
"Ruby Eye","71","#d0a2a0"
"Notice Me","72","#ba8686"
"Corazon","73","#9d6663"
"Emperor's Robe","74","#7b4940"
