"HL8011","hl8011","#e9eedf"
"HL8012","hl8012","#e7f0e4"
"HL8013","hl8013","#ddecdb"
"HL8014","hl8014","#e1f0e5"
"HL8015","hl8015","#c4dfd4"
"HL8021","hl8021","#e1e7d0"
"HL8022","hl8022","#dbeecd"
"HL8023","hl8023","#c7d5b8"
"HL8024","hl8024","#c5d3b5"
"HL8025","hl8025","#b0c1a3"
"HL8031","hl8031","#eff0dd"
"HL8032","hl8032","#e7ecd0"
"HL8033","hl8033","#d0dcc4"
"HL8034","hl8034","#c1d3ba"
"HL8035","hl8035","#b6c7b2"
"HL8041","hl8041","#d6ebdf"
"HL8042","hl8042","#d0e3d3"
"HL8043","hl8043","#a1bba1"
"HL8044","hl8044","#98b89e"
"HL8045","hl8045","#8cab8f"
"HL8051","hl8051","#c6ddd5"
"HL8052","hl8052","#b5d5c0"
"HL8053","hl8053","#9db2a0"
"HL8054","hl8054","#a1b2a3"
"HL8055","hl8055","#96ac9f"
"HL8061","hl8061","#c1dad2"
"HL8062","hl8062","#93b7b2"
"HL8063","hl8063","#88a39a"
"HL8064","hl8064","#829b91"
"HL8065","hl8065","#80998e"
"HL8071","hl8071","#d9e5e4"
"HL8072","hl8072","#c8dee1"
"HL8073","hl8073","#c0d0d2"
"HL8074","hl8074","#a9c6cb"
"HL8075","hl8075","#85aab2"
"HL8081","hl8081","#cee4e2"
"HL8082","hl8082","#b5d2cc"
"HL8083","hl8083","#bed2ce"
"HL8084","hl8084","#b4cbc7"
"HL8085","hl8085","#a1bcba"
"HL8091","hl8091","#b4d5e0"
"HL8092","hl8092","#b2d3dd"
"HL8093","hl8093","#b4d4db"
"HL8094","hl8094","#82b7bf"
"HL8095","hl8095","#458892"
"HL8101","hl8101","#c6d1da"
"HL8102","hl8102","#b8cbd8"
"HL8103","hl8103","#a8bbc7"
"HL8104","hl8104","#94a7b7"
"HL8105","hl8105","#8d9ca4"
"HL8111","hl8111","#c0cdd3"
"HL8112","hl8112","#b2bcc1"
"HL8113","hl8113","#878d8e"
"HL8114","hl8114","#717679"
"HL8115","hl8115","#6e7477"
"HL8121","hl8121","#b2b9b8"
"HL8122","hl8122","#a7afad"
"HL8123","hl8123","#97a19e"
"HL8124","hl8124","#8c9696"
"HL8125","hl8125","#97a0a2"
"HL8131","hl8131","#e9e0e4"
"HL8132","hl8132","#eddeea"
"HL8133","hl8133","#e9dee6"
"HL8134","hl8134","#e2d6dd"
"HL8135","hl8135","#e0bdca"
"HL8141","hl8141","#eed9ce"
"HL8142","hl8142","#eeccb9"
"HL8143","hl8143","#eec6b7"
"HL8144","hl8144","#f0cac7"
"HL8145","hl8145","#eac0bb"
"HL8151","hl8151","#edded7"
"HL8152","hl8152","#efdacd"
"HL8153","hl8153","#ecd2be"
"HL8154","hl8154","#eacfb6"
"HL8155","hl8155","#e7c6ab"
"HL8161","hl8161","#f2ccaa"
"HL8162","hl8162","#f2d1b8"
"HL8163","hl8163","#efc4a8"
"HL8164","hl8164","#f6ba93"
"HL8165","hl8165","#e39c70"
"HL8171","hl8171","#e3d4d4"
"HL8172","hl8172","#e9d5cb"
"HL8173","hl8173","#e2cac2"
"HL8174","hl8174","#dfbcb1"
"HL8175","hl8175","#d5afa3"
"HL8181","hl8181","#c68573"
"HL8182","hl8182","#cb9688"
"HL8183","hl8183","#bb8980"
"HL8184","hl8184","#ab817a"
"HL8185","hl8185","#a77665"
"HL8191","hl8191","#efe2d9"
"HL8192","hl8192","#e0c8c0"
"HL8193","hl8193","#c09e97"
"HL8194","hl8194","#b79692"
"HL8195","hl8195","#ae8f8d"
"HL8201","hl8201","#dac3af"
"HL8202","hl8202","#b69c8c"
"HL8203","hl8203","#b4988c"
"HL8204","hl8204","#a68d80"
"HL8205","hl8205","#9f8a80"
"HL8211","hl8211","#bc9b8f"
"HL8212","hl8212","#96766c"
"HL8213","hl8213","#8a6964"
"HL8214","hl8214","#755953"
"HL8215","hl8215","#714f48"
"HL8221","hl8221","#914f46"
"HL8222","hl8222","#8c4d47"
"HL8223","hl8223","#865049"
"HL8224","hl8224","#754b43"
"HL8225","hl8225","#774e46"
"HL8231","hl8231","#f5f2e0"
"HL8232","hl8232","#efecd8"
"HL8233","hl8233","#f2e7cd"
"HL8234","hl8234","#f4e7c8"
"HL8235","hl8235","#f1e6ce"
"HL8241","hl8241","#e8e7d6"
"HL8242","hl8242","#efe7cd"
"HL8243","hl8243","#f1e3c9"
"HL8244","hl8244","#eee2c7"
"HL8245","hl8245","#f3e0c0"
"HL8251","hl8251","#e4cfae"
"HL8252","hl8252","#dcd1ba"
