"IKEA001","ikea001","#f8f1e6"
"IKEA002","ikea002","#efe8e1"
"IKEA003","ikea003","#f9f2ec"
"IKEA004","ikea004","#f7f2eb"
"IKEA005","ikea005","#ede8e0"
"IKEA006","ikea006","#eee7dd"
"IKEA007","ikea007","#f4f0e5"
"IKEA008","ikea008","#efe4d3"
"IKEA009","ikea009","#f8f3e9"
"IKEA010","ikea010","#f3ecde"
"IKEA011","ikea011","#f6f3e7"
"IKEA012","ikea012","#eee7d3"
"IKEA013","ikea013","#f4f2e5"
"IKEA014","ikea014","#eeeada"
"IKEA015 IKEA 5","ikea015-ikea-5","#f8f7e9"
"IKEA016","ikea016","#f4f2e9"
"IKEA017","ikea017","#eef3e7"
"IKEA018","ikea018","#eaeadf"
"IKEA019","ikea019","#eff5f0"
"IKEA020","ikea020","#ecf4ec"
"IKEA021","ikea021","#bec675"
"IKEA022 IKEA 2","ikea022-ikea-2","#f2f1ee"
"IKEA023","ikea023","#e4cbcb"
"IKEA024","ikea024","#f7f0e7"
"IKEA025","ikea025","#cbbeb1"
"IKEA026","ikea026","#ebe0d9"
"IKEA027","ikea027","#cc6653"
"IKEA028","ikea028","#e7e1d8"
"IKEA029","ikea029","#816f66"
"IKEA030","ikea030","#f6f0e8"
"IKEA031","ikea031","#f7e2dd"
"IKEA032","ikea032","#edcdc7"
"IKEA033","ikea033","#f4d9ce"
"IKEA034","ikea034","#dcb8a8"
"IKEA035","ikea035","#f8e9d3"
"IKEA036","ikea036","#efcb9b"
"IKEA037","ikea037","#fde5b0"
"IKEA038","ikea038","#e6cdaa"
"IKEA039","ikea039","#fbebbd"
"IKEA040","ikea040","#f9df9c"
"IKEA041","ikea041","#f9efd6"
"IKEA042","ikea042","#d9cca6"
"IKEA043","ikea043","#ebefbd"
"IKEA044","ikea044","#b5d1ab"
"IKEA045","ikea045","#bbe1d7"
"IKEA046","ikea046","#c3dcc9"
"IKEA047","ikea047","#dde9ed"
"IKEA048","ikea048","#c2e4ea"
"IKEA049","ikea049","#d2dcef"
"IKEA050","ikea050","#c6d7e3"
"IKEA051","ikea051","#e1e4e6"
"IKEA052","ikea052","#b3c4d5"
"IKEA053","ikea053","#e8dde2"
"IKEA054","ikea054","#d2cbdd"
"IKEA055","ikea055","#7e8177"
"IKEA056","ikea056","#f7f8df"
"IKEA057","ikea057","#e4e7e3"
"IKEA058","ikea058","#f7e5d3"
"IKEA059","ikea059","#b34c53"
"IKEA060","ikea060","#d2dddb"
"IKEA061","ikea061","#ecebaf"
"IKEA062","ikea062","#dedfc3"
"IKEA063","ikea063","#935e7c"
"IKEA064","ikea064","#e7e3e9"
"IKEA065","ikea065","#dfb5b0"
"IKEA066","ikea066","#a85953"
"IKEA067","ikea067","#f5c2ac"
"IKEA068","ikea068","#e09673"
"IKEA069","ikea069","#ffd28e"
"IKEA070","ikea070","#f0b67e"
"IKEA071","ikea071","#fbe6ce"
"IKEA072","ikea072","#efcd96"
"IKEA073","ikea073","#faee9f"
"IKEA074","ikea074","#fadb89"
"IKEA075","ikea075","#e2e38d"
"IKEA076","ikea076","#c7c896"
"IKEA077","ikea077","#d3dfc1"
"IKEA078","ikea078","#9cad7f"
"IKEA079","ikea079","#bae0cc"
"IKEA080","ikea080","#96bb9f"
"IKEA081","ikea081","#bfdad7"
"IKEA082","ikea082","#729e9c"
"IKEA083","ikea083","#b6dce6"
"IKEA084","ikea084","#83aac1"
"IKEA085","ikea085","#9fc1df"
"IKEA086","ikea086","#748dac"
"IKEA087","ikea087","#cab6c9"
"IKEA088","ikea088","#8b859d"
"IKEA089","ikea089","#6a443b"
"IKEA090","ikea090","#cddcd0"
"IKEA091","ikea091","#574c49"
"IKEA092","ikea092","#f3dea9"
"IKEA093","ikea093","#f4efe5"
"IKEA094","ikea094","#d6dbb7"
"IKEA095","ikea095","#726965"
"IKEA096","ikea096","#cfd9e4"
"IKEA097","ikea097","#006673"
"IKEA098","ikea098","#e5e1bf"
"IKEA099","ikea099","#e2a3b3"
"IKEA100","ikea100","#b8516c"
"IKEA101","ikea101","#d6a496"
"IKEA102","ikea102","#7e3738"
"IKEA103","ikea103","#cd746d"
"IKEA104","ikea104","#9a3636"
"IKEA105","ikea105","#c5714f"
"IKEA106","ikea106","#864633"
"IKEA107","ikea107","#ecd193"
"IKEA108","ikea108","#d69c54"
"IKEA109","ikea109","#f4d96c"
"IKEA110","ikea110","#f4c472"
"IKEA111","ikea111","#f7ee9c"
"IKEA112","ikea112","#d3bd76"
"IKEA113","ikea113","#e0dea6"
"IKEA114","ikea114","#93ab67"
"IKEA115","ikea115","#c1d0a6"
"IKEA116","ikea116","#5e7a65"
"IKEA117","ikea117","#a6cabf"
"IKEA118","ikea118","#317983"
"IKEA119","ikea119","#9bc2d8"
"IKEA120","ikea120","#6c8ea3"
"IKEA121","ikea121","#8896b3"
"IKEA122","ikea122","#3a5170"
"IKEA123","ikea123","#c5beb1"
"IKEA124","ikea124","#ffb953"
"IKEA125","ikea125","#eae3d3"
"IKEA126","ikea126","#c6628c"
"IKEA127","ikea127","#d0d4d8"
"IKEA128","ikea128","#4a72b0"
"IKEA129","ikea129","#f7f3e6"
"IKEA130","ikea130","#9b2c2c"
"IKEA131","ikea131","#e3ecde"
"IKEA132","ikea132","#507a4f"
"IKEA133","ikea133","#c2adab"
"IKEA134","ikea134","#856a73"
"IKEA135","ikea135","#decdc3"
"IKEA136","ikea136","#b99f90"
"IKEA137","ikea137","#b4a18f"
"IKEA138","ikea138","#645850"
"IKEA139","ikea139","#ebd9c3"
"IKEA140","ikea140","#a58369"
"IKEA141","ikea141","#e4decc"
"IKEA142","ikea142","#c6b294"
"IKEA143","ikea143","#d9c6ab"
"IKEA144","ikea144","#d9b27d"
"IKEA145","ikea145","#cfc7a2"
"IKEA146","ikea146","#847763"
"IKEA147","ikea147","#9d947b"
"IKEA148","ikea148","#676450"
"IKEA149","ikea149","#ccd0ba"
"IKEA150","ikea150","#a7a58f"
"IKEA151","ikea151","#ccd7ca"
"IKEA152","ikea152","#494f50"
"IKEA153","ikea153","#b1cbc9"
"IKEA154","ikea154","#667480"
"IKEA155","ikea155","#aab1b8"
"IKEA156","ikea156","#676973"
"IKEA157","ikea157","#b7975e"
"IKEA158","ikea158","#7c9195"
"IKEA159","ikea159","#ddcbcd"
"IKEA160","ikea160","#4d3e45"
"IKEA161","ikea161","#efe6c0"
