"ispo 840 010-00","ispo-840-010-00","#e2d872"
"ispo 840 010-01","ispo-840-010-01","#eee78e"
"ispo 840 010-02","ispo-840-010-02","#ece89b"
"ispo 840 010-03","ispo-840-010-03","#efeba9"
"ispo 840 010-04","ispo-840-010-04","#f0eebb"
"ispo 840 010-05","ispo-840-010-05","#f0eccb"
"ispo 840 010-10","ispo-840-010-10","#d7d173"
"ispo 840 010-11","ispo-840-010-11","#ddd987"
"ispo 840 010-12","ispo-840-010-12","#dedd94"
"ispo 840 010-13","ispo-840-010-13","#e7e6a8"
"ispo 840 010-14","ispo-840-010-14","#ecebbc"
"ispo 840 010-15","ispo-840-010-15","#eeecce"
"ispo 840 010-20","ispo-840-010-20","#c3c171"
"ispo 840 010-21","ispo-840-010-21","#d2d089"
"ispo 840 010-22","ispo-840-010-22","#d6d598"
"ispo 840 010-23","ispo-840-010-23","#e2e0ad"
"ispo 840 010-24","ispo-840-010-24","#e8e6bd"
"ispo 840 010-25","ispo-840-010-25","#ebe8ce"
"ispo 840 010-30","ispo-840-010-30","#b3b171"
"ispo 840 010-31","ispo-840-010-31","#bfbd84"
"ispo 840 010-32","ispo-840-010-32","#c7c794"
"ispo 840 010-33","ispo-840-010-33","#d7d5a9"
"ispo 840 010-34","ispo-840-010-34","#dfddbd"
"ispo 840 010-35","ispo-840-010-35","#e6e4cc"
"ispo 840 010-40","ispo-840-010-40","#9d9b6c"
"ispo 840 010-41","ispo-840-010-41","#adae86"
"ispo 840 010-42","ispo-840-010-42","#bec09c"
"ispo 840 010-43","ispo-840-010-43","#cbccb1"
"ispo 840 010-44","ispo-840-010-44","#d6d9c2"
"ispo 840 010-45","ispo-840-010-45","#eae9d7"
"ispo 840 010-50","ispo-840-010-50","#838364"
"ispo 840 010-51","ispo-840-010-51","#a09e86"
"ispo 840 010-52","ispo-840-010-52","#b5b29d"
"ispo 840 010-53","ispo-840-010-53","#c3c2af"
"ispo 840 010-54","ispo-840-010-54","#d7d7c7"
"ispo 840 010-55","ispo-840-010-55","#e5e4d5"
"ispo 840 010-60","ispo-840-010-60","#686858"
"ispo 840 010-61","ispo-840-010-61","#8a8b80"
"ispo 840 010-62","ispo-840-010-62","#a6a59c"
"ispo 840 010-63","ispo-840-010-63","#bdbdb5"
"ispo 840 010-64","ispo-840-010-64","#d3d2c9"
"ispo 840 010-65","ispo-840-010-65","#e3e2d8"
"ispo 840 020-00","ispo-840-020-00","#e7c463"
"ispo 840 020-01","ispo-840-020-01","#eacf7c"
"ispo 840 020-02","ispo-840-020-02","#efd98e"
"ispo 840 020-03","ispo-840-020-03","#f1dfa2"
"ispo 840 020-04","ispo-840-020-04","#f6e6b4"
"ispo 840 020-05","ispo-840-020-05","#f4edce"
"ispo 840 020-10","ispo-840-020-10","#d5bd68"
"ispo 840 020-11","ispo-840-020-11","#dfcb81"
"ispo 840 020-12","ispo-840-020-12","#e4d595"
"ispo 840 020-13","ispo-840-020-13","#e1d69e"
"ispo 840 020-14","ispo-840-020-14","#efe7bc"
"ispo 840 020-15","ispo-840-020-15","#efe9ce"
"ispo 840 020-20","ispo-840-020-20","#bdad63"
"ispo 840 020-21","ispo-840-020-21","#cdbf7f"
"ispo 840 020-22","ispo-840-020-22","#d1c790"
"ispo 840 020-23","ispo-840-020-23","#d9d1a5"
"ispo 840 020-24","ispo-840-020-24","#e4dcb8"
"ispo 840 020-25","ispo-840-020-25","#ebe7ce"
"ispo 840 020-30","ispo-840-020-30","#aaa067"
"ispo 840 020-31","ispo-840-020-31","#bdb585"
"ispo 840 020-32","ispo-840-020-32","#cac59b"
"ispo 840 020-33","ispo-840-020-33","#d2cfac"
"ispo 840 020-34","ispo-840-020-34","#e2ddc5"
