"J-S K 010 K","010-k","#f6d160"
"J-S K 020 K","020-k","#f2ca00"
"J-S K 030 K","030-k","#fcd000"
"J-S K 040 K","040-k","#fab900"
"J-S K 050 K","050-k","#ffac00"
"J-S K 060 K","060-k","#ff8300"
"J-S K 070 K","070-k","#fc6800"
"J-S K 080 K","080-k","#f35c18"
"J-S K 082 K","082-k","#e34026"
"J-S K 100 K","100-k","#ef5129"
"J-S K 110 K","110-k","#fa8e6f"
"J-S K 120 K","120-k","#d8402d"
"J-S K 121 K","121-k","#e64435"
"J-S K 130 K","130-k","#dc2e2f"
"J-S K 140 K","140-k","#cd3a35"
"J-S K 150 K","150-k","#b72839"
"J-S K 160 K","160-k","#8d3238"
"J-S K 170 K","170-k","#912e44"
"J-S K 180 K","180-k","#6a2c39"
"J-S K 210 K","210-k","#f17789"
"J-S K 220 K","220-k","#e53e3f"
"J-S K 230 K","230-k","#cf2641"
"J-S K 240 K","240-k","#b12e50"
"J-S K 250 K","250-k","#be0f57"
"J-S K 260 K","260-k","#a81862"
"J-S K 270 K","270-k","#ca038a"
"J-S K 280 K","280-k","#9f2951"
"J-S K 290 K","290-k","#882c82"
"J-S K 310 K","310-k","#b3207e"
"J-S K 320 K","320-k","#b21967"
"J-S K 330 K","330-k","#991ba9"
"J-S K 340 K","340-k","#663388"
"J-S K 350 K","350-k","#4b408a"
"J-S K 360 K","360-k","#5d3790"
"J-S K 370 K","370-k","#513674"
"J-S K 371 K","371-k","#5e2da9"
"J-S K 380 K","380-k","#2a3a4b"
"J-S K 390 K","390-k","#006ab8"
"J-S K 400 K","400-k","#0084a8"
"J-S K 410 K","410-k","#2e425a"
"J-S K 411 K","411-k","#4531af"
"J-S K 420 K","420-k","#1f4499"
"J-S K 430 K","430-k","#2449ba"
"J-S K 432 K","432-k","#0069c1"
"J-S K 440 K","440-k","#0066a8"
"J-S K 450 K","450-k","#4d5a98"
"J-S K 460 K","460-k","#1187ab"
"J-S K 470 K","470-k","#008ec6"
"J-S K 480 K","480-k","#0090b8"
"J-S K 490 K","490-k","#007ca7"
"J-S K 500 K","500-k","#00b6d2"
"J-S K 510 K","510-k","#009697"
"J-S K 520 K","520-k","#008b77"
"J-S K 521 K","521-k","#00a68e"
