"J-S N 010 N","j-s-n-010-n","#fad46a"
"J-S N 020 N","j-s-n-020-n","#f9d62c"
"J-S N 030 N","j-s-n-030-n","#ffd00a"
"J-S N 040 N","j-s-n-040-n","#ffc629"
"J-S N 050 N","j-s-n-050-n","#ffb41e"
"J-S N 060 N","j-s-n-060-n","#ff9930"
"J-S N 070 N","j-s-n-070-n","#fe7e3b"
"J-S N 080 N","j-s-n-080-n","#f56d38"
"J-S N 082 N","j-s-n-082-n","#dd5b45"
"J-S N 100 N","j-s-n-100-n","#ec5f3c"
"J-S N 110 N","j-s-n-110-n","#f49578"
"J-S N 120 N","j-s-n-120-n","#e15d49"
"J-S N 121 N","j-s-n-121-n","#da5442"
"J-S N 130 N","j-s-n-130-n","#da4542"
"J-S N 140 N","j-s-n-140-n","#d24b47"
"J-S N 150 N","j-s-n-150-n","#c54c52"
"J-S N 160 N","j-s-n-160-n","#a34b4d"
"J-S N 170 N","j-s-n-170-n","#9f4a55"
"J-S N 180 N","j-s-n-180-n","#914a53"
"J-S N 210 N ","j-s-n-210-n","#e97985"
"J-S N 220 N","j-s-n-220-n","#de514d"
"J-S N 221 N","j-s-n-221-n","#cc4c44"
"J-S N 230 N","j-s-n-230-n","#cf444f"
"J-S N 240 N ","j-s-n-240-n","#c74b69"
"J-S N 250 N","j-s-n-250-n","#c1425e"
"J-S N 260 N","j-s-n-260-n","#bd3f70"
"J-S N 270 N","j-s-n-270-n","#c34075"
"J-S N 280 N ","j-s-n-280-n","#a4465b"
"J-S N 290 N","j-s-n-290-n","#a0488e"
"J-S N 310 N","j-s-n-310-n","#ba4781"
"J-S N 320 N","j-s-n-320-n","#bc4271"
"J-S N 330 N","j-s-n-330-n","#924391"
"J-S N 340 N","j-s-n-340-n","#734c8f"
"J-S N 350 N","j-s-n-350-n","#594d89"
"J-S N 360 N","j-s-n-360-n","#6c4f8d"
"J-S N 370 N","j-s-n-370-n","#674b80"
"J-S N 371 N","j-s-n-371-n","#644d91"
"J-S N 380 N","j-s-n-380-n","#4c5a6b"
"J-S N 390 N","j-s-n-390-n","#2b6fae"
"J-S N 400 N","j-s-n-400-n","#178cac"
"J-S N 410 N","j-s-n-410-n","#4f5c73"
"J-S N 411 N","j-s-n-411-n","#515293"
"J-S N 420 N","j-s-n-420-n","#496dad"
"J-S N 421 N","j-s-n-421-n","#425588"
"J-S N 430 N","j-s-n-430-n","#3865a2"
"J-S N 440 N","j-s-n-440-n","#1f77ae"
"J-S N 450 N","j-s-n-450-n","#5e6ba5"
"J-S N 460 N","j-s-n-460-n","#358bb0"
"J-S N 470 N","j-s-n-470-n","#008bbd"
"J-S N 480 N","j-s-n-480-n","#008fb0"
"J-S N 490 N","j-s-n-490-n","#0084a6"
"J-S N 500 N","j-s-n-500-n","#4db7cd"
"J-S N 510 N","j-s-n-510-n","#00989a"
"J-S N 520 N","j-s-n-520-n","#108e7e"
"J-S N 521 N","j-s-n-521-n","#009d8d"
"J-S N 530 N","j-s-n-530-n","#00ab86"
"J-S N 531 N","j-s-n-531-n","#35b87c"
"J-S N 540 N","j-s-n-540-n","#119065"
"J-S N 550 N","j-s-n-550-n","#198067"
"J-S N 560 N","j-s-n-560-n","#346e62"
"J-S N 570 N","j-s-n-570-n","#33885b"
"J-S N 571 N","j-s-n-571-n","#4d945a"
"J-S N 580 N","j-s-n-580-n","#537256"
"J-S N 590 N","j-s-n-590-n","#008885"
"J-S N 600 N","j-s-n-600-n","#5c9a49"
"J-S N 610 N","j-s-n-610-n","#526b4f"
"J-S N 620 N","j-s-n-620-n","#7b7a4d"
"J-S N 630 N","j-s-n-630-n","#6c8854"
"J-S N 640 N","j-s-n-640-n","#4b9c4e"
"J-S N 641 N","j-s-n-641-n","#30a656"
"J-S N 650 N","j-s-n-650-n","#5faa44"
"J-S N 660 N","j-s-n-660-n","#8aba3b"
"J-S N 670 N","j-s-n-670-n","#95c03f"
"J-S N 680 N","j-s-n-680-n","#ceb346"
"J-S N 690 N","j-s-n-690-n","#d3c12c"
"J-S N 710 N","j-s-n-710-n","#dba159"
"J-S N 720 N","j-s-n-720-n","#d49241"
"J-S N 730 N","j-s-n-730-n","#b28653"
"J-S N 740 N","j-s-n-740-n","#9a774e"
"J-S N 750 N","j-s-n-750-n","#927e53"
"J-S N 760 N","j-s-n-760-n","#6d5d4d"
"J-S N 770 N","j-s-n-770-n","#735c4d"
"J-S N 780 N","j-s-n-780-n","#885b4d"
"J-S N 810 N","j-s-n-810-n","#c26c48"
"J-S N 820 N","j-s-n-820-n","#b16851"
"J-S N 830 N","j-s-n-830-n","#8f5c4e"
"J-S N 840 N","j-s-n-840-n","#835e56"
"J-S N 880 N","j-s-n-880-n","#4d4a47"
"J-S N 890 N","j-s-n-890-n","#a59c8a"
"J-S N 900 N","j-s-n-900-n","#59504d"
"J-S N 910 N","j-s-n-910-n","#989f9c"
"J-S N 920 N","j-s-n-920-n","#727678"
"J-S N 930 N","j-s-n-930-n","#5c6368"
"J-S N 950 N","j-s-n-950-n","#919289"
"J-S N 960 N","j-s-n-960-n","#858581"
"J-S N 970 N","j-s-n-970-n","#4f504e"
