"EN-95","en-95","#f9faf8"
"EN-93","en-93","#f1f1ec"
"EN-90","en-90","#eae8e3"
"EN-87","en-87","#e3e2dd"
"EN-85","en-85","#dcdbd8"
"EN-82","en-82","#d5d4d1"
"EN-80","en-80","#cdcdca"
"EN-77","en-77","#c4c4c3"
"EN-75","en-75","#bcbcbb"
"EN-72","en-72","#b3b4b3"
"EN-70","en-70","#adadac"
"EN-67","en-67","#a7a7a6"
"EN-65","en-65","#9f9e9d"
"EN-60","en-60","#939392"
"EN-55","en-55","#858686"
"EN-50","en-50","#757777"
"EN-45","en-45","#666769"
"EN-40","en-40","#585a5c"
"EN-35","en-35","#4b4c4f"
"EN-30","en-30","#3f4245"
"EN-25","en-25","#373839"
"EN-20","en-20","#2b2a2d"
"EN-15","en-15","#1f2123"
"EN-10","en-10","#0c0d0f"
"E 02-90D","e-02-90d","#f5e1e0"
"E 02-80H","e-02-80h","#eabebf"
"E 02-80L","e-02-80l","#f3b6b7"
"E 02-70L","e-02-70l","#e09ea0"
"E 02-70T","e-02-70t","#f18e95"
"E 02-60H","e-02-60h","#b3888a"
"E 02-50H","e-02-50h","#9b6c6f"
"E 02-40H","e-02-40h","#815255"
"E 05-90A","e-05-90a","#ede9e5"
"E 05-85A","e-05-85a","#dfd9d7"
"E 05-80A","e-05-80a","#d2ccca"
"E 05-75A","e-05-75a","#c5bebc"
"E 05-70A","e-05-70a","#b6b0ae"
"E 05-60B","e-05-60b","#9d9291"
"E 05-30B","e-05-30b","#483a39"
"E 05-20B","e-05-20b","#2d1c1b"
"E 05-92B","e-05-92b","#f6edea"
"E 05-90B","e-05-90b","#f3e9e5"
"E 05-85B","e-05-85b","#e3d9d6"
"E 05-80B","e-05-80b","#d6cbc8"
"E 05-75B","e-05-75b","#c9bebb"
"E 05-70B","e-05-70b","#baaeac"
"E 05-50B","e-05-50b","#847675"
"E 05-40B","e-05-40b","#675957"
"E 05-80D","e-05-80d","#d8c6c3"
"E 05-70D","e-05-70d","#c0aaa8"
"E 05-60D","e-05-60d","#a58f8d"
"E 05-50D","e-05-50d","#8d7574"
"E 05-50F","e-05-50f","#947371"
"E 05-40F","e-05-40f","#7c5755"
"E 05-40D","e-05-40d","#705655"
"E 05-30D","e-05-30d","#543836"
"E 05-90D","e-05-90d","#f8e1dc"
"E 05-80L","e-05-80l","#fab7b2"
"E 05-70L","e-05-70l","#e09e9b"
"E 05-60L","e-05-60l","#c5817d"
"E 05-60F","e-05-60f","#ae8d8b"
"E 05-40P","e-05-40p","#943f36"
"E 05-30L","e-05-30l","#702c23"
"E 05-20H","e-05-20h","#461917"
"E 07-80H","e-07-80h","#e9bcb4"
"E 07-70F","e-07-70f","#c5a49c"
"E 07-60H","e-07-60h","#b6867f"
"E 07-50L","e-07-50l","#a9655c"
"E 07-60T","e-07-60t","#de7160"
"E 09-30D","e-09-30d","#543831"
"E 09-20D","e-09-20d","#3b1d16"
"E 09-20B","e-09-20b","#342520"
"E 09-90D","e-09-90d","#f5e0d8"
"E 09-80F","e-09-80f","#e6c3b7"
"E 09-80D","e-09-80d","#dcc8c2"
"E 09-70D","e-09-70d","#bda59d"
"E 09-60D","e-09-60d","#a68e87"
"E 09-60B","e-09-60b","#9e908c"
"E 09-50F","e-09-50f","#937167"
"E 09-30F","e-09-30f","#5d362d"
"E 09-70H","e-09-70h","#cfa497"
"E 09-60H","e-09-60h","#b68778"
"E 09-60L","e-09-60l","#c17f6c"
"E 09-50L","e-09-50l","#a8644f"
"E 09-70T","e-09-70t","#f68b68"
"E 09-50T","e-09-50t","#bb5230"
"E 09-40L","e-09-40l","#8a4434"
"E 09-30L","e-09-30l","#722d19"
"E 12-80F","e-12-80f","#e8c4b5"
"E 12-80H","e-12-80h","#eebfaa"
"E 12-70D","e-12-70d","#c4aca1"
"E 12-70L","e-12-70l","#dc9a7d"
"E 12-70T","e-12-70t","#f4915c"
"E 12-50H","e-12-50h","#9b705e"
"E 12-50L","e-12-50l","#a86749"
"E 12-30H","e-12-30h","#683825"
"E 15-90A","e-15-90a","#eee8e3"
"E 15-85A","e-15-85a","#e1dad4"
"E 15-80A","e-15-80a","#d4cdc7"
"E 15-75A","e-15-75a","#c6bfba"
"E 15-70A","e-15-70a","#b9b2ac"
"E 15-65A","e-15-65a","#aaa29d"
"E 15-50B","e-15-50b","#857972"
"E 15-40B","e-15-40b","#685a53"
"E 15-92B","e-15-92b","#f3e9e0"
"E 15-90B","e-15-90b","#ede4db"
"E 15-85B","e-15-85b","#e4d9d1"
"E 15-80B","e-15-80b","#d4c9c1"
"E 15-75B","e-15-75b","#c8bcb4"
"E 15-70B","e-15-70b","#b9aea6"
"E 15-65B","e-15-65b","#ada29a"
"E 15-60B","e-15-60b","#a0938b"
"E 15-90D","e-15-90d","#f9e7d7"
"E 15-80D","e-15-80d","#dcc7b9"
"E 15-70D","e-15-70d","#c2aea0"
"E 15-60D","e-15-60d","#a89487"
"E 15-50D","e-15-50d","#8e7769"
"E 15-40D","e-15-40d","#72594c"
"E 15-30B","e-15-30b","#473731"
"E 15-20B","e-15-20b","#2c1e18"
