"K-E 1F431 100","k-e-1f431-100","#f3e500"
"K-E 1F431 20","k-e-1f431-20","#f3eec6"
"K-E 1F431 40","k-e-1f431-40","#f1eb95"
"K-E 1F431 60","k-e-1f431-60","#f2e85e"
"K-E 1F61 100","k-e-1f61-100","#fad700"
"K-E 1F61 20","k-e-1f61-20","#f4eac5"
"K-E 1F61 40","k-e-1f61-40","#f6e498"
"K-E 1F61 60","k-e-1f61-60","#f7dd63"
"K-E 1F82 100","k-e-1f82-100","#fad500"
"K-E 1F82 20","k-e-1f82-20","#f5e9c1"
"K-E 1F82 40","k-e-1f82-40","#f7e28e"
"K-E 1F82 60","k-e-1f82-60","#f9dc51"
"K-E 1F462 100","k-e-1f462-100","#fdd300"
"K-E 1F462 20","k-e-1f462-20","#f6e9ba"
"K-E 1F462 40","k-e-1f462-40","#f8e078"
"K-E 1F462 60","k-e-1f462-60","#fad92a"
"K-E 1F62 100","k-e-1f62-100","#fcd200"
"K-E 1F62 20","k-e-1f62-20","#f4e7bb"
"K-E 1F62 40","k-e-1f62-40","#f7e084"
"K-E 1F62 60","k-e-1f62-60","#f9da4d"
"K-E 1F63 100","k-e-1f63-100","#ffca00"
"K-E 1F63 20","k-e-1f63-20","#f6e5b7"
"K-E 1F63 40","k-e-1f63-40","#f9db79"
"K-E 1F63 60","k-e-1f63-60","#fcd43d"
"K-E 1F403 100","k-e-1f403-100","#fec800"
"K-E 1F403 20","k-e-1f403-20","#f6e6bd"
"K-E 1F403 40","k-e-1f403-40","#f8dc89"
"K-E 1F403 60","k-e-1f403-60","#fbd247"
"K-E 1F404 100","k-e-1f404-100","#fcc100"
"K-E 1F404 20","k-e-1f404-20","#f5e5be"
"K-E 1F404 40","k-e-1f404-40","#f7d98b"
"K-E 1F404 60","k-e-1f404-60","#f9ce4d"
"K-E 1F405 100","k-e-1f405-100","#ffb800"
"K-E 1F405 20","k-e-1f405-20","#f8e4c1"
"K-E 1F405 40","k-e-1f405-40","#fbd58d"
"K-E 1F405 60","k-e-1f405-60","#ffca5b"
"K-E 1F407 100","k-e-1f407-100","#ffa000"
"K-E 1F407 20","k-e-1f407-20","#f9ddc0"
"K-E 1F407 40","k-e-1f407-40","#fdcb91"
