"Keimfarben 9001 Nickelgelb","keimfarben-9001-nickelgelb","#eee786"
"Keimfarben 9002 Ocker","keimfarben-9002-ocker","#e4ad56"
"Keimfarben 9003 Oxidrot","keimfarben-9003-oxidrot","#a14d38"
"Keimfarben 9004 Umbra","keimfarben-9004-umbra","#7b7052"
"Keimfarben 9005 Chromgruen","keimfarben-9005-chromgruen","#6a865e"
"Keimfarben 9006 Ultrablau","keimfarben-9006-ultrablau","#6383d4"
"Keimfarben 9007 Oxidbraun","keimfarben-9007-oxidbraun","#744838"
"Keimfarben 9008 Schwarz","keimfarben-9008-schwarz","#413f3e"
"Keimfarben 9009 Kobaltblau","keimfarben-9009-kobaltblau","#3395b9"
"Keimfarben 9010 Oxidrot","keimfarben-9010-oxidrot","#8a4640"
"Keimfarben 9033","keimfarben-9033","#edd080"
"Keimfarben 9036","keimfarben-9036","#efdba3"
"Keimfarben 9037","keimfarben-9037","#eddfb5"
"Keimfarben 9038","keimfarben-9038","#eee4c3"
"Keimfarben 9049","keimfarben-9049","#daa459"
"Keimfarben 9051","keimfarben-9051","#e8b774"
"Keimfarben 9053","keimfarben-9053","#ebc997"
"Keimfarben 9055","keimfarben-9055","#ecd8b2"
"Keimfarben 9057","keimfarben-9057","#efe2c8"
"Keimfarben 9058","keimfarben-9058","#e9e3d2"
"Keimfarben 9064","keimfarben-9064","#ac8454"
"Keimfarben 9066","keimfarben-9066","#bc935e"
"Keimfarben 9069","keimfarben-9069","#cfab74"
"Keimfarben 9071","keimfarben-9071","#e3ba79"
"Keimfarben 9073","keimfarben-9073","#e4c58e"
"Keimfarben 9075","keimfarben-9075","#e7d0a5"
"Keimfarben 9076","keimfarben-9076","#eadab7"
"Keimfarben 9077","keimfarben-9077","#e8dec4"
"Keimfarben 9078","keimfarben-9078","#eae0c9"
"Keimfarben 9084","keimfarben-9084","#b38153"
"Keimfarben 9087","keimfarben-9087","#cb9e6c"
"Keimfarben 9089","keimfarben-9089","#d5a573"
"Keimfarben 9090","keimfarben-9090","#e1b17a"
"Keimfarben 9091","keimfarben-9091","#dab78a"
"Keimfarben 9092","keimfarben-9092","#d8be9c"
"Keimfarben 9095","keimfarben-9095","#e7d2b1"
"Keimfarben 9096","keimfarben-9096","#eadcc6"
"Keimfarben 9097","keimfarben-9097","#f0e3d0"
