"kera 100-0","kera-100-0","#e2d76f"
"kera 100-2","kera-100-2","#e6e29c"
"kera 100-4","kera-100-4","#e7e6bc"
"kera 100-6","kera-100-6","#eeedd4"
"kera 100-8","kera-100-8","#ecebd9"
"kera 110-0","kera-110-0","#e7bf63"
"kera 110-2","kera-110-2","#efd89a"
"kera 110-4","kera-110-4","#eee5c0"
"kera 110-6","kera-110-6","#eee7cf"
"kera 110-8","kera-110-8","#f3efdd"
"kera 120-0","kera-120-0","#e5aa4e"
"kera 120-2","kera-120-2","#eecb90"
"kera 120-4","kera-120-4","#eddab4"
"kera 120-6","kera-120-6","#f0e7cd"
"kera 120-8","kera-120-8","#edeadf"
"kera 130-0","kera-130-0","#bd853a"
"kera 130-2","kera-130-2","#d59f53"
"kera 130-4","kera-130-4","#e7bc7b"
"kera 130-6","kera-130-6","#f0d3a3"
"kera 130-8","kera-130-8","#ede4d2"
"kera 140-0","kera-140-0","#d5913e"
"kera 140-2","kera-140-2","#e6b87e"
"kera 140-4","kera-140-4","#edd1ab"
"kera 140-6","kera-140-6","#eedec4"
"kera 140-8","kera-140-8","#f0e6d2"
"kera 150-0","kera-150-0","#ba7233"
"kera 150-2","kera-150-2","#d99253"
"kera 150-4","kera-150-4","#e2ae7a"
"kera 150-6","kera-150-6","#edc79e"
"kera 150-8","kera-150-8","#ecdac1"
"kera 160-0","kera-160-0","#a96d3f"
"kera 160-2","kera-160-2","#c18653"
"kera 160-4","kera-160-4","#dfb181"
"kera 160-6","kera-160-6","#e5c7a4"
"kera 160-8","kera-160-8","#eddcc6"
"kera 200-0","kera-200-0","#9a5f44"
"kera 200-2","kera-200-2","#b27757"
"kera 200-4","kera-200-4","#cd9c7c"
"kera 200-6","kera-200-6","#dfbba1"
"kera 200-8","kera-200-8","#edd7c6"
"kera 210-0","kera-210-0","#91523c"
"kera 210-2","kera-210-2","#af7058"
"kera 210-4","kera-210-4","#cd967d"
"kera 210-6","kera-210-6","#ddb5a0"
"kera 210-8","kera-210-8","#eed7c9"
"kera 300-0","kera-300-0","#79473b"
"kera 300-2","kera-300-2","#925f55"
"kera 300-4","kera-300-4","#b7887e"
"kera 300-6","kera-300-6","#cfa79f"
"kera 300-8","kera-300-8","#e2c9c2"
"kera 310-0","kera-310-0","#6c433d"
"kera 310-2","kera-310-2","#805958"
"kera 310-4","kera-310-4","#a3807f"
"kera 310-6","kera-310-6","#bfa2a1"
"kera 310-8","kera-310-8","#dbcac8"
"kera 320-0","kera-320-0","#503e3b"
"kera 320-2","kera-320-2","#716160"
"kera 320-4","kera-320-4","#988887"
"kera 320-6","kera-320-6","#b5a8a6"
"kera 320-8","kera-320-8","#d7cfcc"
"kera 400-0","kera-400-0","#5b4549"
"kera 400-2","kera-400-2","#725f6b"
"kera 400-4","kera-400-4","#998895"
"kera 400-6","kera-400-6","#b5a8b3"
"kera 400-8","kera-400-8","#d3ccd0"
"kera 500-0","kera-500-0","#384c5d"
"kera 500-2","kera-500-2","#3e6e85"
"kera 500-4","kera-500-4","#6999b0"
"kera 500-6","kera-500-6","#8bb6ca"
"kera 500-8","kera-500-8","#bfd6dc"
"kera 510-0","kera-510-0","#45474e"
"kera 510-2","kera-510-2","#516474"
"kera 510-4","kera-510-4","#748b9c"
"kera 510-6","kera-510-6","#93abb9"
"kera 510-8","kera-510-8","#c6d1d4"
"kera 520-0","kera-520-0","#4d484d"
"kera 520-2","kera-520-2","#5b646f"
"kera 520-4","kera-520-4","#7a8995"
"kera 520-6","kera-520-6","#99a7b2"
"kera 520-8","kera-520-8","#c5ced1"
"kera 530-0","kera-530-0","#4a4d4c"
"kera 530-2","kera-530-2","#5e6e71"
"kera 530-4","kera-530-4","#7b9095"
"kera 530-6","kera-530-6","#97aaad"
"kera 530-8","kera-530-8","#c2cdcc"
"kera 540-0","kera-540-0","#326160"
