"Plumeria Lei","LH110","#C9709E"
"Potpourri","LH120","#934962"
"Satin Flower","LA280-01","#812A51"
"Raspberry Macaroon","LA280-02","#6F304C"
"Sincerity","LA260-01","#D593A5"
"Peaking Pink","LA260-02","#B16D85"
"Cranberry Spice","LA290-01","#7E4E5E"
"Aged To Perfection","LA290-02","#6B4157"
"Vintage Lamp","LA220-01","#E9E2E2"
"Sweet Blush","LA230-01","#EDD1D1"
"Ibis Pink","LH140","#CB556E"
"Bright Orchid","LH130","#9F3A4F"
"Kabuki","LH150","#A43B3E"
"Radiant Raspberry","LA110-01","#953842"
"Francesca","LA110-02","#7E2A37"
"Boysenberry Pie","LA100-02","#60393B"
"Peach Glamour","LB180-01","#EEDEDA"
"Paper Dolls","LA160-01","#C19091"
"Autumn Aspen","LA150-01","#AB7D7F"
"Australian Shiraz","LA150-02","#835C5F"
"Sweet Antoinette","LA210-01","#F4C9C8"
"Earthy Red","LA140-01","#A36167"
"Cinnamon Apple","LA140-02","#9A5153"
"Red Tea","LA100-01","#743E4F"
"Ruffle Pink Dress","LA180-01","#EF8988"
"Bang","LH160","#B03537"
"Fahrenheit","LH180","#9D3A2F"
"Raging Bull","LA130-02","#883134"
"Cool Watermelon","LA170-01","#D98685"
"Watermelon Crush","LA170-02","#C47977"
"Hibiscus Tea","LA180-02","#D75954"
"Atomic Red","LH170","#B83236"
"Warm Shawl","LA230-02","#ECC3BF"
"Canyon Blossom","LA210-02","#DE9B98"
"Dynamite","LH190","#DF5E47"
"Red Flare","LA130-01","#AD4E49"
"Cake Pop","LA240-01","#F8D6D0"
"Melon Juice","LA240-02","#FAC5BE"
"Spanish Sherry","LA160-02","#A4726D"
"Oriental Red","LA120-02","#7D3436"
"Coral Myth","LA190-01","#ECABA3"
"Coral Ridge","LA190-02","#E59C93"
"Sedona Mountains","LB110-02","#AD5E54"
"Red Ginseng","LA120-01","#A1534D"
"Cameo Coral","LB180-02","#EBD1CA"
"Brickwork","LB110-01","#C0786D"
"Raw Clay","LB100-02","#843D34"
"Burnt Clay","LM120","#58423F"
"Arizona Clay","LB160-02","#E2BCAE"
"Mandarin Mimosa","LB140-01","#ECB09D"
"Antigua Sunset","LB140-02","#E18F79"
"Autumn Ridge","LB100-01","#9E5646"
"Aloha","LH240","#FEB14B"
