"C 100 Brilliantwei","c-100-brilliantwei","#f2f1e9"
"C 101 Carracar-Wei","c-101-carracar-wei","#ede9df"
"C 102 Wei","c-102-wei","#f2f0e6"
"C104 Naturwei","c104-naturwei","#e9e1d4"
"C 3004","c-3004","#e9e2cd"
"C 3003","c-3003","#e8e1c3"
"C 3002","c-3002","#e2dbb9"
"C 3001","c-3001","#ded5ad"
"C 3000","c-3000","#d6cc9f"
"C 3014","c-3014","#f3f0da"
"C 3013","c-3013","#f3f0cb"
"C 3012","c-3012","#f4f0c1"
"C 3011","c-3011","#f1ecb6"
"C 3010","c-3010","#f3eaac"
"C 3024","c-3024","#f3f1dc"
"C 3023","c-3023","#f3edca"
"C 3022","c-3022","#efe4b4"
"C 3021","c-3021","#eddba2"
"C 3020","c-3020","#e9d694"
"C 3034","c-3034","#f3efda"
"C 3033","c-3033","#f6eac5"
"C 3032","c-3032","#f4e3b0"
"C 3031","c-3031","#f2d68e"
"C 3030","c-3030","#ebcc7f"
"C 3044","c-3044","#f2e5c7"
"C 3043","c-3043","#f6e4bc"
"C 3042","c-3042","#f3deb2"
"C 3041","c-3041","#f2dba7"
"C 3040","c-3040","#eed7a4"
"C 3054","c-3054","#ede4d1"
"C 3053","c-3053","#eee0c2"
"C 3052","c-3052","#e7cfa1"
"C 3051","c-3051","#e3c48b"
"C 3050","c-3050","#d9b370"
"C 3064","c-3064","#f7e4c2"
"C 3063","c-3063","#f4ddb6"
"C 3062","c-3062","#f4d8a2"
"C 3061","c-3061","#efcd90"
"C 3060","c-3060","#e8c37d"
"C 3074","c-3074","#f6e6ca"
"C 3073","c-3073","#f4d9ac"
"C 3072","c-3072","#edc88d"
"C 3071","c-3071","#e4b673"
"C 3070","c-3070","#d6a764"
"C 3084","c-3084","#f4ebda"
"C 3083","c-3083","#f4e2c9"
"C 3082","c-3082","#f3cfa8"
"C 3081","c-3081","#ebbc89"
"C 3080","c-3080","#e6ab70"
"C 3094","c-3094","#f4e3c8"
"C 3093","c-3093","#f0cfa7"
"C 3092","c-3092","#e8b986"
"C 3091","c-3091","#dca46b"
"C 3090","c-3090","#c78d59"
"C 3104","c-3104","#f6e4d1"
"C 3103","c-3103","#eaccae"
"C 3102","c-3102","#dfb893"
"C 3101","c-3101","#cfa07a"
"C 3100","c-3100","#b07c55"
"C 3114","c-3114","#f4ddc7"
"C 3113","c-3113","#ebc3a2"
"C 3112","c-3112","#e2ae85"
"C 3111","c-3111","#d4986d"
"C 3110","c-3110","#b67752"
"C 3124","c-3124","#f0dccd"
"C 3123","c-3123","#e1c3b0"
"C 3122","c-3122","#d5ac95"
"C 3121","c-3121","#c4957d"
"C 3120","c-3120","#a67761"
"C 3134","c-3134","#eed5c6"
"C 3133","c-3133","#dabdab"
"C 3132","c-3132","#ccaa99"
"C 3131","c-3131","#be937f"
"C 3130","c-3130","#b38877"
"C 3144","c-3144","#e6c0ae"
"C 3143","c-3143","#d5a28f"
"C 3142","c-3142","#c48975"
"C 3141","c-3141","#b17560"
"C 3140","c-3140","#a7715f"
