"F 4005","f-4005","#eeebc6"
"F 4004","f-4004","#f3eba5"
"F 4003","f-4003","#f3e781"
"F 4002","f-4002","#f5e266"
"F 4001","f-4001","#ead644"
"F 4000","f-4000","#e0c727"
"F 4015","f-4015","#f5ecb4"
"F 4014","f-4014","#f6e48d"
"F 4013","f-4013","#f8dd68"
"F 4012","f-4012","#f8d642"
"F 4011","f-4011","#edc80b"
"F 4010","f-4010","#eec500"
"F 4025","f-4025","#f4f0cb"
"F 4024","f-4024","#f5ebac"
"F 4023","f-4023","#f5e28c"
"F 4022","f-4022","#f7d972"
"F 4021","f-4021","#eace63"
"F 4020","f-4020","#ecc44d"
"F 4035","f-4035","#f5ebd1"
"F 4034","f-4034","#f7e8ba"
"F 4033","f-4033","#f7df9c"
"F 4032","f-4032","#fad785"
"F 4031","f-4031","#ecc661"
"F 4030","f-4030","#e4b029"
"F 4045","f-4045","#f6e4ba"
"F 4044","f-4044","#fae3a1"
"F 4043","f-4043","#f4d481"
"F 4042","f-4042","#f0ca66"
"F 4041","f-4041","#d9b03b"
"F 4040","f-4040","#c6961b"
"F 4055","f-4055","#f9e9cc"
"F 4054","f-4054","#fbe0b2"
"F 4053","f-4053","#f3cd91"
"F 4052","f-4052","#ecbd77"
"F 4051","f-4051","#dfac64"
"F 4050","f-4050","#cd9248"
"F 4065","f-4065","#f1e4c6"
"F 4064","f-4064","#f3d8a7"
"F 4063","f-4063","#f1ca88"
"F 4062","f-4062","#f3bd6e"
"F 4061","f-4061","#e9ad52"
"F 4060","f-4060","#e09133"
"F 4075","f-4075","#f4e5cb"
"F 4074","f-4074","#f5d6af"
"F 4073","f-4073","#f2c18e"
"F 4072","f-4072","#edac72"
"F 4071","f-4071","#de915a"
"F 4070","f-4070","#cd6e32"
"F 4085","f-4085","#f6dac7"
"F 4084","f-4084","#f3ccaa"
"F 4083","f-4083","#ecb18a"
"F 4082","f-4082","#e79f71"
"F 4081","f-4081","#df895c"
"F 4080","f-4080","#d16c3e"
"F 4095","f-4095","#f3dfcd"
"F 4094","f-4094","#f5ccb2"
"F 4093","f-4093","#f2b597"
"F 4092","f-4092","#ec9c7a"
"F 4091","f-4091","#de8661"
"F 4090","f-4090","#cb6241"
"F 4105","f-4105","#f2d7c6"
"F 4104","f-4104","#f0c0a9"
"F 4103","f-4103","#e6a48a"
"F 4102","f-4102","#e08c71"
"F 4101","f-4101","#ce7054"
"F 4100","f-4100","#b15840"
"F 4115","f-4115","#f4d6c5"
"F 4114","f-4114","#edbca4"
"F 4113","f-4113","#e2a187"
"F 4112","f-4112","#d4896d"
"F 4111","f-4111","#bb6c53"
"F 4110","f-4110","#99503b"
"F 4125","f-4125","#f1cdc9"
"F 4124","f-4124","#ebaca8"
"F 4123","f-4123","#e48b86"
"F 4122","f-4122","#d8726d"
"F 4121","f-4121","#be534d"
"F 4120","f-4120","#a53f38"
"F 4135","f-4135","#f1dad4"
"F 4134","f-4134","#e6bfc0"
"F 4133","f-4133","#d9a4a6"
