"WHITE KOBRA 01","white-kobra-01","#eaeae4"
"IVORY KOBRA 02","ivory-kobra-02","#e6c9a2"
"BEIGE KOBRA 03","beige-kobra-03","#ba9873"
"BEIGE KOBRA 04","beige-kobra-04","#8f6e46"
"BEIGE KOBRA 05","beige-kobra-05","#d0c092"
"YELLOW KOBRA 06","yellow-kobra-06","#f2d964"
"YELLOW KOBRA 07","yellow-kobra-07","#fad140"
"YELLOW KOBRA 08","yellow-kobra-08","#fdad00"
"YELLOW KOBRA 09","yellow-kobra-09","#f4af5b"
"YELLOW KOBRA 10","yellow-kobra-10","#f59724"
"YELLOW KOBRA 11","yellow-kobra-11","#b97d31"
"ORANGE KOBRA 12","orange-kobra-12","#f07b42"
"ORANGE KOBRA 13","orange-kobra-13","#e87257"
"ORANGE KOBRA 14","orange-kobra-14","#da5838"
"RED KOBRA 15","red-kobra-15","#bd413a"
"RED KOBRA 16","red-kobra-16","#9a4039"
"RED KOBRA 17","red-kobra-17","#583f40"
"PINK KOBRA 18","pink-kobra-18","#f7a879"
"PINK KOBRA 19","pink-kobra-19","#faa495"
"PINK KOBRA 20","pink-kobra-20","#df8686"
"FUCHSIA KOBRA 21","fuchsia-kobra-21","#bf7595"
"FUCHSIA KOBRA 22","fuchsia-kobra-22","#a25877"
"VIOLET KOBRA 23","violet-kobra-23","#b7b1dc"
"VIOLET KOBRA 24","violet-kobra-24","#9b8cb5"
"VIOLET KOBRA 25","violet-kobra-25","#776bab"
"VIOLET KOBRA 26","violet-kobra-26","#7b598f"
"BLUE KOBRA 27","blue-kobra-27","#87c8d7"
"BLUE KOBRA 28","blue-kobra-28","#4eb3cd"
"BLUE KOBRA 29","blue-kobra-29","#1882b4"
"BLUE KOBRA 30","blue-kobra-30","#195584"
"BLUE KOBRA 31","blue-kobra-31","#334059"
"GREEN KOBRA 32","green-kobra-32","#75c89e"
"GREEN KOBRA 33","green-kobra-33","#7ab96e"
"GREEN KOBRA 34","green-kobra-34","#42a370"
"GREEN KOBRA 35","green-kobra-35","#007856"
"GREEN KOBRA 36","green-kobra-36","#4e795b"
"GREEN KOBRA 37","green-kobra-37","#515545"
"GREEN KOBRA 38","green-kobra-38","#415448"
"GREEN KOBRA 39","green-kobra-39","#40b8a4"
"GREEN KOBRA 40","green-kobra-40","#009f8a"
"GREEN KOBRA 41","green-kobra-41","#009185"
"GREY KOBRA 42","grey-kobra-42","#889099"
"BROWN KOBRA 43","brown-kobra-43","#624a3e"
"BLACK KOBRA 44","black-kobra-44","#383737"
"GOLD KOBRA 45","gold-kobra-45","#8e7a5a"
"COPPER KOBRA 46","copper-kobra-46","#7b584c"
"SILVER KOBRA 47","silver-kobra-47","#cdcecd"
"FLUO KOBRA 48","fluo-kobra-48","#edeb00"
"FLUO KOBRA 49","fluo-kobra-49","#ff7700"
"FLUO KOBRA 50","fluo-kobra-50","#ff4131"
"FLUO KOBRA 51","fluo-kobra-51","#f93753"
"FLUO KOBRA 52","fluo-kobra-52","#00b131"
