"Koessinger gelb 16","koessinger-gelb-16","#e3c200"
"Koessinger gelb 21","koessinger-gelb-21","#e9c100"
"Koessinger gelb 94","koessinger-gelb-94","#e3d24e"
"Koessinger gelb 229","koessinger-gelb-229","#e2a800"
"Koessinger gelb 150","koessinger-gelb-150","#a79d00"
"Koessinger orange 22","koessinger-orange-22","#eb8c00"
"Koessinger orange 23","koessinger-orange-23","#ea6f00"
"Koessinger rot 24","koessinger-rot-24","#b8130c"
"Koessinger rot 25","koessinger-rot-25","#a00519"
"Koessinger rot 86","koessinger-rot-86","#d33500"
"Koessinger rot 87","koessinger-rot-87","#e65800"
"Koessinger rot 104","koessinger-rot-104","#a53248"
"Koessinger rot 5","koessinger-rot-5","#701716"
"Koessinger rot 28","koessinger-rot-28","#67121e"
"Koessinger lila 33","koessinger-lila-33","#a46a99"
"Koessinger rot 34","koessinger-rot-34","#d6a2b3"
"Koessinger rot 39","koessinger-rot-39","#cf8dac"
"Koessinger rot 77","koessinger-rot-77","#d8979c"
"Koessinger rot 78","koessinger-rot-78","#e1b1a8"
"Koessinger rot 154","koessinger-rot-154","#973a57"
"Koessinger haut 102","koessinger-haut-102","#dba491"
"Koessinger haut 251","koessinger-haut-251","#c79f87"
"Koessinger braun 217","koessinger-braun-217","#d08026"
"Koessinger braun 18","koessinger-braun-18","#a04409"
"Koessinger braun 81","koessinger-braun-81","#a46d2a"
"Koessinger braun 67","koessinger-braun-67","#89612f"
"Koessinger braun 75","koessinger-braun-75","#8e3f13"
"Koessinger braun 73","koessinger-braun-73","#7d2910"
"Koessinger braun 72","koessinger-braun-72","#512219"
"Koessinger braun 20","koessinger-braun-20","#371c1c"
"Koessinger braun 71","koessinger-braun-71","#30201e"
"Koessinger braun 82","koessinger-braun-82","#50241a"
"Koessinger grau 227","koessinger-grau-227","#c8cece"
"Koessinger grau 108","koessinger-grau-108","#7b888e"
"Koessinger grau 11","koessinger-grau-11","#6f7485"
"Koessinger grau 49","koessinger-grau-49","#58607e"
"Koessinger gruen 61","koessinger-gruen-61","#177540"
"Koessinger gruen 58","koessinger-gruen-58","#004b31"
"Koessinger gruen 59","koessinger-gruen-59","#004c25"
"Koessinger gruen 100","koessinger-gruen-100","#0f5e31"
"Koessinger gruen 132","koessinger-gruen-132","#007256"
"Koessinger gruen 12","koessinger-gruen-12","#35631b"
"Koessinger gruen 13","koessinger-gruen-13","#2b581c"
"Koessinger gruen 14","koessinger-gruen-14","#00404c"
"Koessinger gruen 57","koessinger-gruen-57","#004134"
"Koessinger gruen 68","koessinger-gruen-68","#004f50"
"Koessinger gruen 153","koessinger-gruen-153","#89b66a"
"Koessinger tuerkis 51","koessinger-tuerkis-51","#33a1a1"
"Koessinger tuerkis 53","koessinger-tuerkis-53","#7cbebb"
"Koessinger tuerkis 55","koessinger-tuerkis-55","#bdd4cf"
"Koessinger tuerkis 133","koessinger-tuerkis-133","#008494"
"Koessinger gruen 165","koessinger-gruen-165","#8ea47b"
"Koessinger violett 35","koessinger-violett-35","#281647"
"Koessinger violett 155","koessinger-violett-155","#382254"
"Koessinger violett 26","koessinger-violett-26","#26123e"
"Koessinger grau 50","koessinger-grau-50","#516e90"
"Koessinger grau 83","koessinger-grau-83","#4b4f64"
"Koessinger grau 230","koessinger-grau-230","#7f8181"
"Koessinger grau 231","koessinger-grau-231","#6a6261"
"Koessinger blau 207","koessinger-blau-207","#004cb1"
"Koessinger blau 42","koessinger-blau-42","#003193"
"Koessinger blau 43","koessinger-blau-43","#4a3976"
"Koessinger blau 45","koessinger-blau-45","#002a64"
"Koessinger blau 46","koessinger-blau-46","#001d83"
"Koessinger blau 48","koessinger-blau-48","#00409b"
"Koessinger blau 252","koessinger-blau-252","#004897"
"Koessinger blau 15","koessinger-blau-15","#00467b"
"Koessinger blau 40","koessinger-blau-40","#2197be"
"Koessinger blau 70","koessinger-blau-70","#0078a1"
"Koessinger blau 105","koessinger-blau-105","#9fced4"
"Koessinger blau 106","koessinger-blau-106","#60b2d0"
"Koessinger magenta 200","koessinger-magenta-200","#b22d5d"
