"Krautol Erle 3-0","krautol-erle-3-0","#606342"
"Krautol Erle 3-1","krautol-erle-3-1","#a9ac8a"
"Krautol Erle 3-2","krautol-erle-3-2","#bbbd9d"
"Krautol Erle 3-3","krautol-erle-3-3","#c9cbb0"
"Krautol Erle 3-4","krautol-erle-3-4","#dddcc7"
"Krautol Erle 3-5","krautol-erle-3-5","#e8e7d8"
"Krautol Karneol 10-0","krautol-karneol-10-0","#70423c"
"Krautol Karneol 10-1","krautol-karneol-10-1","#b39391"
"Krautol Karneol 10-2","krautol-karneol-10-2","#c4a8a6"
"Krautol Karneol 10-3","krautol-karneol-10-3","#d0b7b6"
"Krautol Karneol 10-4","krautol-karneol-10-4","#dfcecb"
"Krautol Karneol 10-5","krautol-karneol-10-5","#e6d8d4"
"Krautol Korn 11-0","krautol-korn-11-0","#b58137"
"Krautol Korn 11-1","krautol-korn-11-1","#e6b877"
"Krautol Korn 11-2","krautol-korn-11-2","#edc68f"
"Krautol Korn 11-3","krautol-korn-11-3","#f1d2a3"
"Krautol Korn 11-4","krautol-korn-11-4","#f7e3bf"
"Krautol Korn 11-5","krautol-korn-11-5","#f4e7cb"
"Krautol Kupfer 9-0","krautol-kupfer-9-0","#8b543f"
"Krautol Kupfer 9-1","krautol-kupfer-9-1","#c79a84"
"Krautol Kupfer 9-2","krautol-kupfer-9-2","#d2aa95"
"Krautol Kupfer 9-3","krautol-kupfer-9-3","#e0beab"
"Krautol Kupfer 9-4","krautol-kupfer-9-4","#e9d3c4"
"Krautol Kupfer 9-5","krautol-kupfer-9-5","#eeded1"
"Krautol Moor 7-0","krautol-moor-7-0","#70563d"
"Krautol Moor 7-1","krautol-moor-7-1","#b59c83"
"Krautol Moor 7-2","krautol-moor-7-2","#c2ab94"
"Krautol Moor 7-3","krautol-moor-7-3","#d1bca7"
"Krautol Moor 7-4","krautol-moor-7-4","#e2d3c1"
"Krautol Moor 7-5","krautol-moor-7-5","#ebe0d1"
"Krautol Onyx 2-0","krautol-onyx-2-0","#43423a"
"Krautol Onyx 2-1","krautol-onyx-2-1","#868378"
"Krautol Onyx 2-2","krautol-onyx-2-2","#9b988c"
"Krautol Onyx 2-3","krautol-onyx-2-3","#acaa9e"
"Krautol Onyx 2-4","krautol-onyx-2-4","#c7c4ba"
"Krautol Onyx 2-5","krautol-onyx-2-5","#d5d3ca"
"Krautol Pyrit 1-0","krautol-pyrit-1-0","#463b39"
"Krautol Pyrit 1-1","krautol-pyrit-1-1","#837a7c"
"Krautol Pyrit 1-2","krautol-pyrit-1-2","#9a9293"
"Krautol Pyrit 1-3","krautol-pyrit-1-3","#aca5a6"
"Krautol Pyrit 1-4","krautol-pyrit-1-4","#c6c0bf"
"Krautol Pyrit 1-5","krautol-pyrit-1-5","#d6d1cf"
"Krautol Rinde 8-0","krautol-rinde-8-0","#7c5c44"
"Krautol Rinde 8-1","krautol-rinde-8-1","#bea38c"
"Krautol Rinde 8-2","krautol-rinde-8-2","#ceb6a1"
"Krautol Rinde 8-3","krautol-rinde-8-3","#d7c3b1"
"Krautol Rinde 8-4","krautol-rinde-8-4","#e7d8c9"
"Krautol Rinde 8-5","krautol-rinde-8-5","#ebe0d4"
"Krautol Ton 6-0","krautol-ton-6-0","#8b6236"
"Krautol Ton 6-1","krautol-ton-6-1","#caa37b"
"Krautol Ton 6-2","krautol-ton-6-2","#d5b38e"
"Krautol Ton 6-3","krautol-ton-6-3","#e2c5a4"
"Krautol Ton 6-4","krautol-ton-6-4","#ebd8c1"
"Krautol Ton 6-5","krautol-ton-6-5","#eddeca"
"Krautol Torf 5-0","krautol-torf-5-0","#775d3d"
"Krautol Torf 5-1","krautol-torf-5-1","#bba281"
"Krautol Torf 5-2","krautol-torf-5-2","#ccb698"
"Krautol Torf 5-3","krautol-torf-5-3","#d8c4aa"
"Krautol Torf 5-4","krautol-torf-5-4","#e6d8c3"
"Krautol Torf 5-5","krautol-torf-5-5","#e9e0d0"
"Krautol Weide 4-0","krautol-weide-4-0","#7b6b41"
"Krautol Weide 4-1","krautol-weide-4-1","#b9ab82"
"Krautol Weide 4-2","krautol-weide-4-2","#cabe99"
"Krautol Weide 4-3","krautol-weide-4-3","#d6ccad"
"Krautol Weide 4-4","krautol-weide-4-4","#e5ddc4"
"Krautol Weide 4-5","krautol-weide-4-5","#e9e5d2"
