"Krautol Achat 11","krautol-achat-11","#6c7478"
"Krautol Achat 12","krautol-achat-12","#828b91"
"Krautol Achat 13","krautol-achat-13","#96a0a6"
"Krautol Achat 14","krautol-achat-14","#a9b0b5"
"Krautol Achat 15","krautol-achat-15","#b8c0c3"
"Krautol Achat 16","krautol-achat-16","#cbd1d1"
"Krautol Achat 17","krautol-achat-17","#d3d7d5"
"Krautol Achat 18","krautol-achat-18","#dee2de"
"Krautol Aubergine 11","krautol-aubergine-11","#865976"
"Krautol Aubergine 12","krautol-aubergine-12","#966c8b"
"Krautol Aubergine 13","krautol-aubergine-13","#ac82a1"
"Krautol Aubergine 14","krautol-aubergine-14","#bf9ab4"
"Krautol Aubergine 15","krautol-aubergine-15","#c8adc2"
"Krautol Aubergine 16","krautol-aubergine-16","#d4c0cc"
"Krautol Aubergine 17","krautol-aubergine-17","#ddcfd5"
"Krautol Aubergine 18","krautol-aubergine-18","#e5dadd"
"Krautol Avokadogruen 11","krautol-avokadogruen-11","#849559"
"Krautol Avokadogruen 12","krautol-avokadogruen-12","#93a76a"
"Krautol Avokadogruen 13","krautol-avokadogruen-13","#a3b47f"
"Krautol Avokadogruen 14","krautol-avokadogruen-14","#b6c593"
"Krautol Avokadogruen 15","krautol-avokadogruen-15","#c5d1a4"
"Krautol Avokadogruen 16","krautol-avokadogruen-16","#cdd6b7"
"Krautol Avokadogruen 17","krautol-avokadogruen-17","#d9e1c1"
"Krautol Avokadogruen 18","krautol-avokadogruen-18","#e3e7cf"
"Krautol Bambusgelb 11","krautol-bambusgelb-11","#d49a43"
"Krautol Bambusgelb 12","krautol-bambusgelb-12","#e0a95b"
"Krautol Bambusgelb 13","krautol-bambusgelb-13","#e6b76e"
"Krautol Bambusgelb 14","krautol-bambusgelb-14","#eec88b"
"Krautol Bambusgelb 15","krautol-bambusgelb-15","#efd09d"
"Krautol Bambusgelb 16","krautol-bambusgelb-16","#efd9ae"
"Krautol Bambusgelb 17","krautol-bambusgelb-17","#f1e2c0"
"Krautol Bambusgelb 18","krautol-bambusgelb-18","#f0e7c6"
"Krautol Bermuda 11","krautol-bermuda-11","#4a6f7f"
"Krautol Bermuda 12","krautol-bermuda-12","#5f899a"
"Krautol Bermuda 13","krautol-bermuda-13","#739dab"
"Krautol Bermuda 14","krautol-bermuda-14","#8eb2bf"
"Krautol Bermuda 15","krautol-bermuda-15","#9ebfc8"
"Krautol Bermuda 16","krautol-bermuda-16","#b2cdd2"
"Krautol Bermuda 17","krautol-bermuda-17","#c4dadc"
"Krautol Bermuda 18","krautol-bermuda-18","#d3e2e0"
"Krautol Biber 11","krautol-biber-11","#9d7358"
"Krautol Biber 12","krautol-biber-12","#a67f66"
"Krautol Biber 13","krautol-biber-13","#b7947c"
"Krautol Biber 14","krautol-biber-14","#c5a58e"
"Krautol Biber 15","krautol-biber-15","#d4b9a5"
"Krautol Biber 16","krautol-biber-16","#dec8b8"
"Krautol Biber 17","krautol-biber-17","#e2d1c2"
