"326 Sonnen-Gelb Vollton","326-sonnen-gelb-vollton","#e1d476"
"326 Sonnen-Gelb Mischungsverhaltnis I","326-sonnen-gelb-mischungsverhaltnis-i","#ecead2"
"326 Sonnen-Gelb Mischungsverhaltnis II","326-sonnen-gelb-mischungsverhaltnis-ii","#eae9df"
"333 Mais-Gelb Vollton","333-mais-gelb-vollton","#e09f50"
"333 Mais-Gelb Mischungsverhaltnis I","333-mais-gelb-mischungsverhaltnis-i","#f6e6cc"
"333 Mais-Gelb Mischungsverhaltnis II","333-mais-gelb-mischungsverhaltnis-ii","#f8eedb"
"327 Orange Vollton","327-orange-vollton","#db9a4a"
"327 Orange Mischungsverhaltnis I","327-orange-mischungsverhaltnis-i","#f0e3cf"
"327 Orange Mischungsverhaltnis II","327-orange-mischungsverhaltnis-ii","#f6efdf"
"309 Ocker-Gelb Vollton","309-ocker-gelb-vollton","#b6813c"
"309 Ocker-Gelb Mischungsverhaltnis I","309-ocker-gelb-mischungsverhaltnis-i","#fbe0bb"
"309 Ocker-Gelb Mischungsverhaltnis II","309-ocker-gelb-mischungsverhaltnis-ii","#fbf1df"
"307 Oxid-Gelb Vollton","307-oxid-gelb-vollton","#dba155"
"307 Oxid-Gelb Mischungsverhaltnis I","307-oxid-gelb-mischungsverhaltnis-i","#faf0dd"
"307 Oxid-Gelb Mischungsverhaltnis II","307-oxid-gelb-mischungsverhaltnis-ii","#faf4e6"
"332 Pompejanisch- Rot Vollton","332-pompejanisch-rot-vollton","#b46b44"
"332 Pompejanisch- Rot Mischungsverhaltnis I","332-pompejanisch-rot-mischungsverhaltnis-i","#f0c5b1"
"332 Pompejanisch- Rot Mischungsverhaltnis II","332-pompejanisch-rot-mischungsverhaltnis-ii","#f7e2d4"
"312 Ocker-Rot Vollton","312-ocker-rot-vollton","#9b5644"
"312 Ocker-Rot Mischungsverhaltnis I","312-ocker-rot-mischungsverhaltnis-i","#fae1d1"
"312 Ocker-Rot Mischungsverhaltnis II","312-ocker-rot-mischungsverhaltnis-ii","#fdecde"
"338 Krapp-Hellrot Vollton","338-krapp-hellrot-vollton","#bb372f"
"338 Krapp-Hellrot Mischungsverhaltnis I","338-krapp-hellrot-mischungsverhaltnis-i","#f7aab8"
"338 Krapp-Hellrot Mischungsverhaltnis II","338-krapp-hellrot-mischungsverhaltnis-ii","#f9d3d7"
"337 Krapp-Dunkelrot Vollton","337-krapp-dunkelrot-vollton","#a93a4f"
"337 Krapp-Dunkelrot Mischungsverhaltnis I","337-krapp-dunkelrot-mischungsverhaltnis-i","#f0bfcb"
"337 Krapp-Dunkelrot Mischungsverhaltnis II","337-krapp-dunkelrot-mischungsverhaltnis-ii","#fcebe9"
"303 Eisenoxid-Rot Vollton","303-eisenoxid-rot-vollton","#89473e"
"303 Eisenoxid-Rot Mischungsverhaltnis I","303-eisenoxid-rot-mischungsverhaltnis-i","#e3bcbb"
"303 Eisenoxid-Rot Mischungsverhaltnis II","303-eisenoxid-rot-mischungsverhaltnis-ii","#ecd2cf"
"306 Eisenoxid-Mahagoni Vollton","306-eisenoxid-mahagoni-vollton","#824f44"
"306 Eisenoxid-Mahagoni Mischungsverhaltnis I","306-eisenoxid-mahagoni-mischungsverhaltnis-i","#f4e1da"
"306 Eisenoxid-Mahagoni Mischungsverhaltnis II","306-eisenoxid-mahagoni-mischungsverhaltnis-ii","#f5f0e8"
"311 Ocker-Havanna Vollton","311-ocker-havanna-vollton","#996748"
"311 Ocker-Havanna Mischungsverhaltnis I","311-ocker-havanna-mischungsverhaltnis-i","#f8eddf"
"311 Ocker-Havanna Mischungsverhaltnis II","311-ocker-havanna-mischungsverhaltnis-ii","#fbf4e5"
"335 Ultramarin-Rot Vollton","335-ultramarin-rot-vollton","#c78eb6"
"335 Ultramarin-Rot Mischungsverhaltnis I","335-ultramarin-rot-mischungsverhaltnis-i","#f7e7e8"
"335 Ultramarin-Rot Mischungsverhaltnis II","335-ultramarin-rot-mischungsverhaltnis-ii","#fcf7f0"
"336 Ultramarin-Rotviolett Vollton","336-ultramarin-rotviolett-vollton","#7f6baf"
"336 Ultramarin-Rotviolett Mischungsverhaltnis I","336-ultramarin-rotviolett-mischungsverhaltnis-i","#ebe5ec"
"336 Ultramarin-Rotviolett Mischungsverhaltnis II","336-ultramarin-rotviolett-mischungsverhaltnis-ii","#f9f5ef"
