"LA 8153","la-8153","#9a0a23"
"LA 8207","la-8207","#ac294f"
"LA 8113","la-8113","#b92a29"
"LA 8414","la-8414","#e25f0f"
"LA 8454","la-8454","#f17c2c"
"LA 8425","la-8425","#ffb400"
"LA 8415","la-8415","#f4bd00"
"LA 8485","la-8485","#e7e35f"
"LA 8556","la-8556","#679b37"
"LA 8355","la-8355","#009442"
"LA 8586","la-8586","#007e43"
"LA 8566","la-8566","#0f493f"
"LA 8638","la-8638","#48387e"
"LA 8637","la-8637","#005993"
"LA 8617","la-8617","#20417e"
"LA 8657","la-8657","#008cc0"
"LA 8677","la-8677","#37b0ce"
"LA 8569","la-8569","#008283"
"LA 8576","la-8576","#53d0b2"
"LA 8749","la-8749","#d9c6ab"
"LA 8759","la-8759","#887366"
"LA 8739","la-8739","#865b33"
"LA 8724","la-8724","#b0582a"
"LA 8729","la-8729","#663b2e"
"LA 8158","la-8158","#621b28"
"LA 8719","la-8719","#4f332b"
"LA 8341","la-8341","#595b5a"
"LA 8430","la-8430","#8a9194"
"LA 8331","la-8331","#a9a8a4"
"LA 8210","la-8210","#f2f4f1"
"LA 8012","la-8012","#1b1b1c"
