"LA 9153","la-9153","#991b23"
"LA 9133","la-9133","#be2c28"
"LA 9143","la-9143","#bc2019"
"LA 9444","la-9444","#d95b33"
"LA 9445","la-9445","#db5f36"
"LA 9446","la-9446","#ea7e29"
"LA 9207","la-9207","#a72447"
"LA 9178","la-9178","#c0375b"
"LA 9219","la-9219","#c02462"
"LA 9168","la-9168","#d97691"
"LA 9423","la-9423","#faa900"
"LA 9425","la-9425","#f0a61c"
"LA 9415","la-9415","#f0c000"
"LA 9435","la-9435","#dbcf1f"
"LA 9506","la-9506","#7dad2d"
"LA 9536","la-9536","#66b641"
"LA 9556","la-9556","#188141"
"LA 9355","la-9355","#009548"
"LA 9526","la-9526","#007b2d"
"LA 9576","la-9576","#005d31"
"LA 9528","la-9528","#00935d"
"LA 9546","la-9546","#009d66"
"LA 9584","la-9584","#009478"
"LA 9585","la-9585","#009072"
"LA 9566","la-9566","#00887e"
"LA 9587","la-9587","#00746f"
"LA 9586","la-9586","#00837d"
"LA 9589","la-9589","#00565d"
"LA 9657","la-9657","#008cb4"
"LA 9647","la-9647","#0087b2"
"LA 9627","la-9627","#0074af"
"LA 9667","la-9667","#0066a0"
"LA 9659","la-9659","#194683"
"LA 9274","la-9274","#37367f"
"LA 9687","la-9687","#2c2e79"
"LA 9677","la-9677","#00315e"
"LA 9617","la-9617","#8099bc"
"LA 9613","la-9613","#82a8a7"
"LA 9759","la-9759","#4a3634"
"LA 9709","la-9709","#732f28"
"LA 9729","la-9729","#ca8358"
"LA 9431","la-9431","#656d71"
"LA 9361","la-9361","#6b767f"
"LA 9430","la-9430","#868c90"
"LA 9351","la-9351","#8d9697"
"LA 9421","la-9421","#b5b4b2"
"LA 9220","la-9220","#ecedea"
"LA 9012","la-9012","#252729"
"LA 9371","la-9371","#938b86"
"LA 9405","la-9405","#ddd3ae"
"LA 9696","la-9696","#633873"
