"LC 2035","lc-2035","#ecce2b"
"LC 2313","lc-2313","#ffd148"
"LC 2034","lc-2034","#ffc33c"
"LC 2032","lc-2032","#f6b351"
"LC 2203","lc-2203","#f8ab41"
"LC 2018","lc-2018","#ff7e38"
"LC 2017","lc-2017","#ff6542"
"LC 2015","lc-2015","#d64942"
"LC 2102","lc-2102","#c23f3e"
"LC 2013","lc-2013","#ba474b"
"LC 2012","lc-2012","#af464c"
"LC 2091","lc-2091","#8b3b4b"
"LC 2024","lc-2024","#a7d7c4"
"LC 2022","lc-2022","#96d7a1"
"LC 2047","lc-2047","#8ebe4d"
"LC 2431","lc-2431","#5abd53"
"LC 2045","lc-2045","#00944b"
"LC 2434","lc-2434","#00997b"
"LC 2044","lc-2044","#009762"
"LC 2414","lc-2414","#00764b"
"LC 2042","lc-2042","#15664e"
"LC 2054","lc-2054","#00a396"
"LC 2052","lc-2052","#098287"
"LC 2534","lc-2534","#0093a9"
"LC 2506","lc-2506","#abdae3"
"LC 2504","lc-2504","#26b7d4"
"LC 2068","lc-2068","#29b7d9"
"LC 2513","lc-2513","#0092c1"
"LC 2067","lc-2067","#0088ba"
"LC 2055","lc-2055","#0778b1"
"LC 2064","lc-2064","#2164a6"
"LC 2065","lc-2065","#316396"
"LC 2062","lc-2062","#41497a"
"LC 2063","lc-2063","#48528c"
"LC 2066","lc-2066","#456ba8"
"LC 2056","lc-2056","#4d5c99"
"LC 2092","lc-2092","#7d62a1"
"LC 2098","lc-2098","#a54168"
"LC 2095","lc-2095","#c34492"
"LC 2038","lc-2038","#efac85"
"LC 2236","lc-2236","#9b613b"
"LC 2085","lc-2085","#533b36"
"LC 2099","lc-2099","#f1f1f4"
"LC 2074","lc-2074","#7b7c7a"
"LC 2073","lc-2073","#646565"
"LC 2072","lc-2072","#3b3b3d"
