"LC 3065","lc-3065","#d76792"
"LC 3064","lc-3064","#c95481"
"LC 3063","lc-3063","#b02f60"
"LC 3011","lc-3011","#a10d1c"
"LC 3013","lc-3013","#ba1d19"
"LC 3012","lc-3012","#c73123"
"LC 3021","lc-3021","#da4400"
"LC 3022","lc-3022","#f87429"
"LC 3031","lc-3031","#feb905"
"LC 3032","lc-3032","#ffcb00"
"LC 3034","lc-3034","#ecc300"
"LC 3033","lc-3033","#f7db80"
"LC 3043","lc-3043","#007f81"
"LC 3042","lc-3042","#7daa00"
"LC 3045","lc-3045","#228b27"
"LC 3044","lc-3044","#005a2a"
"LC 3046","lc-3046","#004b2c"
"LC 3050","lc-3050","#0e2238"
"LC 3052","lc-3052","#232661"
"LC 3051","lc-3051","#1b3c67"
"LC 3057","lc-3057","#003880"
"LC 3053","lc-3053","#0d4e99"
"LC 3049","lc-3049","#043982"
"LC 3154","lc-3154","#005088"
"LC 3056","lc-3056","#0066aa"
"LC 3058","lc-3058","#008ebe"
"LC 3055","lc-3055","#0079b7"
"LC 3054","lc-3054","#0094c2"
"LC 3059","lc-3059","#46b3d3"
"LC 3062","lc-3062","#602c60"
"LC 3060","lc-3060","#433072"
"LC 3061","lc-3061","#7d3b70"
"LC 3029","lc-3029","#470f1a"
"LC 3028","lc-3028","#553525"
"LC 3027","lc-3027","#6a3419"
"LC 3025","lc-3025","#e7ca98"
"LC 3071","lc-3071","#f2f5f4"
"LC 3075","lc-3075","#bfbcb5"
"LC 3079","lc-3079","#a4a5a7"
"LC 3077","lc-3077","#636768"
"LC 3080","lc-3080","#0f1013"
"LC GOLD","lc-gold","#8a6a3a"
"LC SILVER","lc-silver","#888b8b"
