"LK 2018","lk-2018","#ff7e38"
"LK 2038","lk-2038","#eda67b"
"LK 2234","lk-2234","#6d2e21"
"LK 2012","lk-2012","#a91a28"
"LK 2013","lk-2013","#ae1e23"
"LK 2102","lk-2102","#b62c1c"
"LK 2203","lk-2203","#fea100"
"LK 2034","lk-2034","#ffbc00"
"LK 2313","lk-2313","#ffcc00"
"LK 2035","lk-2035","#eece00"
"LK 2042","lk-2042","#005439"
"LK 2045","lk-2045","#008836"
"LK 2044","lk-2044","#008f55"
"LK 2054","lk-2054","#00a091"
"LK 2512","lk-2512","#00b0af"
"LK 2068","lk-2068","#00aed6"
"LK 2513","lk-2513","#0087b1"
"LK 2067","lk-2067","#007bb1"
"LK 2064","lk-2064","#2657ac"
"LK 2066","lk-2066","#2c559f"
"LK 2505","lk-2505","#2c3893"
"LK 2062","lk-2062","#242e77"
"LK 2063","lk-2063","#232e69"
"LK 2092","lk-2092","#74508d"
"LK 2091","lk-2091","#7f1230"
"LK 2099","lk-2099","#f1f1f4"
"LK 2075","lk-2075","#9da0a3"
"LK 2074","lk-2074","#737574"
"LK 2073","lk-2073","#535455"
"LK 2072","lk-2072","#101215"
