"LT 4063","lt-4063","#d77798"
"LT 4178","lt-4178","#b93657"
"LT 4207","lt-4207","#a32c44"
"LT 4018","lt-4018","#991e64"
"LT 4025","lt-4025","#a4252c"
"LT 4011","lt-4011","#a51a27"
"LT 4013","lt-4013","#bc2e2b"
"LT 4023","lt-4023","#d74a1e"
"LT 4015","lt-4015","#c03118"
"LT 4021","lt-4021","#d35600"
"LT 4022","lt-4022","#e97b1a"
"LT 4031","lt-4031","#e19b00"
"LT 4033","lt-4033","#eab300"
"LT 4032","lt-4032","#d8ce1d"
"LT 4034","lt-4034","#dcd1ad"
"LT 4042","lt-4042","#76a11d"
"LT 4049","lt-4049","#009257"
"LT 4048","lt-4048","#00874a"
"LT 4044","lt-4044","#157f12"
"LT 4576","lt-4576","#006423"
"LT 4046","lt-4046","#00613f"
"LT 4045","lt-4045","#1e4c2e"
"LT 4043","lt-4043","#006130"
"LT 4047","lt-4047","#00645e"
"LT 4057","lt-4057","#00365c"
"LT 4053","lt-4053","#38338d"
"LT 4052","lt-4052","#4a1977"
"LT 4056","lt-4056","#1c428d"
"LT 4059","lt-4059","#184383"
"LT 4055","lt-4055","#0071b0"
"LT 4054","lt-4054","#007dad"
"LT 4040","lt-4040","#00867d"
"LT 4041","lt-4041","#008f83"
"LT 4028","lt-4028","#7d4640"
"LT 4019","lt-4019","#71262d"
"LT 4020","lt-4020","#68242b"
"LT 4027","lt-4027","#644035"
"LT 4073","lt-4073","#8e8f8f"
"LT 4075","lt-4075","#687078"
"LT 4077","lt-4077","#606364"
"LT 4026","lt-4026","#47413d"
"LT 4080","lt-4080","#2f3032"
"LT 4071","lt-4071","#f1f4f2"
