"LC 4770M","lc-4770m","#eff1f3"
"LC 4770","lc-4770","#eceef1"
"LC 4771","lc-4771","#b3b6b6"
"LC 4772","lc-4772","#7a7d7d"
"LC 4773","lc-4773","#5a5b5c"
"LC 4779","lc-4779","#9f9f9d"
"LC 4780M","lc-4780m","#393a3b"
"LC 4780","lc-4780","#111417"
"LC 4728","lc-4728","#b78e57"
"LC 4727","lc-4727","#aa541b"
"LC 4726","lc-4726","#482f24"
"LC 4739","lc-4739","#a99258"
"LC 4736","lc-4736","#e5dbc1"
"LC 4732","lc-4732","#edcc00"
"LC 4731","lc-4731","#ffbb00"
"LC 4730","lc-4730","#f9a200"
"LC 4721","lc-4721","#e77022"
"LC 4720","lc-4720","#d1501d"
"LC 4711","lc-4711","#b42922"
"LC 4710","lc-4710","#ae1f22"
"LC 4716","lc-4716","#7e2020"
"LC 4764","lc-4764","#df8ab1"
"LC 4763","lc-4763","#b93867"
"LC 4762","lc-4762","#bc96bf"
"LC 4761","lc-4761","#816db0"
"LC 4760","lc-4760","#642f65"
"LC 4754","lc-4754","#0094bf"
"LC 4753","lc-4753","#0085bd"
"LC 4752","lc-4752","#005488"
"LC 4751","lc-4751","#272d7d"
"LC 4750","lc-4750","#222d6b"
"LC 4748","lc-4748","#70cdb4"
"LC 4747","lc-4747","#009b8d"
"LC 4746","lc-4746","#008083"
"LC 4743","lc-4743","#7b9c36"
"LC 4742","lc-4742","#00873c"
"LC 4741","lc-4741","#007a49"
"LC 4740","lc-4740","#113b26"
