"LC 6771M","lc-6771m","#eff1f4"
"LC 6770G","lc-6770g","#eef0f2"
"LC 6772G","lc-6772g","#c9c9c8"
"LC 6773G","lc-6773g","#959791"
"LC 6774G","lc-6774g","#757d7c"
"LC 6775G","lc-6775g","#5d6364"
"LC 6776G","lc-6776g","#494e4f"
"LC 6779G","lc-6779g","#7a7977"
"LC 6781M","lc-6781m","#18191c"
"LC 6780G","lc-6780g","#0f1113"
"LC 6727G","lc-6727g","#ac5c27"
"LC 6726G","lc-6726g","#4a2d1e"
"LC 6739G","lc-6739g","#8d6a3d"
"LC 6737G","lc-6737g","#eddeb8"
"LC 6736G","lc-6736g","#e7ca92"
"LC 6734G","lc-6734g","#fbe400"
"LC 6733G","lc-6733g","#ffc600"
"LC 6732G","lc-6732g","#feaf00"
"LC 6730G","lc-6730g","#ffa300"
"LC 6731G","lc-6731g","#f79a00"
"LC 6720G","lc-6720g","#e85f00"
"LC 6721G","lc-6721g","#d65020"
"LC 6713G","lc-6713g","#c6220e"
"LC 6711G","lc-6711g","#aa071c"
"LC 6710G","lc-6710g","#a4000c"
"LC 6716G","lc-6716g","#7f151d"
"LC 6717G","lc-6717g","#641326"
"LC 6766G","lc-6766g","#df87b0"
"LC 6765G","lc-6765g","#bc346d"
"LC 6763G","lc-6763g","#bd94bd"
"LC 6762G","lc-6762g","#78699b"
"LC 6761G","lc-6761g","#5e2b62"
"LC 6760G","lc-6760g","#462f77"
"LC 675AG","lc-675ag","#4db8e0"
"LC 6759G","lc-6759g","#009cd4"
"LC 6758G","lc-6758g","#0087b8"
"LC 6757G","lc-6757g","#0075b5"
"LC 6756G","lc-6756g","#0065b0"
"LC 6755G","lc-6755g","#005399"
"LC 6754G","lc-6754g","#234398"
"LC 6753G","lc-6753g","#093482"
"LC 6752G","lc-6752g","#0b3175"
"LC 6751G","lc-6751g","#082b56"
"LC 6750G","lc-6750g","#181e33"
"LC 6748G","lc-6748g","#65d6bd"
"LC 6747G","lc-6747g","#00a297"
"LC 6746G","lc-6746g","#008e90"
"LC 6744G","lc-6744g","#4a9b09"
"LC 6742G","lc-6742g","#007643"
"LC 6743G","lc-6743g","#1d5d2e"
"LC 6741G","lc-6741g","#005032"
"LC 6740G","lc-6740g","#00492a"
"LC 675BG","lc-675bg","#00418e"
"LC 674BG","lc-674bg","#007138"
"LC 672AG","lc-672ag","#e35106"
"LC 671CG","lc-671cg","#b72129"
"LC 676AG","lc-676ag","#60418b"
"LC 674CG","lc-674cg","#009359"
"LC 674DG","lc-674dg","#7ecc31"
"LC 671AG","lc-671ag","#ca351e"
"LC 671BG","lc-671bg","#c02a12"
"LC 673AG","lc-673ag","#f1d899"
