"LC 6871","lc-6871","#f7f8f3"
"LC 6873","lc-6873","#888a88"
"LC 6875","lc-6875","#697178"
"LC 6877","lc-6877","#646262"
"LC 6880","lc-6880","#2d2e30"
"LC 6827","lc-6827","#6d4335"
"LC 6834","lc-6834","#e9daad"
"LC 6832","lc-6832","#e0d318"
"LC 6830","lc-6830","#faca00"
"LC 6833","lc-6833","#f8b900"
"LC 6831","lc-6831","#feac00"
"LC 6822","lc-6822","#f27d28"
"LC 6821","lc-6821","#e66628"
"LC 6823","lc-6823","#e2502d"
"LC 6815","lc-6815","#cf4532"
"LC 6813","lc-6813","#c03433"
"LC 6811","lc-6811","#ab2f36"
"LC 6812","lc-6812","#a7202b"
"LC 6819","lc-6819","#702a2f"
"LC 6820","lc-6820","#652d30"
"LC 6863","lc-6863","#e07c9c"
"LC 6867","lc-6867","#cd4062"
"LC 6818","lc-6818","#a12c63"
"LC 6854","lc-6854","#0081b2"
"LC 6855","lc-6855","#0075b4"
"LC 685A","lc-685a","#0059a0"
"LC 6859","lc-6859","#344e88"
"LC 6856","lc-6856","#323a78"
"LC 6857","lc-6857","#253c58"
"LC 6853","lc-6853","#3c327d"
"LC 6852","lc-6852","#4d266d"
"LC 6841","lc-6841","#009585"
"LC 6840","lc-6840","#008c82"
"LC 6847","lc-6847","#005d5b"
"LC 6842","lc-6842","#76a425"
"LC 6844","lc-6844","#1d6c23"
"LC 6848","lc-6848","#008b4e"
"LC 6849","lc-6849","#008452"
"LC 6843","lc-6843","#00612f"
"LC 684A","lc-684a","#00652d"
"LC 6846","lc-6846","#006242"
"LC 6845","lc-6845","#295437"
