"French Grey Pale 161","french-grey-pale-161","#e5e3de"
"French Grey Mid 162","french-grey-mid-162","#d9d7d1"
"French Grey Original 113","french-grey-original-113","#cecac2"
"French Grey Dark 163","french-grey-dark-163","#b4aea4"
"Slaked Lime Original 105","slaked-lime-original-105","#f3f0e9"
"Slaked Lime Mid 149","slaked-lime-mid-149","#e8e4db"
"Slaked Lime Deep 150","slaked-lime-deep-150","#d6d1c5"
"Slaked Lime Dark 151","slaked-lime-dark-151","#cac4b7"
"Portland Stone Pale 155","portland-stone-pale-155","#ebe6da"
"Portland Stone Original 77","portland-stone-original-77","#d2cbbc"
"Portland Stone Deep 156","portland-stone-deep-156","#cac2b0"
"Portland Stone Dark 157","portland-stone-dark-157","#bdb5a1"
"Clay Pale 152","clay-pale-152","#eee7da"
"Clay Mid 153","clay-mid-153","#e6dccb"
"Clay Deep 154","clay-deep-154","#dbceba"
"Clay Original 39","clay-original-39","#d1c2ab"
"Stock Original 37","stock-original-37","#eee7da"
"Stock Mid 173","stock-mid-173","#f0e3cd"
"Stock Deep 174","stock-deep-174","#e8d9c0"
"Stock Dark 175","stock-dark-175","#dfcdaf"
"White Lead Original 74","white-lead-original-74","#f5f0e0"
"White Lead Mid 170","white-lead-mid-170","#f4edd6"
"White Lead Deep 171","white-lead-deep-171","#eee5c8"
"White Lead Dark 172","white-lead-dark-172","#e4d7b3"
"Pearl Colour Pale 167","pearl-colour-pale-167","#e7e9e3"
"Pearl Colour Mid 168","pearl-colour-mid-168","#e0e2dc"
"Pearl Colour Original 100","pearl-colour-original-100","#d3d6ce"
"Pearl Colour Dark 169","pearl-colour-dark-169","#bdc2b9"
"Bone China Blue Pale 182","bone-china-blue-pale-182","#dfe5e5"
"Bone China Blue Mid 183","bone-china-blue-mid-183","#d3dadc"
"Bone China Blue Deep 184","bone-china-blue-deep-184","#bac4c8"
"Bone China Blue Original 107","bone-china-blue-original-107","#a6b2b6"
"Gauze Original 106","gauze-original-106","#e6e7e7"
"Gauze Mid 164","gauze-mid-164","#dbdedf"
"Gauze Deep 165","gauze-deep-165","#d4d7d9"
"Gauze Dark 166","gauze-dark-166","#c6cacd"
"Welcome Pale 179","welcome-pale-179","#eae7e5"
"Welcome Original 109","welcome-original-109","#e1dddc"
"Welcome Deep 180","welcome-deep-180","#d4d1d0"
"Welcome Dark 181","welcome-dark-181","#c1bcbd"
"China Clay Original 1","china-clay-original-1","#f0ebe5"
"China Clay Mid 176","china-clay-mid-176","#e5dbd5"
"China Clay Deep 177","china-clay-deep-177","#d9cec6"
"China Clay Dark 178","china-clay-dark-178","#cdbfb6"
"Rolling Fog Pale 158","rolling-fog-pale-158","#ebe7df"
"Rolling Fog Mid 159","rolling-fog-mid-159","#e2dacf"
"Rolling Fog Original 143","rolling-fog-original-143","#cabeb1"
"Rolling Fog Dark 160","rolling-fog-dark-160","#b0a291"
