"Shirting 129","shirting-129","#f8f7f1"
"Slaked Lime 105","slaked-lime-105","#f3f0e9"
"Joanna 130","joanna-130","#e1dace"
"Portland Stone 77","portland-stone-77","#d1cabb"
"French Grey 113","french-grey-113","#cbc7c1"
"Lead Colour 117","lead-colour-117","#9f9d99"
"Mid Lead Colour 114","mid-lead-colour-114","#949798"
"Dark Lead Colour 118","dark-lead-colour-118","#7b7978"
"Linen Wash 33","linen-wash-33","#efece1"
"Stock 37","stock-37","#ece6d8"
"Hammock 38","hammock-38","#d9ccbc"
"Mushroom 142","mushroom-142","#ccbeb0"
"Rolling Fog 143","rolling-fog-143","#c7bdb0"
"Silt 40","silt-40","#988c7e"
"Attic II 144","attic-ii-144","#6f6761"
"Felt 145","felt-145","#796963"
"Clockface 81","clockface-81","#edeade"
"Acre 76","acre-76","#dbd2be"
"Stone-Mid-Cool 66","stone-mid-cool-66","#d3c6ab"
"Stone-Dark-Cool 67","stone-dark-cool-67","#c5b9a1"
"Beauvais Lilac 29","beauvais-lilac-29","#dfcbb8"
"Regency Fawn 30","regency-fawn-30","#d1bdaa"
"Button 27","button-27","#c1a797"
"Roman Plaster 31","roman-plaster-31","#bba694"
"Hollyhock 25","hollyhock-25","#ede6db"
"Clay 39","clay-39","#d2c2aa"
"Bath Stone 64","bath-stone-64","#c9b290"
"Stone-Dark-Warm 36","stone-dark-warm-36","#b0997c"
"China Clay 1","china-clay-1","#efe9e3"
"Welcome 109","welcome-109","#dad7d8"
"Mirage II 4","mirage-ii-4","#d2cac7"
"Lt Peachblossom 3","lt-peachblossom-3","#c4ada9"
"Julies Dream 26","julies-dream-26","#efe0d4"
"Shripm Pink 11","shripm-pink-11","#eac0b0"
"Orange Aurora 21","orange-aurora-21","#d47565"
"Firefly 141","firefly-141","#c2484b"
"Chemise 139","chemise-139","#ede2e5"
"Whisper 5","whisper-5","#ddd7de"
"Ashes Of Roses 6","ashes-of-roses-6","#986c67"
"Adventurer 7","adventurer-7","#765557"
"Inner Shell II 10","inner-shell-ii-10","#f3ddcc"
"Tuscany 12","tuscany-12","#d9af9b"
"Terra di Sienna 23","terra-di-sienna-23","#d3a07d"
"Tuscana Red 140","tuscana-red-140","#a1645a"
"Heat 24","heat-24","#ad583d"
