"Lukas 808 Titanweiss","808-titanweiss","#e5e5df"
"Lukas 822 Fleischfarbe","822-fleischfarbe","#f7d4bd"
"Lukas 810 Primaire-Gelb","810-primaire-gelb","#edd90f"
"Lukas 826 Kadmiumgelb hell","826-kadmiumgelb-hell","#fcc400"
"Lukas 829 Kadmiumorange","829-kadmiumorange","#de6232"
"Lukas 872 Kadmiumrot hell","872-kadmiumrot-hell","#d74737"
"Lukas 874 Kadmiumrot dunkel","874-kadmiumrot-dunkel","#c13936"
"Lukas 866 Krapplack dunkel","866-krapplack-dunkel","#65393a"
"Lukas 850 Primaire-Rot","850-primaire-rot","#9a3350"
"Lukas 927 Kobaltviolett dunkel","927-kobaltviolett-dunkel","#463e47"
"Lukas 920 Primaire-Blau","920-primaire-blau","#0c6899"
"Lukas 937 Ultramarin","937-ultramarin","#383456"
"Lukas 823 Kobaltblau hell","823-kobaltblau-hell","#314d82"
"Lukas 921 Coelinblau","921-coelinblau","#00637c"
"Lukas 938 Himmelblau","938-himmelblau","#507ebe"
"Lukas 972 Zinnobergruen hellst","972-zinnobergruen-hellst","#7baa20"
"Lukas 963 Permanetgruen hell","963-permanetgruen-hell","#076d44"
"Lukas 954 Chromoxidgruen feurig","954-chromoxidgruen-feurig","#255144"
"Lukas 953 Chromoxidgruen stumpf","953-chromoxidgruen-stumpf","#4a6547"
"Lukas 831 Lichter Ocker","831-lichter-ocker","#b57f3d"
"Lukas 911 Umbra gebrannt","911-umbra-gebrannt","#504643"
"Lukas 909 Terra di Siena gebrannt","909-terra-di-siena-gebrannt","#5e342b"
"Lukas 990 Warmgrau ","990-warmgrau","#76705f"
"Lukas 982 Elfenbeinschwarz","982-elfenbeinschwarz","#3b3a3a"
