"Lukas 4008 Titanweiss","lukas-4008-titanweiss","#fcfbf4"
"Lukas 4009 Beige","lukas-4009-beige","#f9e0ba"
"Lukas 4022 Hautfarbe","lukas-4022-hautfarbe","#f9d2b3"
"Lukas 4011 Brillantgelb hell","lukas-4011-brillantgelb-hell","#ffe468"
"Lukas 4012 Brillantgelb dunkel","lukas-4012-brillantgelb-dunkel","#ffd45f"
"Lukas 4021 Zitronengelb","lukas-4021-zitronengelb","#faeb25"
"Lukas 4025 Kadmiumgelb zitron","lukas-4025-kadmiumgelb-zitron","#fee400"
"Lukas 4046 Permanentgelb hell","lukas-4046-permanentgelb-hell","#ffc800"
"Lukas 4026 Kadmiumgelb hell","lukas-4026-kadmiumgelb-hell","#ffce00"
"Lukas 4034 Neapelgelb","lukas-4034-neapelgelb","#efab4f"
"Lukas 4024 Indischgelb","lukas-4024-indischgelb","#ff9900"
"Lukas 4028 Kadmiumgelb dunkel","lukas-4028-kadmiumgelb-dunkel","#f2801b"
"Lukas 4047 Permanentorange","lukas-4047-permanentorange","#e05736"
"Lukas 4029 Kadmiumorange","lukas-4029-kadmiumorange","#f4641e"
"Lukas 4072 Kadmiumrot hell","lukas-4072-kadmiumrot-hell","#d64836"
"Lukas 4085 Zinnoberrot hell","lukas-4085-zinnoberrot-hell","#c93938"
"Lukas 4074 Kadmiumrot dunkel","lukas-4074-kadmiumrot-dunkel","#b7383b"
"Lukas 4086 Zinnoberrot dunkel","lukas-4086-zinnoberrot-dunkel","#b23c3e"
"Lukas 4049 Lukasrot","lukas-4049-lukasrot","#bc4142"
"Lukas 4062 Chinacrindonrosa","lukas-4062-chinacrindonrosa","#b24360"
"Lukas 4066 Krapplack","lukas-4066-krapplack","#853437"
"Lukas 4061 Karmin","lukas-4061-karmin","#81353c"
"Lukas 4067 Krapplack dunkel","lukas-4067-krapplack-dunkel","#5c3739"
"Lukas 4051 Magenta","lukas-4051-magenta","#9e3c6d"
"Lukas 4068 Permanentrosa","lukas-4068-permanentrosa","#913451"
"Lukas 4129 Mauve","lukas-4129-mauve","#623b43"
"Lukas 4132 Permanentviolett","lukas-4132-permanentviolett","#4c4750"
"Lukas 4140 Ultramarin Violett","lukas-4140-ultramarin-violett","#655395"
"Lukas 4127 Indanthron Blau","lukas-4127-indanthron-blau","#4a4556"
"Lukas 4122 Indigo","lukas-4122-indigo","#3c3a3f"
"Lukas 4137 Ultramarinblau dunkel","lukas-4137-ultramarinblau-dunkel","#3d357f"
"Lukas 4135 Ultramarinblau hell","lukas-4135-ultramarinblau-hell","#454bb0"
"Lukas 4149 Koenigsblau hell","lukas-4149-koenigsblau-hell","#90b6eb"
"Lukas 4126 Kobaltblau imit","lukas-4126-kobaltblau-imit","#325fa4"
"Lukas 4125 Kobaltblau","lukas-4125-kobaltblau","#2e60a6"
"Lukas 4144 Phtaloblau","lukas-4144-phtaloblau","#3e3d65"
"Lukas 4134 Preussischblau","lukas-4134-preussischblau","#3a455d"
"Lukas 4121 Coelinblau","lukas-4121-coelinblau","#1d698a"
"Lukas 4120 Cyan","lukas-4120-cyan","#2177ac"
"Lukas 4123 Phthalotuerkis","lukas-4123-phthalotuerkis","#3a5c6a"
"Lukas 4124 Tuerkis","lukas-4124-tuerkis","#008279"
"Lukas 4155 Kobalttuerkis","lukas-4155-kobalttuerkis","#00b2ba"
"Lukas 4173 Gelbgruen","lukas-4173-gelbgruen","#958126"
"Lukas 4172 Zinnobergruen hellst","lukas-4172-zinnobergruen-hellst","#7ebb2a"
"Lukas 4151 Chromgruen hell","lukas-4151-chromgruen-hell","#3b903c"
"Lukas 4165 Saftgruen","lukas-4165-saftgruen","#556c3d"
"Lukas 4153 Chromoxidgruen stumpf","lukas-4153-chromoxidgruen-stumpf","#5b7553"
"Lukas 4163 Permanentgruen hell","lukas-4163-permanentgruen-hell","#007c4f"
"Lukas 4154 Chromoxidgruen feurig","lukas-4154-chromoxidgruen-feurig","#0f5847"
"Lukas 4169 Kobaltgruen","lukas-4169-kobaltgruen","#346454"
"Lukas 4114 Umbra gruenlich","lukas-4114-umbra-gruenlich","#625c43"
"Lukas 4110 Umbra natur","lukas-4110-umbra-natur","#675642"
"Lukas 4106 Sepia","lukas-4106-sepia","#373635"
"Lukas 4112 Vandyckbraun","lukas-4112-vandyckbraun","#564741"
"Lukas 4055 Englischrot dunkel","lukas-4055-englischrot-dunkel","#86463b"
"Lukas 4108 Eisenoxidbraun","lukas-4108-eisenoxidbraun","#a36042"
"Lukas 4109 Terra di Siena gebr","lukas-4109-terra-di-siena-gebr","#6b413d"
"Lukas 4111 Umbra gebrannt","lukas-4111-umbra-gebrannt","#453a38"
"Lukas 4023 Goldocker","lukas-4023-goldocker","#865945"
"Lukas 4039 Terra di Siena natur","lukas-4039-terra-di-siena-natur","#b17a47"
"Lukas 4031 Lichter Ocker","lukas-4031-lichter-ocker","#bf863b"
"Lukas 4190 Warmgrau","lukas-4190-warmgrau","#887f68"
"Lukas 4191 Kaltgrau","lukas-4191-kaltgrau","#737577"
"Lukas 4184 Paynesgrau","lukas-4184-paynesgrau","#3b3c3e"
"Lukas 4198 Tiefschwarz","lukas-4198-tiefschwarz","#323334"
"Lukas 4199 Eisenoxidschwarz","lukas-4199-eisenoxidschwarz","#363636"
"Lukas 4192 Gold","lukas-4192-gold","#b8913d"
"Lukas 4195 Bronze","lukas-4195-bronze","#bb995f"
"Lukas 4194 Kupfer","lukas-4194-kupfer","#cc9165"
"Lukas 4193 Silber","lukas-4193-silber","#d1cfc9"
