"Lukas 0204 Zinkweiss","lukas-0204-zinkweiss","#f2f1e8"
"Lukas 0207 Deckweiss","lukas-0207-deckweiss","#edede4"
"Lukas 0208 Titanweiss","lukas-0208-titanweiss","#f0eee5"
"Lukas 0222 Fleischfarbe","lukas-0222-fleischfarbe","#eeceb8"
"Lukas 0212 Brillantgelb dunkel","lukas-0212-brillantgelb-dunkel","#f3c67e"
"Lukas 0225 Kadmiumgelb zitron","lukas-0225-kadmiumgelb-zitron","#f1dc00"
"Lukas 0215 Chromgelb hell","lukas-0215-chromgelb-hell","#f4b700"
"Lukas 0226 Kadmiumgelb hell","lukas-0226-kadmiumgelb-hell","#fcc400"
"Lukas 0234 Neapelgelb hell","lukas-0234-neapelgelb-hell","#e2bb59"
"Lukas 0217 Chromgelb dunkel","lukas-0217-chromgelb-dunkel","#f7720c"
"Lukas 0228 Kadmiumgelb dunkel","lukas-0228-kadmiumgelb-dunkel","#f1781b"
"Lukas 0224 Indischgelb","lukas-0224-indischgelb","#e19409"
"Lukas 0229 Kadmiumorange","lukas-0229-kadmiumorange","#eb6029"
"Lukas 0253 Echtrot","lukas-0253-echtrot","#ca362b"
"Lukas 0272 Kadmiumrot hell","lukas-0272-kadmiumrot-hell","#c43e2d"
"Lukas 0274 Kadmiumrot dunkel","lukas-0274-kadmiumrot-dunkel","#be2920"
"Lukas 0286 Zinnoberrot dunkel","lukas-0286-zinnoberrot-dunkel","#bb3832"
"Lukas 0261 Karminrot","lukas-0261-karminrot","#652927"
"Lukas 0264 Krapplack hell","lukas-0264-krapplack-hell","#763435"
"Lukas 0266 Krapplack dunkel","lukas-0266-krapplack-dunkel","#5e3030"
"Lukas 0327 Kobaltviolett dunkel","lukas-0327-kobaltviolett-dunkel","#3e363c"
"Lukas 0340 Ultramarin violett","lukas-0340-ultramarin-violett","#3b3645"
"Lukas 0338 Himmelblau","lukas-0338-himmelblau","#437ec8"
"Lukas 0335 Ultramarin hell","lukas-0335-ultramarin-hell","#383776"
"Lukas 0337 Ultramarin dunkel","lukas-0337-ultramarin-dunkel","#38325a"
"Lukas 0323 Kobaltblau hell","lukas-0323-kobaltblau-hell","#25467a"
"Lukas 0325 Kobaltblau dunkel","lukas-0325-kobaltblau-dunkel","#2f3a61"
"Lukas 0321 Coelinblau","lukas-0321-coelinblau","#14546b"
"Lukas 0333 Pariserblau","lukas-0333-pariserblau","#28282a"
"Lukas 0334 Preussischblau","lukas-0334-preussischblau","#212227"
"Lukas 0372 Zinnobergruen hellst","lukas-0372-zinnobergruen-hellst","#83af1b"
"Lukas 0363 Permanentgruen hell","lukas-0363-permanentgruen-hell","#00623b"
"Lukas 0356 Deckgruen","lukas-0356-deckgruen","#009778"
"Lukas 0353 Chromoxidgruen stumpf","lukas-0353-chromoxidgruen-stumpf","#526c4d"
"Lukas 0354 Chromoxidgruen feurig","lukas-0354-chromoxidgruen-feurig","#1f493f"
"Lukas 0352 Chromgruen dunkel","lukas-0352-chromgruen-dunkel","#2f453d"
"Lukas 0357 Gruene Erde boehmisch","lukas-0357-gruene-erde-boehmisch","#444339"
"Lukas 0310 Umbra cypr natur","lukas-0310-umbra-cypr-natur","#4b443b"
"Lukas 0311 Umbra gebrannt","lukas-0311-umbra-gebrannt","#58453f"
"Lukas 0231 Lichter Ocker","lukas-0231-lichter-ocker","#b37e3b"
"Lukas 0239 Terra di Siena natur","lukas-0239-terra-di-siena-natur","#7a533e"
"Lukas 0256 Fleischocker","lukas-0256-fleischocker","#a06642"
"Lukas 0254 Englischrot hell","lukas-0254-englischrot-hell","#864b3c"
"Lukas 0302 Dunkler Ocker","lukas-0302-dunkler-ocker","#664930"
"Lukas 0309 Terra di Siena gebrannt","lukas-0309-terra-di-siena-gebrannt","#6a4741"
"Lukas 0312 Vandyckbraun","lukas-0312-vandyckbraun","#3b3838"
"Lukas 0382 Elfenbeinschwarz","lukas-0382-elfenbeinschwarz","#3c3b3b"
"Lukas 0210 Primaire-Gelb","lukas-0210-primaire-gelb","#eddb00"
"Lukas 0250 Primaire-Rot","lukas-0250-primaire-rot","#842e40"
"Lukas 0320 Primaire-Blau","lukas-0320-primaire-blau","#175687"
