"MACal G 890900S Hellgelb","macal-g-890900s-hellgelb","#fad000"
"MACal G 890500S Gelb","macal-g-890500s-gelb","#ffc200"
"MACal G 890300S Orangegelb","macal-g-890300s-orangegelb","#fea600"
"MACal G 890100S Orange","macal-g-890100s-orange","#ed6600"
"MACal G 895903S Hellrot","macal-g-895903s-hellrot","#d63621"
"MACal G 895901S Blutrot","macal-g-895901s-blutrot","#c42824"
"MACal G 895900S Mediumrot","macal-g-895900s-mediumrot","#9d0013"
"MACal G 895906S Dunkelrot","macal-g-895906s-dunkelrot","#990b1a"
"MACal G 895904S Purpurrot","macal-g-895904s-purpurrot","#ca3578"
"MACal G 894903S Gelbgruen","macal-g-894903s-gelbgruen","#72b12f"
"MACal G 894900S Gruen","macal-g-894900s-gruen","#009250"
"MACal G 894905S Flaschengruen","macal-g-894905s-flaschengruen","#00743f"
"MACal G 894904S Dunkelgruen","macal-g-894904s-dunkelgruen","#004c2c"
"MACal G 893907S Tuerkisblau","macal-g-893907s-tuerkisblau","#0097a1"
"MACal G 893904S Himmelblau","macal-g-893904s-himmelblau","#009cd7"
"MACal G 893906S Lichtblau","macal-g-893906s-lichtblau","#0081c0"
"MACal G 893900S Tiefblau","macal-g-893900s-tiefblau","#005296"
"MACal G 893902S Dunkelblau","macal-g-893902s-dunkelblau","#203e6f"
"MACal G 898302S Braun","macal-g-898302s-braun","#583924"
"MACal G 898900S Schwarz","macal-g-898900s-schwarz","#0d0f10"
"MACal G 898901S Anthrazit","macal-g-898901s-anthrazit","#5d6264"
"MACal G 898904S Mausgrau","macal-g-898904s-mausgrau","#80898f"
"MACal G 898905S Mediumgrau","macal-g-898905s-mediumgrau","#979795"
"MACal G 892900S Weiss ","macal-g-892900s-weiss","#f7f7f9"
"MACal G 892901S Beige","macal-g-892901s-beige","#eed6b2"
"MACal M 890800S Hellgelb","macal-m-890800s-hellgelb","#f1cf41"
"MACal M 890809S Gelb","macal-m-890809s-gelb","#ffb500"
"MACal M 890400S Orangegelb","macal-m-890400s-orangegelb","#ffad1f"
"MACal M 890200S Orange","macal-m-890200s-orange","#ef712b"
"MACal M 895803S Hellrot","macal-m-895803s-hellrot","#d74231"
"MACal M 895801S Blutrot","macal-m-895801s-blutrot","#c53734"
"MACal M 895807S Dunkelrot","macal-m-895807s-dunkelrot","#a62e35"
"MACal M 895800S Mediumrot","macal-m-895800s-mediumrot","#9f2e35"
"MACal M 895804S Purpurrot","macal-m-895804s-purpurrot","#cc437e"
"MACal M 893805S Lila","macal-m-893805s-lila","#a594bf"
"MACal M 893806S Violett","macal-m-893806s-violett","#704679"
"MACal M 894801S Gruen","macal-m-894801s-gruen","#31914c"
"MACal M 894800S Mediumgruen","macal-m-894800s-mediumgruen","#008255"
"MACal M 894804S Dunkelgruen","macal-m-894804s-dunkelgruen","#0a5c44"
"MACal M 893807S Tuerkisblau","macal-m-893807s-tuerkisblau","#009ca5"
"MACal M 893804S Himmelblau","macal-m-893804s-himmelblau","#00a0d8"
"MACal M 893800S Mediumblau","macal-m-893800s-mediumblau","#007abd"
"MACal M 893801S Tiefblau","macal-m-893801s-tiefblau","#1f5a96"
"MACal M 893802S Dunkelblau","macal-m-893802s-dunkelblau","#394f7a"
"MACal M 898202S Schokobraun","macal-m-898202s-schokobraun","#614535"
"MACal M 898203S Dunkelbraun","macal-m-898203s-dunkelbraun","#514138"
"MACal M 898800S Schwarz","macal-m-898800s-schwarz","#313233"
"MACal M 898806S Dunkelgrau","macal-m-898806s-dunkelgrau","#64696b"
"MACal M 898804S Mausgrau","macal-m-898804s-mausgrau","#848d91"
"MACal M 898805S Mediumgrau","macal-m-898805s-mediumgrau","#9b9b99"
"MACal M 892800S Weiss ","macal-m-892800s-weiss","#eff1f4"
"MACal M 892801S Beige","macal-m-892801s-beige","#efd9b4"
