"MACal 970200 Orange","macal-970200-orange","#ee612d"
"MACal 970800 Gelb","macal-970800-gelb","#f9ce04"
"MACal 970801 Gelb","macal-970801-gelb","#f2c100"
"MACal 970802 Maisgelb","macal-970802-maisgelb","#fbad10"
"MACal 972800 Weiss","macal-972800-weiss","#e8e8e4"
"MACal 973800 Blau","macal-973800-blau","#0074b1"
"MACal 973801 Blau","macal-973801-blau","#0062a4"
"MACal 973802 Koenigsblau","macal-973802-koenigsblau","#382986"
"MACal 973803 Dunkelblau","macal-973803-dunkelblau","#324285"
"MACal 973804 Himmelblau","macal-973804-himmelblau","#0090b9"
"MACal 974800 Gruen","macal-974800-gruen","#00834c"
"MACal 974801 Mintgruen","macal-974801-mintgruen","#007d3b"
"MACal 974802 Gelbgruen","macal-974802-gelbgruen","#86bc00"
"MACal 974803 Tuerkis","macal-974803-tuerkis","#00a0a0"
"MACal 975800 Rot","macal-975800-rot","#c43935"
"MACal 975801 Feuerrot","macal-975801-feuerrot","#c33e31"
"MACal 975802 Weinrot","macal-975802-weinrot","#703038"
"MACal 975803 Pink","macal-975803-pink","#b62c7d"
"MACal 976800 Silber ","macal-976800-silber","#9fa0a1"
"MACal 977800 Gold","macal-977800-gold","#ad9860"
"MACal 978801 Grau","macal-978801-grau","#969d9c"
