"MACal 980906 Verkehrsgelb","macal-980906-verkehrsgelb","#e8d628"
"MACal 980909 Gelb","macal-980909-gelb","#fdc600"
"MACal 980900 Gelb","macal-980900-gelb","#ffbc00"
"MACal 980910 Signalgelb","macal-980910-signalgelb","#ffab00"
"MACal 980104 Orange","macal-980104-orange","#ec5f00"
"MACal 985910 Hellrot","macal-985910-hellrot","#d33118"
"MACal 985911 Feuerrot","macal-985911-feuerrot","#cc2000"
"MACal 985904 Tomatenrot","macal-985904-tomatenrot","#c1210e"
"MACal 985900 Rot","macal-985900-rot","#a90c17"
"MACal 985905 Weinrot","macal-985905-weinrot","#641c29"
"MACal 985908 Rosa","macal-985908-rosa","#f491c1"
"MACal 985909 Pink","macal-985909-pink","#bc2967"
"MACal 984913 Lindgruen","macal-984913-lindgruen","#89d12c"
"MACal 984912 Gelbgruen","macal-984912-gelbgruen","#44a100"
"MACal 984911 Verkehrsgruen","macal-984911-verkehrsgruen","#00965b"
"MACal 984910 Minzgruen","macal-984910-minzgruen","#007840"
"MACal 984900 Dunkelgruen","macal-984900-dunkelgruen","#00502c"
"MACal 984918 Mint","macal-984918-mint","#73dcc2"
"MACal 984915 Tuerkis","macal-984915-tuerkis","#00a599"
"MACal 984917 Petrol","macal-984917-petrol","#009193"
"MACal 983907 Leichtblau","macal-983907-leichtblau","#57b4dd"
"MACal 983910 Himmelblau","macal-983910-himmelblau","#009cd6"
"MACal 983920 Pastellblau","macal-983920-pastellblau","#1689be"
"MACal 983922 Seeblau","macal-983922-seeblau","#0069b5"
"MACal 983911 Verkehrsblau","macal-983911-verkehrsblau","#005294"
"MACal 983912 Ultramarinblau","macal-983912-ultramarinblau","#0f3473"
"MACal 983913 Violett","macal-983913-violett","#653e96"
"MACal 983919 Dunkelblau","macal-983919-dunkelblau","#132135"
"MACal 988307 Hellbraun","macal-988307-hellbraun","#804d25"
"MACal 988306 Mittelbraun","macal-988306-mittelbraun","#6e4321"
"MACal 988304 Schokoladenbraun","macal-988304-schokoladenbraun","#43291a"
"MACal 988904 Lichtgrau","macal-988904-lichtgrau","#cacbcb"
"MACal 988903 Hellgrau","macal-988903-hellgrau","#999c96"
"MACal 988902 Basaltgrau","macal-988902-basaltgrau","#616666"
"MACal 988900 Schwarz glaenzend","macal-988900-schwarz-glaenzend","#0a0b0c"
"MACal 988901 Anthrazit","macal-988901-anthrazit","#454544"
"MACal 986900 Silber","macal-986900-silber","#979899"
"MACal 987900 Gold","macal-987900-gold","#a69161"
"MACal 982901 Elfenbein","macal-982901-elfenbein","#eccf9b"
"MACal 982900 Weiss glaenzend","macal-982900-weiss-glaenzend","#f7f7fb"
"MACal 988800 Schwarz matt","macal-988800-schwarz-matt","#2f2f30"
"MACal 982800 Weiss matt","macal-982800-weiss-matt","#f5f4f9"
"MACal 980906S Verkehrsgelb","macal-980906s-verkehrsgelb","#f8e000"
"MACal 980909S Gelb","macal-980909s-gelb","#ffc800"
"MACal 980900S Gelb","macal-980900s-gelb","#ffbc00"
"MACal 980910S Signalgelb","macal-980910s-signalgelb","#fca700"
"MACal 980104S Orange","macal-980104s-orange","#e75d00"
"MACal 985910S Hellrot","macal-985910s-hellrot","#d23118"
"MACal 985911S Feuerrot","macal-985911s-feuerrot","#c92304"
