"MACal 8901 - 00","macal-8901-00","#e56102"
"MACal 8903 - 00","macal-8903-00","#ffa600"
"MACal 8905 - 00","macal-8905-00","#ffc200"
"MACal 8909 - 00","macal-8909-00","#ffd300"
"MACal 8929 - 00","macal-8929-00","#f7f6f8"
"MACal 8939 - 00","macal-8939-00","#005397"
"MACal 8939 - 02","macal-8939-02","#203e6e"
"MACal 8939 - 06","macal-8939-06","#007fbe"
"MACal 8949 - 00","macal-8949-00","#009150"
"MACal 8949 - 03","macal-8949-03","#71b02f"
"MACal 8959 - 00","macal-8959-00","#a10011"
"MACal 8959 - 01","macal-8959-01","#c52926"
"MACal 8983 - 02","macal-8983-02","#583925"
"MACal 8989 - 00","macal-8989-00","#131415"
"MACal 8989 - 01","macal-8989-01","#5b6062"
"MACal 8989 - 04","macal-8989-04","#7f888e"
"MACal 8902 - 00","macal-8902-00","#f37235"
"MACal 8908 - 00","macal-8908-00","#fcd138"
"MACal 8908 - 09","macal-8908-09","#ffb900"
"MACal 8928 - 00","macal-8928-00","#f2f3f9"
"MACal 8928 - 01","macal-8928-01","#f5dab3"
"MACal 8938 - 00","macal-8938-00","#0080c1"
"MACal 8938 - 01","macal-8938-01","#1d5d9c"
"MACal 8938 - 04","macal-8938-04","#00a0d8"
"MACal 8938 - 05","macal-8938-05","#a393be"
"MACal 8938 - 06","macal-8938-06","#714878"
"MACal 8938 - 07","macal-8938-07","#009ea6"
"MACal 8948 - 00","macal-8948-00","#0b855a"
"MACal 8948 - 01","macal-8948-01","#329049"
"MACal 8958 - 00","macal-8958-00","#a33038"
"MACal 8958 - 01","macal-8958-01","#cb3e3d"
"MACal 8958 - 03","macal-8958-03","#d94538"
"MACal 8958 - 04","macal-8958-04","#ce447f"
"MACal 8982 - 02","macal-8982-02","#624738"
"MACal 8982 - 03","macal-8982-03","#55453c"
"MACal 8988 - 00","macal-8988-00","#343536"
"MACal 8988 - 05","macal-8988-05","#9c9c9a"
"MACal 8988 - 06","macal-8988-06","#666b6c"
"MACal 8002","macal-8002","#ff7800"
"MACal 8004","macal-8004","#f9f500"
"MACal 8034","macal-8034","#007fbd"
"MACal 8044","macal-8044","#00c400"
"MACal 8054","macal-8054","#ff2600"
"MACal 8056","macal-8056","#ff2b93"
