"MACal 9801 - 04","macal-9801-04","#ec6200"
"MACal 9809 - 00","macal-9809-00","#ffbb00"
"MACal 9809 - 06","macal-9809-06","#fae115"
"MACal 9829 - 00","macal-9829-00","#f5f7fb"
"MACal 9829 - 01","macal-9829-01","#e2c694"
"MACal 9839 - 00","macal-9839-00","#191d2d"
"MACal 9839 - 03","macal-9839-03","#00587e"
"MACal 9839 - 07","macal-9839-07","#56b4dd"
"MACal 9839 - 10","macal-9839-10","#009cd4"
"MACal 9839 - 11","macal-9839-11","#005395"
"MACal 9839 - 12","macal-9839-12","#073674"
"MACal 9839 - 13","macal-9839-13","#643a96"
"MACal 9849 - 00","macal-9849-00","#004f2b"
"MACal 9849 - 10","macal-9849-10","#00773c"
"MACal 9849 - 11","macal-9849-11","#00955a"
"MACal 9849 - 12","macal-9849-12","#48a400"
"MACal 9849 - 13","macal-9849-13","#88d027"
"MACal 9859 - 00","macal-9859-00","#ae0f19"
"MACal 9859 - 04","macal-9859-04","#c52415"
"MACal 9859 - 05","macal-9859-05","#631a29"
"MACal 9859 - 08","macal-9859-08","#f590c3"
"MACal 9859 - 09","macal-9859-09","#bd2469"
"MACal 9869 - 00","macal-9869-00","#969898"
"MACal 9879 - 00","macal-9879-00","#9d8455"
"MACal 9883 - 04","macal-9883-04","#42291a"
"MACal 9889 - 00","macal-9889-00","#090b0d"
"MACal 9889 - 01","macal-9889-01","#464745"
"MACal 9889 - 02","macal-9889-02","#616565"
"MACal 9889 - 03","macal-9889-03","#989b95"
"MACal 9828 - 00","macal-9828-00","#f5f4fc"
"MACal 9888 - 00","macal-9888-00","#303031"
"MACal 8902 - 00","macal-8902-00","#f06f2f"
"MACal 8908 - 00","macal-8908-00","#fbd13b"
"MACal 8928 - 00","macal-8928-00","#f2f3f8"
"MACal 8938 - 00","macal-8938-00","#007fc3"
"MACal 8938 - 01","macal-8938-01","#285f9d"
"MACal 8948 - 00","macal-8948-00","#008253"
"MACal 8958 - 00","macal-8958-00","#a12e35"
"MACal 8958 - 01","macal-8958-01","#c83e3c"
"MACal 8988 - 00","macal-8988-00","#303132"
